#   t     x    xteo    y     yteo      vx     vy     xerr      yerr
0   6.95162461185376e-310          0     0   0       90.0447102352677   43.496553411123    6.95162461185376e-310        0
0.005   0.44988605221606          0.353288358083144     0.217207292679658   0.353175914312056       89.9097444196029   43.3863912233191    0.0965976941329161        0.135968621632397
0.01   0.899097781222741          0.706047180879916     0.433864187322107   0.705597630542615       89.7749809009009   43.2763941549264    0.193050600342825        0.271733443220508
0.015   1.34763619774662          1.05827726209783     0.649971508905514   1.05726627914077       89.6404193759437   43.1665619584514    0.289358935648792        0.407294770235258
0.02   1.79550231099932          1.40997939425468     0.865530081171507   1.40818298886116       89.5060595419678   43.0568943867716    0.38552291674464        0.542652907689648
0.025   2.2426971286798          1.76115436868046     1.08054072662703   1.75834888676661       89.3719010966637   42.9473911931349    0.481542759999341        0.677808160139587
0.03   2.68922165697657          2.11180297551897     1.29500426654618   2.10776509823061       89.2379437381747   42.8380521311592    0.577418681457597        0.812760831684424
0.035   3.13507690057001          2.46192600372973     1.50892152097209   2.4564327469398       89.1041871650966   42.7288769548314    0.673150896840285        0.947511225967711
0.04   3.58026386263462          2.81152424108974     1.72229330871872   2.80435295489668       88.9706310764773   42.6198654185074    0.76873962154488        1.08205964617797
0.045   4.02478354484123          3.16059847419512     1.93512044737275   3.15152684242185       88.8372751718153   42.5110172769112    0.86418507064611        1.2164063950491
0.05   4.46863694735933          3.50914948846309     2.14740375329541   3.49795552815683       88.7041191510598   42.4023322851344    0.959487458896239        1.35055177486142
0.055   4.91182506885926          3.85717806813357     2.35914404162427   3.84364012906633       88.5711627146098   42.2938101986357    1.05464700072569        1.48449608744206
0.06   5.35434890651447          4.20468499627097     2.57034212627514   4.1885817604409       88.4384055633132   42.1854507732404    1.14966391024349        1.61823963416576
0.065   5.79620945600378          4.5516710547661     2.78099881994386   4.53278153589948       88.3058473984664   42.0772537651398    1.24453840123768        1.75178271595562
0.07   6.23740771151363          4.89813702433768     2.99111493410815   4.87624056739173       88.1734879218135   41.9692189308906    1.33927068717595        1.88512563328358
0.075   6.67794466574027          5.24408368453431     3.20069127902941   5.21895996520067       88.0413268355455   41.8613460274142    1.43386098120596        2.01826868617126
0.08   7.11782130989203          5.58951181373611     3.40972866375458   5.56094083794517       87.9093638423   41.7536348119967    1.52830949615593        2.1512121741906
0.085   7.55703863369155          5.93442218915651     3.61822789611791   5.9021842925824       87.7775986451602   41.6460850422876    1.62261644453504        2.28395639646449
0.09   7.995597625378          6.27881558684403     3.82618978274283   6.24269143441035       87.6460309476543   41.5386964763001    1.71678203853397        2.41650165166752
0.095   8.43349927170928          6.62269278168392     4.03361512904374   6.58246336707026       87.514660453755   41.4314688724098    1.81080649002536        2.54884823802652
0.1   8.87074455796428          6.96605454740007     4.24050473922782   6.92150119254925       87.3834868678784   41.3244019893546    1.90469001056422        2.68099645332144
0.105   9.3073344679451          7.30890165655654     4.44685941629683   7.25980601118257       87.2525098948842   41.2174955862339    1.99843281138855        2.81294659488574
0.11   9.74326998397919          7.6512348805595     4.65267996204896   7.5973789216563       87.121729240074   41.1107494225083    2.0920351034197        2.94469895960733
0.115   10.1785520869217          7.99305498965885     4.85796717708059   7.93422102100969       86.9911446091913   41.0041632579988    2.18549709726282        3.07625384392911
0.12   10.6131817561574          8.33436275294994     5.06272186078809   8.27033340463763       86.8607557084205   40.8977368528866    2.2788190032075        3.20761154384955
0.125   11.0471599696034          8.67515893837544     5.26694481136965   8.60571716629326       86.7305622443866   40.7914699677121    2.37200103122801        3.33877235492361
0.13   11.4804877037109          9.01544431272689     5.47063682582706   8.94037339809022       86.6005639241544   40.6853623633749    2.46504339098396        3.46973657226316
0.135   11.9131659334672          9.35521964164651     5.6737986999675   9.27430319050521       86.4707604552275   40.5794138011328    2.55794629182073        3.6005044905377
0.14   12.3451956323988          9.69448568962896     5.87643122840535   9.60750763238051       86.341151545548   40.4736240426014    2.65070994276984        3.73107640397516
0.145   12.7765777725726          10.0332432200229     6.07853520456392   9.93998781092625       86.2117369034959   40.3679928497538    2.74333455254961        3.86145260636232
0.15   13.2073133245985          10.3714929950331     6.28011142067733   10.2717448117231       86.0825162378881   40.2625199849198    2.8358203295654        3.99163339104576
