#   t     x    xteo    y     yteo      vx     vy     xerr      yerr
0   6.95162461185376e-310          0     0   0       73.1688868873821   68.1638760023334    6.95162461185376e-310        0
0.005   0.365570188196518          0.353288358083144     0.340451449391411   0.353175914312056       73.0592158309231   68.016740567516    0.0122818301133743        0.0127244649206449
0.01   0.73059243217173          0.706047180879916     0.68016777309095   0.705597630542615       72.9497091577306   67.8698256704061    0.0245452512918144        0.0254298574516657
0.015   1.09506755322584          1.05827726209783     1.01915007296055   1.05726627914077       72.8403666214144   67.7231309804453    0.0367902911280091        0.0381162061802207
0.02   1.45899637142802          1.40997939425468     1.3573994492106   1.40818298886116       72.7311879759537   67.5766561675702    0.0490169771733326        0.0507835396505592
0.025   1.82237970561826          1.76115436868046     1.69491700040239   1.75834888676661       72.6221729756967   67.4304009022127    0.0612253369378035        0.0634318863642269
0.03   2.18521837340923          2.11180297551897     2.03170382345062   2.10776509823061       72.5133213753594   67.2843648552983    0.0734153978902552        0.076061274779986
0.035   2.54751319118807          2.46192600372973     2.36776101362585   2.4564327469398       72.4046329300257   67.1385476982457    0.0855871874583394        0.0886717333139484
0.04   2.90926497411827          2.81152424108974     2.70308966455696   2.80435295489668       72.2961073951466   66.9929491029664    0.0977407330285391        0.101263290339725
0.045   3.27047453614152          3.16059847419512     3.03769086823362   3.15152684242185       72.1877445265396   66.8475687418634    0.109876061946397        0.113835974188236
0.05   3.63114268997946          3.50914948846309     3.37156571500874   3.49795552815683       72.0795440803883   66.7024062878309    0.121993201516364        0.126389813148089
0.055   3.9912702471356          3.85717806813357     3.70471529360093   3.84364012906633       71.9715058132415   66.5574614142533    0.13409217900203        0.138924835465398
0.06   4.35085801789709          4.20468499627097     4.03714069109695   4.1885817604409       71.863629482013   66.4127337950045    0.146173021626118        0.151441069343942
0.065   4.70990681133657          4.5516710547661     4.36884299295415   4.53278153589948       71.7559148439811   66.2682231044473    0.158235756570474        0.163938542945331
0.07   5.06841743531398          4.89813702433768     4.6998232830029   4.87624056739173       71.6483616567879   66.1239290174327    0.170280410976293        0.176417284388828
0.075   5.42639069647836          5.24408368453431     5.03008264344906   5.21895996520067       71.5409696784386   65.9798512092988    0.182307011944057        0.188877321751607
0.08   5.78382740026972          5.58951181373611     5.3596221548764   5.56094083794517       71.4337386673012   65.8359893558706    0.194315586533611        0.201318683068775
0.085   6.14072835092077          5.93442218915651     5.68844289624901   5.9021842925824       71.3266683821059   65.6923431334589    0.206306161764262        0.213741396333392
0.09   6.49709435145882          6.27881558684403     6.01654594491377   6.24269143441035       71.2197585819445   65.5489122188594    0.218278764614795        0.226145489496578
0.095   6.85292620370751          6.62269278168392     6.34393237660274   6.58246336707026       71.1130090262699   65.4056962893527    0.230233422023593        0.238530990467525
0.1   7.20822470828866          6.96605454740007     6.67060326543558   6.92150119254925       71.0064194748956   65.2626950227029    0.242170160888591        0.250897927113669
0.105   7.56299066462406          7.30890165655654     6.99655968392201   7.25980601118257       70.899989687995   65.1199080971569    0.254089008067513        0.263246327260561
0.11   7.91722487093725          7.6512348805595     7.32180270296417   7.5973789216563       70.7937194261011   64.9773351914443    0.265989990377753        0.275576218692128
0.115   8.27092812425536          7.99305498965885     7.64633339185904   7.93422102100969       70.6876084501056   64.8349759847759    0.277873134596511        0.287887629150657
0.12   8.62410122041084          8.33436275294994     7.97015281830087   8.27033340463763       70.5816565212589   64.6928301568433    0.289738467460893        0.300180586336765
0.125   8.97674495404332          8.67515893837544     8.29326204838358   8.60571716629326       70.4758634011693   64.5508973878185    0.301586015667874        0.312455117909678
0.13   9.32886011860133          9.01544431272689     8.61566214660313   8.94037339809022       70.3702288518019   64.4091773583526    0.313415805874442        0.324711251487082
0.135   9.68044750634417          9.35521964164651     8.93735417585995   9.27430319050521       70.2647526354791   64.2676697495756    0.325227864697654        0.336949014645262
0.14   10.0315079083436          9.69448568962896     9.25833919746129   9.60750763238051       70.1594345148792   64.1263742430952    0.337022218714612        0.349168434919219
0.145   10.3820421144856          10.0332432200229     9.57861827112365   9.93998781092625       70.0542742530366   63.9852905209965    0.348798894462671        0.361369539802594
0.15   10.7320509134724          10.3714929950331     9.89819245497515   10.2717448117231       69.9492716133406   63.8444182658411    0.360557918439319        0.373552356747938
0.155   11.0815350928239          10.7092357757215     10.2170628055579   10.6027797187245       69.8444263595351   63.7037571606662    0.372299317102341        0.385716913166616
0.16   11.4304954388796          11.0464723220097     10.5352303778304   10.9330936142592       69.7397382557184   63.5633068889845    0.384023116869946        0.397863236428808
0.165   11.7789327368005          11.3832033926799     10.8526962251698   11.2626875790336       69.6352070663421   63.4230671347827    0.395729344120658        0.409991353863798
0.17   12.1268477705706          11.7194297453771     11.1694613993746   11.5915626921344       69.530832556211   63.2830375825213    0.407418025193509        0.422101292759807
0.175   12.474241322999          12.055152136611     11.4855269506666   11.9197200310309       69.4266144904825   63.1432179171337    0.419089186387987        0.434193080364308
0.18   12.8211141757212          12.3903713217569     11.8008939276933   12.247160671577       69.3225526346659   63.0036078240257    0.430742853964279        0.446266743883708
0.185   13.1674671092012          12.7250880550581     12.1155633775309   12.5738856880147       69.2186467546218   62.8642069890744    0.442379054143094        0.458322310483817
0.19   13.5133009027335          13.0593030896276     12.4295363456856   12.8998961529753       69.1148966165621   62.725015098628    0.453997813105891        0.470359807289668
0.195   13.8586163344441          13.3930171774492     12.7428138760969   13.2251931374825       69.011301987049   62.5860318395046    0.465599156994889        0.482379261385626
0.2   14.2034141812929          13.7262310693797     13.0553970111394   13.5497777109549       68.9078626329944   62.4472568989918    0.477183111913138        0.494380699815439
0.205   14.5476952190752          14.0589455151507     13.3672867916254   13.8736509412078       68.8045783216596   62.3086899648461    0.488749703924514        0.506364149582401
0.21   14.8914602224235          14.3911612633696     13.678484256807   14.1968138944563       68.7014488206551   62.1703307252916    0.500298959053866        0.51832963764924
0.215   15.2347099648091          14.7228790615221     13.9889904443788   14.5192676353171       68.5984738979394   62.03217886902    0.511830903287033        0.530277190938303
0.22   15.5774452185443          15.0540996559734     14.2988063904799   14.8410132268115       68.4956533218188   61.8942340851897    0.523345562570862        0.542206836331623
0.225   15.9196667547833          15.3848237919699     14.6079331296963   15.1620517303672       68.3929868609471   61.7564960634248    0.534842962813356        0.554118600670915
0.23   16.2613753435249          15.7150522136412     14.9163716950634   15.482384205821       68.2904742843247   61.6189644938147    0.54632312988368        0.566012510757588
0.235   16.6025717536134          16.0447856640012     15.2241231180682   15.8020117114212       68.1881153612981   61.4816390669132    0.557786089612215        0.577888593353006
0.24   16.943256752741          16.3740248849504     15.5311884286515   16.1209353038298       68.0859098615598   61.3445194737382    0.569231867790609        0.589746875178347
0.245   17.2834311074491          16.7027706172772     15.8375686552105   16.4391560381253       67.9838575551473   61.2076054057705    0.580660490171869        0.601587382914762
0.25   17.62309558313          17.0310236006596     16.1432648246009   16.7566749678043       67.881958212443   61.0708965549534    0.592071982470429        0.613410143203378
0.255   17.962250944029          17.3587845736669     16.4482779621393   17.0734931447847       67.7802116041733   60.9343926136919    0.603466370362131        0.625215182645388
0.26   18.3008979532459          17.6860542737616     16.7526090916054   17.3896116194076       67.6786175014083   60.798093274852    0.614843679484338        0.637002527802196
0.265   18.6390373727365          18.0128334373004     17.0562592352445   17.7050314404398       67.5771756755611   60.6619982317603    0.626203935436042        0.648772205195257
0.27   18.9766699633146          18.3391227995368     17.3592294137696   18.019753655076       67.4758858983876   60.5261071782028    0.637547163777754        0.660524241306451
0.275   19.3137964846537          18.664923094622     17.6615206463637   18.3337793089415       67.3747479419859   60.3904198084246    0.648873390031781        0.672258662577789
0.28   19.6504176952887          18.9902350556066     17.9631339506824   18.6471094460941       67.2737615787954   60.254935817129    0.660182639682155        0.68397549541174
0.285   19.9865343526174          19.3150594144427     18.2640703428557   18.9597451090268       67.1729265815968   60.119654899477    0.671474938174669        0.695674766171187
0.29   20.3221472129024          19.6393969019854     18.5643308374907   19.2716873386702       67.0722427235113   59.9845767510865    0.682750310917008        0.707356501179493
0.295   20.6572570312728          19.9632482479941     18.8639164476738   19.5829371743943       66.9717097780001   59.8497010680316    0.694008783278761        0.719020726720558
0.3   20.9918645617259          20.2866141811344     19.1628281849726   19.8934956540116       66.8713275188642   59.7150275468419    0.705250380591519        0.730667469038924
0.305   21.3259705571287          20.6094954289798     19.461067059439   20.2033638137787       66.7710957202434   59.580555884502    0.716475128148833        0.742296754339751
0.31   21.6595757692198          20.9318927180134     19.7586340796104   20.5125426883993       66.671014156616   59.4462857784506    0.727683051206423        0.75390860878893
0.315   21.9926809486112          21.253806773629     20.0555302525129   20.821033311026       66.5710826027986   59.3122169265798    0.738874174982111        0.765503058513147
0.32   22.3252868447895          21.5752383201336     20.3517565836631   21.1288367132629       66.4713008339451   59.1783490272348    0.750048524655959        0.77708012959987
0.325   22.6573942061183          21.8961880807481     20.6473140770703   21.4359539251679       66.3716686255464   59.0446817792126    0.761206125370201        0.788639848097596
0.33   22.9890037798392          22.2166567776097     20.9422037352392   21.7423859752549       66.2721857534302   58.911214881762    0.772347002229477        0.800182240015651
0.335   23.3201163120739          22.5366451317732     21.2364265591717   22.0481338904961       66.1728519937598   58.7779480345823    0.783471180300758        0.811707331324435
0.34   23.6507325478258          22.8561538632123     21.5299835483692   22.3531986963246       66.0736671230342   58.644880937823    0.794578684613445        0.823215147955416
0.345   23.9808532309814          23.175183690822     21.8228757008353   22.6575814166364       65.9746309180876   58.5120132920832    0.80566954015946        0.834705715801142
0.35   24.3104791043126          23.4937353324194     22.1151040130774   22.9612830737928       65.8757431560882   58.3793447984105    0.816743771893194        0.846179060715414
0.355   24.6396109094776          23.8118095047459     22.4066694801094   23.2643046886227       65.7770036145388   58.246875158301    0.82780140473168        0.857635208513308
0.36   24.9682493870231          24.1294069234685     22.6975730954539   23.566647280425       65.6784120712751   58.1146040736976    0.838842463554627        0.869074184971115
0.365   25.2963952763859          24.4465283031815     22.987815851144   23.8683118669706       65.5799683044662   57.9825312469906    0.849866973204357        0.880496015826587
0.37   25.6240493158943          24.7631743574082     23.2773987377263   24.1692994645051       65.4816720926137   57.8506563810159    0.860874958486093        0.891900726778768
0.375   25.9512122427701          25.0793457986023     23.5663227442624   24.4696110877508       65.383523214551   57.7189791790551    0.871866444167765        0.903288343488327
0.38   26.27788479313          25.3950433381498     23.8545888583315   24.7692477499089       65.2855214494431   57.5874993448343    0.882841454980209        0.914658891577396
0.385   26.6040677019873          25.7102676863701     24.1421980660326   25.0682104626623       65.1876665767858   57.456216582524    0.893800015617245        0.926012396629712
0.39   26.9297617032538          26.0250195525182     24.4291513519864   25.3665002361771       65.0899583764058   57.3251305967379    0.904742150735611        0.937348884190641
0.395   27.2549675297411          26.339299644786     24.7154496993382   25.6641180791055       64.9923966284597   57.1942410925324    0.915667884955116        0.948668379767319
0.4   27.5796859131624          26.6531086703038     25.0010940897594   25.961064998588       64.8949811134333   57.063547775406    0.926577242858674        0.959970908828609
0.405   27.9039175841343          26.966447335142     25.28608550345   26.2573420002552       64.7977116121417   56.9330503512988    0.937470248992351        0.971256496805175
0.41   28.2276632721781          27.2793163443127     25.570424919141   26.5529500882306       64.7005879057286   56.8027485265915    0.948346927865419        0.982525169089616
0.415   28.5509237057218          27.5917164017714     25.8541133140961   26.8478902651326       64.6036097756655   56.672642008105    0.959207303950382        0.993776951036459
0.42   28.8736996121014          27.9036482104183     26.1371516641145   27.1421635320767       64.5067770037517   56.5427305030995    0.970051401683104        1.00501186796224
0.425   29.195991717563          28.2151124721001     26.4195409435326   27.435770888678       64.4100893721131   56.413013719274    0.980879245462816        1.01622994514545
0.43   29.5178007472638          28.5261098876116     26.7012821252264   27.7287133330533       64.3135466632029   56.2834913647658    0.991690859652152        1.02743120782689
0.435   29.8391274252744          28.8366411566971     26.9823761806139   28.0209918618232       64.2171486597998   56.1541631481496    1.00248626857729        1.0386156812093
0.44   30.1599724745798          29.1467069780519     27.2628240796568   28.3126074701146       64.1208951450082   56.0250287784367    1.01326549652788        1.04978339045777
0.445   30.4803366170817          29.4563080493245     27.5426267908631   28.6035611515628       64.0247859022577   55.8960879650748    1.02402856775718        1.06093436069968
0.45   30.8002205735993          29.7654450671172     27.8217852812891   28.8938538983138       63.9288207153024   55.767340417947    1.03477550648211        1.07206861702466
0.455   31.1196250638719          30.0741187269886     28.1003005165415   29.1834867010264       63.8329993682206   55.6387858473713    1.04550633688328        1.08318618448487
0.46   31.4385508065596          30.3823297234545     28.3781734607799   29.4724605488747       63.7373216454143   55.5104239640999    1.05622108310508        1.0942870880948
0.465   31.7569985192454          30.6900787499897     28.6554050767184   29.7607764295499       63.6417873316085   55.3822544793183    1.06691976925567        1.1053713528315
0.47   32.0749689184369          30.9973664990298     28.9319963256285   30.048435329263       63.5463962118511   55.2542771046453    1.0776024194071        1.11643900363456
0.475   32.3924627195676          31.3041936619722     29.2079481673405   30.3354382327467       63.4511480715119   55.1264915521317    1.08826905759537        1.1274900654062
0.48   32.7094806369987          31.6105609291783     29.4832615602465   30.6217861232578       63.3560426962826   54.9988975342599    1.09891970782037        1.13852456301133
0.485   33.0260233840206          31.9164689899744     29.7579374613015   30.9074799825791       63.261079872176   54.8714947639434    1.10955439404614        1.14954252127755
0.49   33.3420916728546          32.221918532654     30.0319768260267   31.192520791022       63.1662593855258   54.7442829545258    1.12017314020066        1.16054396499529
0.495   33.6576862146546          32.5269102444784     30.3053806085108   31.4769095274285       63.0715810229858   54.6172618197806    1.13077597017615        1.17152891891779
0.5   33.9728077195083          32.8314448116794     30.5781497614123   31.7606471691736       62.9770445715297   54.4904310739102    1.14136290782898        1.18249740776123
0.505   34.2874568964394          33.1355229194596     30.8502852359623   32.0437346921669       62.8826498184504   54.3637904315452    1.15193397697973        1.19344945620469
0.51   34.6016344534085          33.4391452519951     31.1217879819655   32.3261730708558       62.7883965513596   54.2373396077442    1.16248920141334        1.20438508889025
0.515   34.9153410973153          33.7423124924362     31.3926589478034   32.6079632782265       62.6942845581876   54.1110783179928    1.17302860487907        1.21530433042312
0.52   35.2285775339999          34.0450253229093     31.6628990804358   32.8891062858075       62.6003136271822   53.9850062782031    1.18355221109056        1.22620720537164
0.525   35.5413444682444          34.3472844245185     31.9325093254033   33.1696030636705       62.5064835469088   53.8591232047128    1.19406004372594        1.23709373826723
0.53   35.8536426037745          34.6490904773467     32.2014906268289   33.4494545804335       62.4127941062498   53.7334288142851    1.20455212642782        1.2479639536046
0.535   36.1654726432613          34.9504441604578     32.4698439274209   33.7286618032627       62.3192450944037   53.6079228241075    1.21502848280344        1.2588178758418
0.54   36.4768352883223          35.2513461518977     32.7375701684743   34.0072256978744       62.2258363008855   53.4826049517915    1.22548913642459        1.26965552940006
0.545   36.7877312395237          35.551797128696     33.0046702898734   34.2851472285376       62.1325675155251   53.3574749153718    1.23593411082772        1.28047693866418
0.55   37.0981611963815          35.8517977668674     33.2711452300935   34.5624273580759       62.0394385284677   53.2325324333058    1.24636342951406        1.29128212798232
0.555   37.4081258573633          36.1513487414137     33.5369959262036   34.8390670478697       61.9464491301732   53.1077772244727    1.25677711594954        1.30207112166614
0.56   37.7176259198895          36.4504507263246     33.8022233138678   35.1150672578587       61.8535991114153   52.9832090081735    1.26717519356497        1.31284394399087
0.565   38.0266620803356          36.7491043945796     34.066828327348   35.3904289465433       61.7608882632815   52.8588275041294    1.27755768575606        1.32360061919537
0.57   38.3352350340331          37.0473104181497     34.3308118995055   35.6651530709877       61.6683163771723   52.7346324324822    1.28792461588335        1.33434117148222
0.575   38.6433454752711          37.3450694679986     34.5941749618036   35.9392405868212       61.5758832448009   52.6106235137928    1.29827600727252        1.34506562501763
0.58   38.9509940972983          37.6423822140841     34.8569184443094   36.212692448241       61.4835886581927   52.486800469041    1.3086118832142        1.3557740039316
0.585   39.2581815923242          37.9392493253602     35.1190432756958   36.4855096080138       61.3914324096849   52.3631630196251    1.31893226696402        1.36646633231802
0.59   39.5649086515209          38.235671469778     35.380550383244   36.7576930174786       61.2994142919259   52.2397108873607    1.32923718174293        1.37714263423462
0.595   39.8711759650243          38.5316493142874     35.641440692845   37.0292436265481       61.2075340978749   52.1164437944804    1.33952665073698        1.38780293370311
0.6   40.1769842219361          38.8271835248386     35.9017151290023   37.3001623837114       61.1157916208014   51.9933614636332    1.34980069709748        1.39844725470913
0.605   40.4823341103249          39.1222747663839     36.1613746148335   37.5704502360359       61.0241866542847   51.8704636178838    1.36005934394102        1.40907562120243
0.61   40.7872263172282          39.4169237028785     36.4204200720726   37.8401081291694       60.9327189922138   51.7477499807121    1.37030261434961        1.41968805709681
0.615   41.0916615286534          39.7111309972828     36.6788524210721   38.1091370073424       60.8413884287862   51.6252202760122    1.38053053137057        1.4302845862703
0.62   41.39564042958          40.0048973115633     36.9366725808049   38.37753781337       60.7501947585082   51.5028742280924    1.39074311801669        1.44086523256509
0.625   41.6991637039606          40.2982233066942     37.1938814688666   38.6453114886542       60.6591377761941   51.3807115616739    1.40094039726639        1.4514300197876
0.63   42.0022320347228          40.5911096426593     37.4504800014773   38.9124589731859       60.5682172769654   51.2587320018907    1.41112239206343        1.46197897170865
0.635   42.3048461037703          40.8835569784529     37.7064690934839   39.1789812055472       60.4774330562512   51.1369352742887    1.4212891253174        1.47251211206336
0.64   42.607006591985          41.1755659720816     37.961849658362   39.4448791229133       60.3867849097868   51.0153211048253    1.43144061990337        1.48302946455136
0.645   42.908714179228          41.4671372805657     38.2166226082181   39.7101536610546       60.2962726336138   50.8938892198685    1.44157689866228        1.49353105283657
0.65   43.2099695443417          41.758271559941     38.4707888537914   39.9748057543391       60.2058960240797   50.7726393461965    1.45169798440072        1.50401690054767
0.655   43.5107733651507          42.0489694652595     38.7243493044563   40.2388363357341       60.1156548778371   50.651571210997    1.46180389989118        1.51448703127779
0.66   43.8111263184636          42.3392316505917     38.9773048682239   40.5022463368086       60.0255489918432   50.5306845418667    1.47189466787192        1.52494146858473
0.665   44.1110290800749          42.6290587690277     39.2296564517443   40.7650366877353       59.9355781633598   50.4099790668106    1.48197031104719        1.53538023599096
0.67   44.4104823247658          42.9184514726785     39.4814049603088   41.0272083172926       59.8457421899525   50.2894545142412    1.49203085208721        1.54580335698378
0.675   44.7094867263062          43.207410412678     39.7325512978517   41.2887621528669       59.7560408694904   50.1691106129783    1.50207631362815        1.55621085501517
0.68   45.0080429574562          43.4959362391838     39.9830963669525   41.5496991204545       59.6664740001454   50.0489470922481    1.51210671827238        1.566602753502
0.685   45.3061516899674          43.7840296013792     40.2330410688377   41.8100201446638       59.5770413803921   49.9289636816825    1.52212208858826        1.57697907582605
0.69   45.6038135945846          44.0716911474742     40.4823863033831   42.0697261487171       59.4877428090069   49.8091601113189    1.53212244711042        1.58733984533399
0.695   45.9010293410473          44.3589215247077     40.7311329691156   42.3288180544533       59.3985780850681   49.6895361115991    1.54210781633959        1.59768508533769
0.7   46.1977995980909          44.6457213793479     40.9792819632154   42.5872967823292       59.309547007955   49.5700914133692    1.55207821874293        1.60801481911386
0.705   46.4941250334487          44.9320913566948     41.2268341815178   42.8451632514222       59.2206493773476   49.4508257478785    1.56203367675383        1.61832906990441
0.71   46.790006313853          45.2180321010809     41.4737905185156   43.102418379432       59.1318849932264   49.3317388467792    1.57197421277213        1.62862786091639
0.715   47.0854441050368          45.5035442558729     41.7201518673607   43.3590630826828       59.0432536558712   49.2128304421256    1.58189984916394        1.63891121532215
0.72   47.3804390717354          45.7886284634734     41.9659191198662   43.6150982761254       58.9547551658617   49.094100266374    1.591810608262        1.64917915625922
0.725   47.6749918776874          46.0732853653219     42.2110931665087   43.8705248733391       58.8663893240761   48.9755480523812    1.60170651236547        1.65943170683045
0.73   47.9691031856368          46.3575156018966     42.4556748964299   44.1253437865339       58.7781559316912   48.8571735334049    1.61158758374023        1.66966889010406
0.735   48.2627736573342          46.6413198127156     42.6996651974388   44.3795559265526       58.690054790182   48.7389764431022    1.62145384461862        1.67989072911379
0.74   48.5560039535383          46.9246986363386     42.9430649560139   44.6331622028726       58.6020857013208   48.6209565155297    1.63130531719974        1.69009724685871
0.745   48.8487947340174          47.2076527103679     43.1858750573048   44.8861635236083       58.514248467177   48.5031134851424    1.64114202364944        1.70028846630353
0.75   49.1411466575508          47.4901826714505     43.4280963851343   45.1385607955127       58.426542890117   48.3854470867935    1.65096398610029        1.71046441037844
0.755   49.4330603819304          47.7722891552787     43.6697298220006   45.39035492398       58.3389687728031   48.2679570557336    1.66077122665171        1.72062510197941
0.76   49.7245365639625          48.0539727965924     43.9107762490791   45.641546813047       58.2515259181935   48.1506431276101    1.67056376737004        1.7307705639679
0.765   50.0155758594683          48.3352342291798     44.1512365462245   45.8921373653958       58.1642141295417   48.0335050384665    1.68034163028842        1.7409008191713
0.77   50.3061789232864          48.6160740858793     44.3911115919724   46.1421274823551       58.0770332103963   47.9165425247421    1.6901048374071        1.75101589038264
