#   t     x    xteo    y     yteo      vx     vy     xerr      yerr
0   6.95162461185376e-310          0     0   0       7.07372016677031   99.7494986604055    6.95162461185376e-310        0
0.005   0.0353420876361818          0.353288358083144     0.49826117577399   0.353175914312056       7.06311754047946   99.5550203076732    0.317946270446962        0.145085261461934
0.01   0.0706312018808934          0.706047180879916     0.995550688713776   0.705597630542615       7.05253080620604   99.3608334537913    0.635415978999022        0.289953058171161
0.015   0.105867422134657          1.05827726209783     1.49186999522104   1.05726627914077       7.04195994012991   99.1669376618391    0.952409839963171        0.434603716080264
0.02   0.141050827678982          1.40997939425468     1.98722054951448   1.40818298886116       7.03140491846662   98.973332495551    1.2689285665757        0.579037560653327
0.025   0.176181497676547          1.76115436868046     2.48160380363313   1.75834888676661       7.02086571746735   98.7800175193154    1.58497287100391        0.72325491686652
0.03   0.211259511171373          2.11180297551897     2.97502120743958   2.10776509823061       7.0103423134189   98.5869922981735    1.9005434643476        0.867256109208978
0.035   0.246284947089007          2.46192600372973     3.46747420862326   2.4564327469398       6.99983468264361   98.3942563978184    2.21564105664072        1.01104146168346
0.04   0.281257884236692          2.81152424108974     3.95896425270369   2.80435295489668       6.9893428014993   98.2018093845943    2.53026635685304        1.154611297807
0.045   0.316178401303554          3.16059847419512     4.44949278303373   3.15152684242185       6.97886664637925   98.0096508254952    2.84442007289157        1.29796594061188
0.05   0.351046576860769          3.50914948846309     4.93906124080286   3.49795552815683       6.96840619371208   97.8177802881645    3.15810291160233        1.44110571264603
0.055   0.385862489361748          3.85717806813357     5.42767106504038   3.84364012906633       6.95796141996178   97.6261973408933    3.47131557877182        1.58403093597405
0.06   0.420626217142308          4.20468499627097     5.91532369261865   4.1885817604409       6.94753230162762   97.4349015526197    3.78405877912867        1.72674193217775
0.065   0.455337838420852          4.5516710547661     6.40202055825635   4.53278153589948       6.93711881524405   97.2438924929285    4.09633321634525        1.86923902235687
0.07   0.489997431298542          4.89813702433768     6.88776309452171   4.87624056739173       6.92672093738075   97.0531697320489    4.40813959303914        2.01152252712999
0.075   0.524605073759476          5.24408368453431     7.3725527318357   5.21895996520067       6.91633864464247   96.8627328408547    4.71947861077483        2.15359276663503
0.08   0.559160843670864          5.58951181373611     7.85639089847526   5.56094083794517       6.90597191366905   96.6725813908628    5.03035097006524        2.29545006053009
0.085   0.593664818783205          5.93442218915651     8.33927902057655   5.9021842925824       6.89562072113535   96.4827149542323    5.34075737037331        2.43709472799414
0.09   0.628117076730455          6.27881558684403     8.82121852213809   6.24269143441035       6.88528504375117   96.2931331037639    5.65069851011357        2.57852708772774
0.095   0.66251769503021          6.62269278168392     9.30221082502404   6.58246336707026       6.87496485826125   96.1038354128982    5.96017508665371        2.71974745795378
0.1   0.696866751083875          6.96605454740007     9.78225734896735   6.92150119254925       6.86466014144515   95.9148214557152    6.26918779631619        2.86075615641809
0.105   0.731164322176842          7.30890165655654     10.2613595115729   7.25980601118257       6.85437087011726   95.7260908069336    6.5777373343797        3.00155350039037
0.11   0.76541048547866          7.6512348805595     10.739518728321   7.5973789216563       6.84409702112671   95.5376430419092    6.88582439508084        3.14213980666468
0.115   0.79960531804321          7.99305498965885     11.2167364125699   7.93422102100969       6.83383857135735   95.3494777366345    7.19344967161564        3.28251539156024
0.12   0.83374889680888          8.33436275294994     11.6930139755599   8.27033340463763       6.82359549772764   95.1615944677376    7.50061385614107        3.42268057092225
0.125   0.867841298598737          8.67515893837544     12.1683528264156   8.60571716629326       6.81336777719068   94.9739928124809    7.8073176397767        3.56263566012234
0.13   0.901882600120698          9.01544431272689     12.6427543721498   8.94037339809022       6.8031553867341   94.7866723487606    8.11356171260619        3.70238097405954
0.135   0.935872877967708          9.35521964164651     13.1162200176661   9.27430319050521       6.79295830337999   94.5996326551057    8.4193467636788        3.84191682716089
0.14   0.969812208617905          9.69448568962896     13.5887511657626   9.60750763238051       6.78277650418494   94.4128733106768    8.72467348101106        3.98124353338208
0.145   1.0037006684348          10.0332432200229     14.0603492171346   9.93998781092625       6.77260996623987   94.2263938952652    9.02954255158815        4.12036140620833
0.15   1.03753833366744          10.3714929950331     14.5310155703779   10.2717448117231       6.76245866667008   94.0401939892923    9.33395466136566        4.25927075865485
0.155   1.07132528045058          10.7092357757215     15.0007516219922   10.6027797187245       6.75232258263513   93.854273173808    9.63791049527097        4.3979719032677
0.16   1.10506158480487          11.0464723220097     15.4695587663838   10.9330936142592       6.74220169132884   93.6686310304905    9.9414107372048        4.53646515212461
0.165   1.13874732263701          11.3832033926799     15.937438395869   11.2626875790336       6.7320959699792   93.4832671416449    10.2444560700428        4.6747508168354
0.17   1.17238256973993          11.7194297453771     16.4043919006773   11.5915626921344       6.72200539584833   93.2981810902024    10.5470471756372        4.81282920854291
0.175   1.20596740179294          12.055152136611     16.8704206689543   11.9197200310309       6.71192994623243   93.1133724597193    10.849184734818        4.95070063792349
0.18   1.23950189436192          12.3903713217569     17.3355260867651   12.247160671577       6.70186959846173   92.9288408343761    11.150869427395        5.08836541518801
0.185   1.27298612289951          12.7250880550581     17.7997095380969   12.5738856880147       6.69182432990045   92.7445857989765    11.4521019321586        5.22582385008224
0.19   1.30642016274523          13.0593030896276     18.262972404863   12.8998961529753       6.68179411794674   92.5606069389467    11.7528829268824        5.36307625188769
0.195   1.33980408912569          13.3930171774492     18.7253160669049   13.2251931374825       6.6717789400326   92.3769038403341    12.0532130883235        5.50012292942234
0.2   1.37313797715473          13.7262310693797     19.1867419019962   13.5497777109549       6.66177877362389   92.1934760898068    12.353093092225        5.63696419104131
0.205   1.40642190183361          14.0589455151507     19.6472512858452   13.8736509412078       6.65179359622023   92.0103232746521    12.652523613317        5.77360034463742
0.21   1.43965593805118          14.3911612633696     20.1068455920984   14.1968138944563       6.64182338535495   91.8274449827761    12.9515053253184        5.91003169764214
0.215   1.47284016058404          14.7228790615221     20.5655261923432   14.5192676353171       6.6318681185951   91.6448408027027    13.2500389009381        6.04625855702606
0.22   1.50597464409669          15.0540996559734     21.0232944561112   14.8410132268115       6.6219277735413   91.4625103235723    13.5481250118767        6.18228122929966
0.225   1.53905946314175          15.3848237919699     21.4801517508812   15.1620517303672       6.61200232782779   91.2804531351413    13.8457643288282        6.31810002051398
0.23   1.57209469216006          15.7150522136412     21.9360994420824   15.482384205821       6.60209175912229   91.098668827781    14.1429575214811        6.45371523626143
0.235   1.60508040548091          16.0447856640012     22.3911388930974   15.8020117114212       6.59219604512604   90.9171569924765    14.4397052585203        6.58912718167623
0.24   1.63801667732217          16.3740248849504     22.8452714652652   16.1209353038298       6.58231516357366   90.7359172208262    14.7360082076282        6.72433616143535
0.245   1.67090358179046          16.7027706172772     23.2984985178843   16.4391560381253       6.57244909223317   90.5549491050404    15.0318670354867        6.85934247975901
0.25   1.70374119288133          17.0310236006596     23.7508214082158   16.7566749678043       6.56259780890591   90.3742522379409    15.3272824077783        6.99414644041154
0.255   1.73652958447942          17.3587845736669     24.2022414914866   17.0734931447847       6.55276129142648   90.1938262129597    15.6222549891875        7.1287483467019
0.26   1.76926883035862          17.6860542737616     24.652760120892   17.3896116194076       6.54293951766272   90.0136706241381    15.9167854434029        7.2631485014844
0.265   1.80195900418226          18.0128334373004     25.1023786475993   17.7050314404398       6.53313246551563   89.8337850661259    16.2108744331182        7.39734720715948
0.27   1.83460017950323          18.3391227995368     25.5510984207503   18.019753655076       6.52334011291934   89.6541691341806    16.5045226200336        7.53134476567424
0.275   1.86719242976419          18.664923094622     25.9989207874648   18.3337793089415       6.51356243784105   89.4748224241662    16.7977306648578        7.66514147852328
0.28   1.89973582829773          18.9902350556066     26.4458470928434   18.6471094460941       6.50379941828098   89.2957445325527    17.0904992273088        7.79873764674926
0.285   1.9322304483265          19.3150594144427     26.8918786799704   18.9597451090268       6.49405103227236   89.1169350564146    17.3828289661162        7.93213357094359
0.29   1.96467636296341          19.6393969019854     27.3370168899174   19.2716873386702       6.48431725788128   88.9383935934305    17.674720539022        8.06532955124717
0.295   1.99707364521177          19.9632482479941     27.7812630617453   19.5829371743943       6.47459807320677   88.7601197418821    17.9661746027823        8.19832588735103
0.3   2.02942236796551          20.2866141811344     28.2246185325085   19.8934956540116       6.46489345638066   88.5821131006532    18.2571918131689        8.33112287849697
0.305   2.06172260400924          20.6094954289798     28.667084637257   20.2033638137787       6.45520338556754   88.4043732692287    18.5477728249706        8.46372082347824
0.31   2.09397442601851          20.9318927180134     29.1086627090396   20.5125426883993       6.44552783896476   88.2268998476939    18.8379182919949        8.59612002064032
0.315   2.12617790655995          21.253806773629     29.5493540789075   20.821033311026       6.43586679480233   88.0496924367335    19.1276288670691        8.72832076788143
0.32   2.15833311809139          21.5752383201336     29.9891600759163   21.1288367132629       6.42622023134289   87.8727506376309    19.4169052020422        8.86032336265336
0.325   2.19044013296207          21.8961880807481     30.4280820271298   21.4359539251679       6.41658812688169   87.6960740522668    19.705747947786        8.9921281019619
0.33   2.22249902341279          22.2166567776097     30.8661212576227   21.7423859752549       6.40697045974647   87.5196622831189    19.994157754197        9.12373528236786
0.335   2.25450986157606          22.5366451317732     31.3032790904835   22.0481338904961       6.39736720829749   87.3435149332607    20.2821352701971        9.2551451999874
0.34   2.28647271947629          22.8561538632123     31.7395568468175   22.3531986963246       6.38777835092742   87.1676316063604    20.569681143736        9.3863581504929
0.345   2.31838766902992          23.175183690822     32.17495584575   22.6575814166364       6.37820386606133   86.9920119066807    20.856796021792        9.51737442911362
0.35   2.35025478204561          23.4937353324194     32.609477404429   22.9612830737928       6.36864373215663   86.816655439077    21.1434805503738        9.64819433063614
0.355   2.38207413022436          23.8118095047459     33.0431228380281   23.2643046886227       6.359097927703   86.6415618089973    21.4297353745215        9.77881814940535
0.36   2.41384578515972          24.1294069234685     33.4758934597499   23.566647280425       6.34956643122239   86.4667306224807    21.7155611383088        9.90924617932491
0.365   2.44556981833793          24.4465283031815     33.9077905808285   23.8683118669706       6.34004922126893   86.2921614861571    22.0009584848436        10.0394787138579
0.37   2.47724630113808          24.7631743574082     34.3388155105327   24.1692994645051       6.33054627642889   86.1178540072459    22.2859280562701        10.1695160460276
0.375   2.50887530483228          25.0793457986023     34.7689695561688   24.4696110877508       6.32105757532063   85.943807793555    22.57047049377        10.2993584684181
0.38   2.54045690058578          25.3950433381498     35.1982540230837   24.7692477499089       6.31158309659458   85.7700224534805    22.854586437564        10.4290062731747
0.385   2.57199115945719          25.7102676863701     35.6266702146676   25.0682104626623       6.30212281893316   85.5964975960054    23.1382765269129        10.5584597520053
0.39   2.60347815239862          26.0250195525182     36.0542194323572   25.3665002361771       6.29267672105073   85.4232328306985    23.4215414001196        10.6877191961802
0.395   2.6349179502558          26.339299644786     36.4809029756386   25.6641180791055       6.28324478169357   85.2502277677141    23.7043816945302        10.8167848965331
0.4   2.6663106237683          26.6531086703038     36.9067221420499   25.961064998588       6.27382697963982   85.0774820177907    23.9867980465355        10.9456571434619
0.405   2.69765624356964          26.966447335142     37.3316782271845   26.2573420002552       6.26442329369942   84.9049951922503    24.2687910915723        11.0743362269293
0.41   2.72895488018749          27.2793163443127     37.7557725246938   26.5529500882306       6.25503370271407   84.7327669029975    24.5503614641252        11.2028224364632
0.415   2.76020660404378          27.5917164017714     38.1790063262903   26.8478902651326       6.24565818555718   84.5607967625185    24.8315097977276        11.3311160611577
0.42   2.79141148545491          27.9036482104183     38.6013809217502   27.1421635320767       6.23629672113384   84.3890843838805    25.1122367249634        11.4592173896735
0.425   2.82256959463188          28.2151124721001     39.0228975989166   27.435770888678       6.22694928838074   84.2176293807306    25.3925428774683        11.5871267102386
0.43   2.85368100168044          28.5261098876116     39.4435576437023   27.7287133330533       6.21761586626617   84.0464313672949    25.6724288859312        11.714844310649
0.435   2.88474577660128          28.8366411566971     39.8633623400926   28.0209918618232       6.20829643378992   83.8754899583778    25.9518953800958        11.8423704782694
0.44   2.91576398929014          29.1467069780519     40.2823129701484   28.3126074701146       6.19899096998327   83.704804769361    26.2309429887618        11.9697055000338
0.445   2.94673570953803          29.4563080493245     40.7004108140087   28.6035611515628       6.1896994539089   83.5343754162029    26.5095723397865        12.0968496624459
0.45   2.97766100703132          29.7654450671172     41.117657149894   28.8938538983138       6.18042186466091   83.3642015154373    26.7877840600859        12.2238032515802
