#   t     x    xteo    y     yteo      vx     vy     xerr      yerr
0   6.95162461185376e-310          0     0   0       21.9006687093042   97.5723357826659    6.95162461185376e-310        0
0.005   0.109421257070819          0.353288358083144     0.487383521667064   0.353175914312056       21.8678423321829   97.3811207261658    0.243867101012325        0.134207607355008
0.01   0.218678505293445          0.706047180879916     0.973811684749839   0.705597630542615       21.8350651577161   97.190192277241    0.487368675586471        0.268214054207223
0.015   0.327771990496731          1.05827726209783     1.45928592121196   1.05726627914077       21.8023371121552   96.9995500063023    0.730505271601097        0.402019642071187
0.02   0.436701958141065          1.40997939425468     1.94380766087072   1.40818298886116       21.7696581218618   96.8091934844046    0.973277436113618        0.535624672009569
0.025   0.545468653318921          1.76115436868046     2.42737833140032   1.75834888676661       21.7370281133085   96.6191222832458    1.21568571536154        0.669029444633702
0.03   0.654072320755408          2.11180297551897     2.90999935833501   2.10776509823061       21.7044470130775   96.4293359751653    1.45773065476356        0.802234260104407
0.035   0.762513204808824          2.46192600372973     3.39167216507239   2.4564327469398       21.6719147478615   96.2398341331441    1.6994127989209        0.93523941813259
0.04   0.870791549471204          2.81152424108974     3.87239817287652   2.80435295489668       21.6394312444628   96.0506163308029    1.94073269161853        1.06804521797984
0.045   0.978907598368868          3.16059847419512     4.3521788008812   3.15152684242185       21.6069964297935   95.8616821424015    2.18169087582625        1.20065195845934
0.05   1.08686159476297          3.50914948846309     4.8310154660931   3.49795552815683       21.5746102308753   95.673031142838    2.42228789370012        1.33305993793627
0.055   1.19465378155006          3.85717806813357     5.30890958339498   3.84364012906633       21.5422725748391   95.4846629076474    2.66252428658351        1.46526945432865
0.06   1.30228440126258          4.20468499627097     5.78586256554888   4.1885817604409       21.5099833889254   95.2965770130012    2.90240059500839        1.59728080510798
0.065   1.40975369606949          4.5516710547661     6.26187582319926   4.53278153589948       21.4777426004833   95.1087730357061    3.14191735869661        1.72909428729979
0.07   1.51706190777674          4.89813702433768     6.73695076487623   4.87624056739173       21.4455501369711   94.921250553203    3.38107511656094        1.8607101974845
0.075   1.62420927782785          5.24408368453431     7.21108879699865   5.21895996520067       21.4134059259558   94.7340091435663    3.61987440670645        1.99212883179798
0.08   1.73119604730446          5.58951181373611     7.68429132387737   5.56094083794517       21.3813098951128   94.5470483855027    3.85831576643165        2.1233504859322
0.085   1.83802245692683          5.93442218915651     8.15655974771834   5.9021842925824       21.3492619722261   94.3603678583504    4.09639973222968        2.25437545513594
0.09   1.94468874705444          6.27881558684403     8.62789546862576   6.24269143441035       21.3172620851878   94.1739671420782    4.33412683978959        2.38520403421542
0.095   2.05119515768647          6.62269278168392     9.09829988460528   6.58246336707026       21.2853101619982   93.9878458172843    4.57149762399745        2.51583651753502
0.1   2.15754192846241          6.96605454740007     9.5677743915671   6.92150119254925       21.2534061307654   93.8020034651958    4.80851261893766        2.64627319901785
