#   t     x    xteo    y     yteo      vx     vy     xerr      yerr
5.5   167.409943545662          190.435662824852     126.758025191874   106.230671962776       11.9380137633679   -9.19471659481451    23.0257192791903        20.5273532290976
5.505   167.469588869293          190.503511821738     126.711973628067   106.17730685114       11.9201201662784   -9.22590112567237    23.0339229524453        20.5346667769266
5.51   167.529144792007          190.571259121422     126.665766258489   106.123796895831       11.9022533894643   -9.257038914799    23.0421143294149        20.5419693626576
5.515   167.588611447804          190.638904876333     126.619403316674   106.070142313953       11.8844133927253   -9.28813003225447    23.0502934285296        20.5492610027213
5.52   167.647988970483          190.706449238676     126.572885035805   106.016343322281       11.8666001359215   -9.31917454799379    23.0584602681927        20.5565417135239
5.525   167.707277493645          190.773892360424     126.526211648716   105.962400137269       11.848813578973   -9.35017253186712    23.0666148667793        20.5638115114471
5.53   167.766477150688          190.841234393325     126.479383387892   105.908312975044       11.83105368186   -9.38112405361995    23.0747572426374        20.5710704128478
5.535   167.825588074812          190.908475488899     126.43240048547   105.854082051411       11.8133204046228   -9.41202918289321    23.0828874140875        20.5783184340586
5.54   167.884610399016          190.975615798438     126.385263173237   105.79970758185       11.7956137073614   -9.44288798922347    23.0910053994218        20.5855555913876
5.545   167.943544256101          191.042655473008     126.337971682636   105.745189781517       11.7779335502359   -9.47370054204305    23.0991112169067        20.5927819011183
5.55   168.002389778668          191.109594663448     126.29052624476   105.690528865249       11.7602798934658   -9.5044669106802    23.1072048847796        20.59999737951
5.555   168.061147099119          191.176433520371     126.242927090356   105.635725047559       11.7426526973305   -9.53518716435926    23.1152864212515        20.6072020427975
5.56   168.119816349659          191.243172194165     126.195174449828   105.580778542637       11.7250519221687   -9.56586137220082    23.123355844506        20.6143959071913
5.565   168.178397662292          191.309810834991     126.147268553232   105.525689564354       11.7074775283786   -9.59648960322187    23.131413172699        20.6215789888776
5.57   168.236891168828          191.376349592788     126.099209630279   105.47045832626       11.6899294764179   -9.62707192633592    23.1394584239598        20.6287513040183
5.575   168.295297000876          191.442788617266     126.050997910336   105.415085041585       11.6724077268034   -9.65760841035324    23.14749161639        20.635912868751
5.58   168.35361528985          191.509128057914     126.002633622428   105.359569923239       11.6549122401113   -9.6880991239809    23.1555127680643        20.6430636991895
5.585   168.411846166966          191.575368063996     125.954116995236   105.303913183813       11.6374429769766   -9.71854413582305    23.1635218970304        20.650203811423
5.59   168.469989763243          191.641508784552     125.905448257095   105.248115035578       11.6199998980934   -9.74894351438095    23.1715190213089        20.6573332215169
5.595   168.528046209504          191.707550368398     125.856627636003   105.192175690491       11.602582964215   -9.77929732805323    23.1795041588933        20.6644519455121
5.6   168.586015636377          191.773492964127     125.807655359612   105.136095360186       11.5851921361531   -9.80960564513598    23.18747732775        20.6715599994259
5.605   168.643898174293          191.839336720112     125.758531655235   105.079874255984       11.5678273747784   -9.83986853382293    23.1954385458186        20.6786573992515
5.61   168.701693953487          191.905081784499     125.709256749844   105.023512588886       11.5504886410202   -9.87008606220559    23.2033878310122        20.685744160958
5.615   168.759403104          191.970728305216     125.65983087007   104.96701056958       11.5331758958662   -9.9002582982734    23.2113252012164        20.6928203004904
5.62   168.817025755678          192.036276429968     125.610254242205   104.910368408435       11.5158891003629   -9.93038530991393    23.2192506742903        20.6998858337704
5.625   168.874562038171          192.101726306237     125.560527092202   104.853586315507       11.498628215615   -9.96046716491295    23.2271642680663        20.7069407766951
5.63   168.932012080937          192.167078081287     125.510649645674   104.796664500536       11.4813932027853   -9.99050393095466    23.2350660003499        20.7139851451384
5.635   168.989376013237          192.232331902157     125.460622127898   104.739603172948       11.4641840230952   -10.0204956756218    23.24295588892        20.72101895495
5.64   169.046653964141          192.29748791567     125.410444763811   104.682402541855       11.447000637824   -10.0504424663957    23.2508339515292        20.7280422219559
5.645   169.103846062524          192.362546268427     125.360117778015   104.625062816056       11.429843008309   -10.0803443706568    23.2587002059026        20.7350549619585
5.65   169.160952437069          192.427507106809     125.309641394774   104.567584204037       11.4127110959456   -10.1102014556844    23.2665546697397        20.7420571907366
5.655   169.217973216265          192.492370576977     125.259015838015   104.50996691397       11.395604862187   -10.1400137886569    23.2743973607128        20.7490489240451
5.66   169.274908528407          192.557136824875     125.208241331332   104.452211153717       11.3785242685441   -10.169781436652    23.2822282964681        20.7560301776155
5.665   169.331758501602          192.621805996227     125.157318097982   104.394317130827       11.3614692765856   -10.199504466647    23.2900474946251        20.7630009671554
5.67   169.388523263762          192.686378236539     125.106246360888   104.336285052538       11.3444398479378   -10.2291829455187    23.2978549727771        20.7699613083494
5.675   169.445202942606          192.750853691097     125.055026342638   104.27811512578       11.3274359442844   -10.2588169400437    23.3056507484911        20.776911216858
5.68   169.501797665665          192.815232504972     125.003658265487   104.219807557169       11.3104575273667   -10.2884065168985    23.3134348393071        20.7838507083186
5.685   169.558307560277          192.879514823017     124.952142351358   104.161362553013       11.2935045589831   -10.3179517426597    23.3212072627396        20.7907797983451
5.69   169.614732753589          192.943700789866     124.900478821839   104.102780319311       11.2765770009896   -10.347452683804    23.3289680362766        20.7976985025279
5.695   169.671073372557          193.007790549937     124.848667898187   104.044061061753       11.2596748152991   -10.3769094067085    23.3367171773799        20.8046068364341
5.7   169.727329543949          193.071784247434     124.796709801329   103.985204985721       11.2427979638817   -10.406321977651    23.3444547034847        20.8115048156075
