#   t     x    xteo    y     yteo      vx     vy     xerr      yerr
0   6.95162461185376e-310          0     0   0       49.7571047891727   86.7423225594017    6.95162461185376e-310        0
0.005   0.248599028025238          0.353288358083144     0.433274047809778   0.353175914312056       49.6825250807651   86.5673403450588    0.104689330057906        0.0800981334977227
0.01   0.496825437042616          0.706047180879916     0.865673840403309   0.705597630542615       49.6080571580599   86.3926204072807    0.2092217438373        0.160076209860693
0.015   0.744679785561658          1.05827726209783     1.29720068818037   1.05726627914077       49.5337008535042   86.2181623529476    0.31359747653617        0.239934409039597
0.02   0.992162631254755          1.40997939425468     1.72785589957661   1.40818298886116       49.4594559997963   86.0439657895287    0.417816762999929        0.319672910715455
0.025   1.23927453095841          1.76115436868046     2.15764078106651   1.75834888676661       49.3853224298852   85.8700303250817    0.521879837722045        0.399291894299891
0.03   1.48601604067451          2.11180297551897     2.58655663716628   2.10776509823061       49.3112999769703   85.6963555682518    0.625786934844462        0.478791538935675
0.035   1.73238771557154          2.46192600372973     3.01460477043686   2.4564327469398       49.2373884745012   85.5229411282707    0.729538288158183        0.558172023497058
0.04   1.97839010998589          2.81152424108974     3.44178648148678   2.80435295489668       49.1635877561769   85.3497866149557    0.833134131103847        0.637433526590093
0.045   2.22402377742304          3.16059847419512     3.86810306897513   3.15152684242185       49.0898976559458   85.1768916387092    0.936574696772079        0.71657622655328
0.05   2.46928927055885          3.50914948846309     4.29355582961449   3.49795552815683       49.016318008005   85.0042558105174    1.03986021790425        0.795600301457662
0.055   2.71418714124078          3.85717806813357     4.7181460581738   3.84364012906633       48.9428486468004   84.8318787419496    1.14299092689279        0.87450592910747
0.06   2.95871794048914          4.20468499627097     5.14187504748132   4.1885817604409       48.8694894070259   84.6597600451573    1.24596705578184        0.953293287040427
0.065   3.20288221849834          4.5516710547661     5.56474408842752   4.53278153589948       48.7962401236232   84.4878993328735    1.34878883626776        1.03196255252805
0.07   3.4466805246381          4.89813702433768     5.98675446996799   4.87624056739173       48.7231006317813   84.3162962184114    1.45145649969959        1.11051390257626
0.075   3.69011340745471          5.24408368453431     6.40790747912632   5.21895996520067       48.6500707669363   84.1449503156638    1.55397027707959        1.18894751392565
0.08   3.93318141467227          5.58951181373611     6.82820440099702   5.56094083794517       48.577150364771   83.9738612391026    1.65633039906384        1.26726356305185
0.085   4.17588509319389          5.93442218915651     7.24764651874841   5.9021842925824       48.5043392612145   83.8030286037772    1.75853709596262        1.34546222616601
0.09   4.41822498910295          6.27881558684403     7.66623511362549   6.24269143441035       48.4316372924418   83.6324520253141    1.86059059774108        1.42354367921514
0.095   4.66020164766432          6.62269278168392     8.08397146495284   6.58246336707026       48.3590442948734   83.4621311199159    1.9624911340196        1.50150809788258
0.1   4.90181561332558          6.96605454740007     8.50085685013749   6.92150119254925       48.286560105175   83.2920655043605    2.06423893407449        1.57935565758823
0.105   5.14306742971826          7.30890165655654     8.91689254467179   7.25980601118257       48.2141845602572   83.1222547960002    2.16583422683829        1.65708653348922
0.11   5.38395763965904          7.6512348805595     9.33207982213631   7.5973789216563       48.141917497275   82.9526986127608    2.26727724090046        1.73470090048001
0.115   5.624486785151          7.99305498965885     9.74641995420264   7.93422102100969       48.0697587536274   82.7833965731409    2.36856820450785        1.81219893319294
0.12   5.86465540738482          8.33436275294994     10.1599142106363   8.27033340463763       47.9977081669573   82.6143482962108    2.46970734556512        1.88958080599869
0.125   6.10446404674          8.67515893837544     10.5725638592997   8.60571716629326       47.9257655751508   82.4455534016118    2.57069489163544        1.96684669300642
