#   r    ph     vph    
0.62  2.9521385514491     4.69793463585978
0.625  2.97570734324984     4.73027144863042
0.63  2.99943844814009     4.76286545813931
0.635  3.02333315862849     4.79571933121354
0.64  3.04739278060977     4.82883575595872
0.645  3.07161863347221     4.86221744219624
0.65  3.09601205020729     4.89586712189967
0.655  3.12057437752151     4.92978754963052
0.66  3.14530697595043     4.96398150297374
0.665  3.17021121997479     4.99845178297304
0.67  3.19528849813894     5.03320121456635
0.675  3.22054021317132     5.06823264702167
0.68  3.24596778210722     5.10354895437352
0.685  3.27157263641367     5.13915303586006
0.69  3.29735622211653     5.17504781636143
0.695  3.32331999992977     5.21123624683905
0.7  3.34946544538698     5.24772130477654
0.705  3.37579404897502     5.2845059946221
0.71  3.40230731626998     5.32159334823268
0.715  3.42900676807527     5.3589864253202
0.72  3.45589394056205     5.39668831389977
0.725  3.48297038541179     5.43470213074036
0.73  3.51023766996117     5.47303102181785
0.735  3.53769737734924     5.51167816277078
0.74  3.56535110666685     5.55064675935887
0.745  3.59320047310838     5.58994004792459
0.75  3.62124710812579     5.62956129585775
0.755  3.64949265958501     5.66951380206346
0.76  3.67793879192467     5.70980089743349
0.765  3.7065871863172     5.75042594532123
0.77  3.73543954083227     5.79139234202037
0.775  3.76449757060273     5.83270351724751
0.78  3.79376300799288     5.87436293462871
0.785  3.82323760276921     5.91637409219033
0.79  3.85292312227366     5.95874052285413
0.795  3.88282135159927     6.0014657949368
0.8  3.91293409376839     6.04455351265412
0.805  3.94326316991347     6.08800731662994
0.81  3.97381041946029     6.13183088440987
0.815  4.00457770031388     6.17602793098017
0.82  4.03556688904702     6.22060220929171
0.825  4.06677988109129     6.26555751078921
0.83  4.09821859093093     6.31089766594598
0.835  4.12988495229923     6.3566265448042
0.84  4.16178091837778     6.40274805752092
0.845  4.19390846199831     6.44926615491991
0.85  4.22626957584749     6.49618482904953
0.855  4.25886627267433     6.54350811374668
0.86  4.2917005855006     6.59124008520705
0.865  4.32477456783397     6.63938486256179
0.87  4.35809029388417     6.68794660846073
0.875  4.39164985878197     6.73692952966223
0.88  4.42545537880124     6.78633787762996
0.885  4.45950899158389     6.8361759491366
0.89  4.49381285636796     6.88644808687464
0.895  4.52836915421872     6.9371586800745
0.9  4.56318008826286     6.98831216513003
0.905  4.59824788392589     7.03991302623153
0.91  4.63357478917266     7.09196579600656
0.915  4.66916307475117     7.14447505616854
0.92  4.70501503443955     7.19744543817334
0.925  4.74113298529646     7.25088162388408
0.93  4.77751926791471     7.30478834624421
0.935  4.81417624667839     7.35917038995905
0.94  4.8511063100233     7.41403259218595
0.945  4.88831187070097     7.46937984323326
0.95  4.92579536604616     7.52521708726818
0.955  4.96355925824781     7.58154932303376
0.96  5.00160603462382     7.63838160457515
0.965  5.03993820789928     7.69571904197526
0.97  5.07855831648849     7.75356680210005
0.975  5.11746892478074     7.81193010935357
0.98  5.15667262342986     7.87081424644293
0.985  5.19617202964765     7.93022455515341
0.99  5.23596978750114     7.99016643713378
0.995  5.2760685682139     8.05064535469224
1  5.31647107047131     8.11166683160285
1.005  5.35718002072986     8.17323645392289
1.01  5.39819817353059     8.23535987082118
1.015  5.43952831181673     8.29804279541765
1.02  5.48117324725551     8.36129100563431
1.025  5.52313582056428     8.42511034505777
1.03  5.565418901841     8.48950672381357
1.035  5.60802539089905     8.55448611945254
1.04  5.65095821760659     8.62005457784928
1.045  5.69422034223041     8.68621821411311
1.05  5.73781475578434     8.75298321351156
1.055  5.78174448038231     8.82035583240674
1.06  5.82601256959622     8.8883423992047
1.065  5.87062210881841     8.95694931531806
1.07  5.91557621562918     9.02618305614213
1.075  5.96087804016903     9.09605017204471
1.08  6.00653076551606     9.16655728936984
1.085  6.05253760806826     9.23771111145568
1.09  6.09890181793108     9.30951841966683
1.095  6.14562667931005     9.38198607444126
1.1  6.19271551090881     9.45512101635217
1.105  6.24017166633234     9.52893026718491
1.11  6.28799853449578     9.60342093102932
1.115  6.33619954003859     9.6786001953878
1.12  6.38477814374438     9.75447533229906
1.125  6.43373784296641     9.83105369947831
1.13  6.48308217205874     9.90834274147366
1.135  6.53281470281331     9.98634999083937
1.14  6.58293904490287     10.065083069326
1.145  6.63345884632988     10.1445496890879
1.15  6.68437779388157     10.2247576539083
1.155  6.7356996135911     10.305714860442
1.16  6.78742807120499     10.3874292994766
1.165  6.83956697265693     10.4699090572117
1.17  6.892120164548     10.5531623165575
1.175  6.94509153463343     10.6371973584518
1.18  6.99848501231607     10.7220225631969
1.185  7.05230456914641     10.8076464118159
1.19  7.10655421932966     10.8940774874291
1.195  7.16123802023962     10.9813244766511
1.2  7.21636007293955     11.0693961710081
1.205  7.27192452271034     11.1583014683766
1.21  7.32793555958577     11.2480493744437
1.215  7.3843974188952     11.3386490041885
1.22  7.44131438181371     11.4301095833866
1.225  7.4986907759198     11.5224404501362
1.23  7.55653097576079     11.6156510564077
1.235  7.61483940342606     11.7097509696164
1.24  7.67362052912813     11.8047498742188
1.245  7.73287887179184     11.9006575733332
1.25  7.79261899965168     11.9974839903846
1.255  7.85284553085742     12.0952391707744
1.26  7.91356313408813     12.1939332835757
1.265  7.9747765291747     12.2935766232543
1.27  8.03649048773114     12.3941796114156
1.275  8.09870983379456     12.4957527985785
1.28  8.16143944447419     12.598306865976
1.285  8.22468425060934     12.701852627384
1.29  8.28844923743673     12.8064010309771
1.295  8.35273944526705     12.9119631612139
1.3  8.41755997017108     13.0185502407507
1.305  8.48291596467538     13.1261736323849
1.31  8.54881263846787     13.2348448410282
1.315  8.61525525911327     13.3445755157103
1.32  8.68224915277868     13.4553774516141
1.325  8.74979970496935     13.5672625921416
1.33  8.81791236127499     13.6802430310128
1.335  8.88659262812648     13.7943310143964
1.34  8.95584607356345     13.9095389430743
1.345  9.0256783280127     14.0258793746398
1.35  9.09609508507771     14.1433650257297
1.355  9.16710210233942     14.2620087742922
1.36  9.23870520216839     14.3818236618896
1.365  9.31091027254858     14.5028228960373
1.37  9.38372326791298     14.6250198525803
1.375  9.45715020999106     14.7484280781063
1.38  9.53119718866856     14.8730612923971
1.385  9.60587036285951     14.9989333909192
1.39  9.68117596139081     15.1260584473537
1.395  9.75712028389963     15.2544507161659
1.4  9.83370970174368     15.3841246352162
1.405  9.91095065892469     15.5150948284124
1.41  9.98884967302519     15.6473761084046
1.415  10.067413336159     15.7809834793224
1.42  10.1466483159352     15.9159321395567
1.425  10.2265613564367     16.0522374845858
1.43  10.3071592792124     16.1899151098464
1.435  10.3884489842842     16.3289808136518
1.44  10.4704374511687     16.4694506001557
1.445  10.5531317399135     16.6113406823654
1.45  10.6365389921494     16.754667485202
1.455  10.7206664321572     16.8994476486117
1.46  10.8055213679506     17.0456980307263
1.465  10.891111192375     17.193435711076
1.47  10.9774433842228     17.3426779938532
1.475  11.0645255093641     17.4934424112312
1.48  11.1523652218956     17.6457467267353
