#   t   x   y   z     
0   1    2   3
0.005   1.0049981628827    2.00500183711731   3.010025
0.01   1.00999632576539    2.01000367423463   3.0201
0.015   1.01499448864809    2.01500551135194   3.030225
0.02   1.01999265153079    2.02000734846925   3.0404
0.025   1.02499081441348    2.02500918558657   3.050625
0.03   1.02998897729618    2.03001102270388   3.0609
0.035   1.03498714017888    2.03501285982119   3.071225
0.04   1.03998530306157    2.04001469693851   3.0816
0.045   1.04498346594427    2.04501653405582   3.092025
0.05   1.04998162882697    2.05001837117313   3.1025
0.055   1.05497979170966    2.05502020829045   3.113025
0.06   1.05997795459236    2.06002204540776   3.1236
0.065   1.06497611747506    2.06502388252507   3.134225
0.07   1.06997428035775    2.07002571964239   3.1449
0.075   1.07497244324045    2.0750275567597   3.155625
0.08   1.07997060612315    2.08002939387701   3.1664
0.085   1.08496876900584    2.08503123099433   3.177225
0.09   1.08996693188854    2.09003306811164   3.1881
0.095   1.09496509477124    2.09503490522895   3.199025
0.1   1.09996325765393    2.10003674234627   3.21
0.105   1.10496142053663    2.10503857946358   3.221025
0.11   1.10995958341933    2.11004041658089   3.2321
0.115   1.11495774630202    2.11504225369821   3.243225
0.12   1.11995590918472    2.12004409081552   3.2544
0.125   1.12495407206742    2.12504592793283   3.265625
0.13   1.12995223495011    2.13004776505015   3.2769
0.135   1.13495039783281    2.13504960216746   3.288225
0.14   1.13994856071551    2.14005143928477   3.2996
0.145   1.1449467235982    2.14505327640209   3.311025
0.15   1.1499448864809    2.1500551135194   3.3225
0.155   1.1549430493636    2.15505695063671   3.334025
0.16   1.1599412122463    2.16005878775402   3.3456
0.165   1.16493937512899    2.16506062487134   3.357225
0.17   1.16993753801169    2.17006246198865   3.3689
0.175   1.17493570089439    2.17506429910596   3.380625
0.18   1.17993386377708    2.18006613622328   3.3924
0.185   1.18493202665978    2.18506797334059   3.404225
0.19   1.18993018954248    2.1900698104579   3.4161
0.195   1.19492835242517    2.19507164757522   3.428025
0.2   1.19992651530787    2.20007348469253   3.43999999999999
0.205   1.20492467819057    2.20507532180984   3.452025
0.21   1.20992284107326    2.21007715892716   3.46409999999999
0.215   1.21492100395596    2.21507899604447   3.47622499999999
0.22   1.21991916683866    2.22008083316178   3.48839999999999
0.225   1.22491732972135    2.2250826702791   3.50062499999999
0.23   1.22991549260405    2.23008450739641   3.51289999999999
0.235   1.23491365548675    2.23508634451372   3.52522499999999
0.24   1.23991181836944    2.24008818163104   3.53759999999999
0.245   1.24490998125214    2.24509001874835   3.55002499999999
0.25   1.24990814413484    2.25009185586566   3.56249999999999
0.255   1.25490630701753    2.25509369298298   3.57502499999999
0.26   1.25990446990023    2.26009553010029   3.58759999999999
0.265   1.26490263278293    2.2650973672176   3.60022499999999
0.27   1.26990079566562    2.27009920433492   3.61289999999999
0.275   1.27489895854832    2.27510104145223   3.62562499999999
0.28   1.27989712143102    2.28010287856954   3.63839999999999
0.285   1.28489528431371    2.28510471568686   3.65122499999999
0.29   1.28989344719641    2.29010655280417   3.66409999999999
0.295   1.29489161007911    2.29510838992148   3.67702499999999
0.3   1.2998897729618    2.3001102270388   3.68999999999999
0.305   1.3048879358445    2.30511206415611   3.70302499999999
0.31   1.3098860987272    2.31011390127342   3.71609999999999
0.315   1.31488426160989    2.31511573839074   3.72922499999999
0.32   1.31988242449259    2.32011757550805   3.74239999999999
0.325   1.32488058737529    2.32511941262536   3.75562499999999
0.33   1.32987875025798    2.33012124974268   3.76889999999999
0.335   1.33487691314068    2.33512308685999   3.78222499999999
0.34   1.33987507602338    2.3401249239773   3.79559999999999
0.345   1.34487323890607    2.34512676109462   3.80902499999999
0.35   1.34987140178877    2.35012859821193   3.82249999999999
0.355   1.35486956467147    2.35513043532924   3.83602499999999
0.36   1.35986772755416    2.36013227244656   3.84959999999999
0.365   1.36486589043686    2.36513410956387   3.86322499999999
0.37   1.36986405331956    2.37013594668118   3.87689999999998
0.375   1.37486221620225    2.3751377837985   3.89062499999998
0.38   1.37986037908495    2.38013962091581   3.90439999999998
0.385   1.38485854196765    2.38514145803312   3.91822499999998
0.39   1.38985670485034    2.39014329515044   3.93209999999998
0.395   1.39485486773304    2.39514513226775   3.94602499999998
0.4   1.39985303061574    2.40014696938506   3.95999999999998
0.405   1.40485119349843    2.40514880650238   3.97402499999998
0.41   1.40984935638113    2.41015064361969   3.98809999999998
0.415   1.41484751926383    2.415152480737   4.00222499999998
0.42   1.41984568214652    2.42015431785432   4.01639999999998
0.425   1.42484384502922    2.42515615497163   4.03062499999998
0.43   1.42984200791192    2.43015799208894   4.04489999999998
0.435   1.43484017079461    2.43515982920626   4.05922499999998
0.44   1.43983833367731    2.44016166632357   4.07359999999998
0.445   1.44483649656001    2.44516350344088   4.08802499999998
0.45   1.4498346594427    2.4501653405582   4.10249999999998
0.455   1.4548328223254    2.45516717767551   4.11702499999998
0.46   1.4598309852081    2.46016901479282   4.13159999999998
0.465   1.4648291480908    2.46517085191013   4.14622499999998
0.47   1.46982731097349    2.47017268902745   4.16089999999998
0.475   1.47482547385619    2.47517452614476   4.17562499999998
0.48   1.47982363673889    2.48017636326207   4.19039999999998
0.485   1.48482179962158    2.48517820037939   4.20522499999998
0.49   1.48981996250428    2.4901800374967   4.22009999999998
0.495   1.49481812538698    2.49518187461401   4.23502499999997
0.5   1.49981628826967    2.50018371173133   4.24999999999997
0.505   1.50481445115237    2.50518554884864   4.26502499999997
0.51   1.50981261403507    2.51018738596595   4.28009999999997
0.515   1.51481077691776    2.51518922308327   4.29522499999997
