#      t_n         th_n        vth_n       Rx          Ry          
       0.57       0.961518      -5.09389         -24.514        -2.32666        
       0.575       0.935929      -5.15357         -24.7976        -1.15629        
       0.58       0.910043      -5.21212         -25.0253        0.0426069        
       0.585       0.883867      -5.26949         -25.1945        1.26719        
       0.59       0.857407      -5.32563         -25.3023        2.51434        
       0.595       0.830669      -5.38049         -25.3463        3.7807        
       0.6       0.803659      -5.434         -25.3241        5.06265        
       0.605       0.776384      -5.48613         -25.2337        6.35634        
       0.61       0.748851      -5.5368         -25.0733        7.65769        
       0.615       0.721068      -5.58599         -24.8412        8.96241        
       0.62       0.693043      -5.63363         -24.5361        10.266        
       0.625       0.664782      -5.67966         -24.1571        11.5639        
       0.63       0.636294      -5.72406         -23.7036        12.8512        
       0.635       0.607588      -5.76675         -23.1752        14.1231        
       0.64       0.578671      -5.8077         -22.572        15.3744        
       0.645       0.549554      -5.84685         -21.8944        16.6003        
       0.65       0.520244      -5.88417         -21.1434        17.7956        
       0.655       0.490752      -5.91961         -20.3201        18.9551        
       0.66       0.461086      -5.95312         -19.4262        20.0738        
       0.665       0.431256      -5.98468         -18.4637        21.1468        
       0.67       0.401273      -6.01422         -17.4351        22.1691        
       0.675       0.371146      -6.04173         -16.3432        23.1361        
       0.68       0.340886      -6.06717         -15.1912        24.0432        
       0.685       0.310502      -6.0905         -13.9828        24.886        
       0.69       0.280007      -6.11169         -12.7218        25.6605        
       0.695       0.249409      -6.13072         -11.4127        26.3629        
       0.7       0.218721      -6.14757         -10.06        26.9897        
       0.705       0.187953      -6.1622         -8.66854        27.5377        
       0.71       0.157116      -6.17461         -7.24357        28.0042        
       0.715       0.126222      -6.18477         -5.79045        28.3869        
       0.72       0.0952814      -6.19268         -4.31474        28.6837        
       0.725       0.0643058      -6.19832         -2.82216        28.8932        
       0.73       0.0333066      -6.20168         -1.31855        29.0142        
       0.735       0.00229513      -6.20276         0.19017        29.0462        
       0.74       -0.0287172      -6.20156         1.69805        28.9889        
       0.745       -0.0597189      -6.19808         3.19915        28.8427        
       0.75       -0.0906987      -6.19232         4.68757        28.6083        
       0.755       -0.121645      -6.1843         6.1575        28.287        
       0.76       -0.152547      -6.17402         7.60325        27.8803        
       0.765       -0.183393      -6.1615         9.01931        27.3904        
       0.77       -0.214172      -6.14674         10.4004        26.8197        
       0.775       -0.244873      -6.12979         11.7413        26.1712        
       0.78       -0.275484      -6.11064         13.0373        25.448        
       0.785       -0.305995      -6.08934         14.2839        24.6537        
       0.79       -0.336396      -6.0659         15.4769        23.7923        
       0.795       -0.366675      -6.04035         16.6123        22.8678        
       0.8       -0.396823      -6.01274         17.6868        21.8847        
       0.805       -0.426828      -5.98308         18.6971        20.8475        
       0.81       -0.456681      -5.95143         19.6406        19.7611        
       0.815       -0.486371      -5.91782         20.5149        18.6303        
       0.82       -0.51589      -5.88228         21.318        17.4601        
       0.825       -0.545228      -5.84486         22.0486        16.2557        
       0.83       -0.574374      -5.80561         22.7054        15.0222        
       0.835       -0.603321      -5.76457         23.2876        13.7645        
       0.84       -0.632059      -5.72179         23.7951        12.4878        
       0.845       -0.660579      -5.67731         24.2277        11.1971        
       0.85       -0.688874      -5.63119         24.586        9.89716        
       0.855       -0.716935      -5.58347         24.8706        8.59283        
       0.86       -0.744755      -5.53421         25.0826        7.28869        
       0.865       -0.772325      -5.48345         25.2233        5.98915        
       0.87       -0.799638      -5.43125         25.2945        4.69846        
       0.875       -0.826688      -5.37767         25.2981        3.42062        
