#      t_n         th_n        vth_n       Rx          Ry          
       7.775       -1.53797      3.17121         6.13014        -19.3993        
       7.78       -1.52197      3.24472         6.83437        -19.2638        
       7.785       -1.5056      3.31817         7.55099        -19.1018        
       7.79       -1.48886      3.39153         8.27894        -18.9119        
       7.795       -1.47176      3.4648         9.01704        -18.6925        
       7.8       -1.45429      3.53793         9.76398        -18.4422        
       7.805       -1.43645      3.61091         10.5183        -18.1597        
       7.81       -1.41825      3.68371         11.2786        -17.8435        
       7.815       -1.39969      3.7563         12.043        -17.4924        
       7.82       -1.38076      3.82865         12.8099        -17.1051        
       7.825       -1.36147      3.90074         13.5772        -16.6803        
       7.83       -1.34183      3.97252         14.343        -16.2171        
       7.835       -1.32182      4.04397         15.105        -15.7145        
       7.84       -1.30146      4.11505         15.8609        -15.1713        
       7.845       -1.28074      4.18572         16.6084        -14.5871        
       7.85       -1.25967      4.25595         17.3449        -13.9609        
       7.855       -1.23825      4.3257         18.0676        -13.2924        
       7.86       -1.21649      4.39492         18.7739        -12.5812        
       7.865       -1.19437      4.46358         19.4609        -11.8271        
       7.87       -1.17192      4.53163         20.1257        -11.03        
       7.875       -1.14913      4.59903         20.7651        -10.1903        
       7.88       -1.126      4.66574         21.3761        -9.30827        
       7.885       -1.10254      4.7317         21.9556        -8.38454        
       7.89       -1.07875      4.79688         22.5004        -7.41997        
       7.895       -1.05463      4.86121         23.0073        -6.41565        
       7.9       -1.0302      4.92466         23.4729        -5.37291        
       7.905       -1.00545      4.98718         23.8943        -4.29334        
       7.91       -0.980393      5.0487         24.2681        -3.17879        
       7.915       -0.955028      5.10919         24.5914        -2.03138        
       7.92       -0.929363      5.16859         24.861        -0.853494        
       7.925       -0.903403      5.22685         25.0741        0.352226        
       7.93       -0.877154      5.28391         25.2279        1.58286        
       7.935       -0.850622      5.33973         25.3196        2.83524        
       7.94       -0.823814      5.39425         25.347        4.10592        
       7.945       -0.796736      5.44741         25.3076        5.39124        
       7.95       -0.769395      5.49917         25.1996        6.68727        
       7.955       -0.741798      5.54948         25.021        7.9899        
       7.96       -0.713952      5.59827         24.7704        9.29477        
       7.965       -0.685866      5.64551         24.4466        10.5974        
       7.97       -0.657546      5.69113         24.0487        11.893        
       7.975       -0.629002      5.73509         23.5761        13.1768        
       7.98       -0.600241      5.77735         23.0286        14.444        
       7.985       -0.571273      5.81784         22.4064        15.6893        
       7.99       -0.542106      5.85654         21.7101        16.9079        
       7.995       -0.512748      5.89338         20.9405        18.0945        
       8       -0.483211      5.92833         20.099        19.2441        
       8.005       -0.453502      5.96135         19.1874        20.3517        
       8.01       -0.423633      5.99239         18.2078        21.4122        
       8.015       -0.393612      6.02143         17.1628        22.4209        
       8.02       -0.36345      6.04841         16.0553        23.373        
       8.025       -0.333157      6.07331         14.8886        24.2641        
       8.03       -0.302744      6.0961         13.6664        25.0899        
       8.035       -0.272222      6.11674         12.3927        25.8464        
       8.04       -0.2416      6.13522         11.0721        26.5298        
       8.045       -0.210891      6.1515         9.70899        27.1368        
       8.05       -0.180104      6.16557         8.30853        27.6644        
       8.055       -0.149252      6.17741         6.87587        28.1097        
       8.06       -0.118344      6.187         5.41646        28.4707        
       8.065       -0.0873938      6.19433         3.9359        28.7454        
       8.07       -0.0564112      6.19939         2.43995        28.9324        
       8.075       -0.0254077      6.20217         0.934481        29.0308        
       8.08       0.00560502      6.20267         -0.574589        29.04        
       8.085       0.0366157      6.20089         -2.08131        28.9601        
       8.09       0.067613      6.19683         -3.57973        28.7913        
       8.095       0.0985853      6.19049         -5.06399        28.5347        
       8.1       0.129522      6.1819         -6.52829        28.1914        
       8.105       0.16041      6.17104         -7.967        27.7633        
       8.11       0.19124      6.15795         -9.37464        27.2526        
       8.115       0.222      6.14263         -10.7459        26.6618        
       8.12       0.252679      6.12512         -12.0759        25.9939        
       8.125       0.283266      6.10542         -13.3598        25.2523        
       8.13       0.31375      6.08357         -14.5931        24.4405        
       8.135       0.344121      6.05959         -15.7717        23.5626        
       8.14       0.374368      6.03351         -16.8919        22.6227        
       8.145       0.40448      6.00538         -17.9503        21.6254        
       8.15       0.434447      5.97521         -18.9439        20.5752        
       8.155       0.46426      5.94305         -19.8699        19.477        
       8.16       0.493908      5.90894         -20.7263        18.3357        
       8.165       0.523381      5.87292         -21.5111        17.1564        
       8.17       0.552671      5.83504         -22.2229        15.9441        
       8.175       0.581767      5.79533         -22.8608        14.7039        
       8.18       0.610661      5.75384         -23.424        13.4409        
       8.185       0.639345      5.71062         -23.9124        12.1602        
       8.19       0.667809      5.66572         -24.326        10.8666        
       8.195       0.696045      5.61918         -24.6654        9.56514        
       8.2       0.724045      5.57107         -24.9314        8.26043        
       8.205       0.751802      5.52142         -25.1251        6.95705        
       8.21       0.779307      5.47029         -25.248        5.65937        
       8.215       0.806554      5.41773         -25.3018        4.37158        
       8.22       0.833535      5.3638         -25.2885        3.09763        
       8.225       0.860244      5.30855         -25.2102        1.84125        
       8.23       0.886675      5.25202         -25.0695        0.605914        
       8.235       0.91282      5.19428         -24.8689        -0.605136        
       8.24       0.938674      5.13538         -24.6112        -1.78894        
       8.245       0.964231      5.07536         -24.2993        -2.94278        
       8.25       0.989486      5.01428         -23.9361        -4.06424        
       8.255       1.01443      4.9522         -23.5248        -5.15114        
       8.26       1.03907      4.88915         -23.0685        -6.20157        
       8.265       1.06339      4.8252         -22.5704        -7.21389        
       8.27       1.08738      4.76038         -22.0337        -8.18672        
       8.275       1.11106      4.69476         -21.4617        -9.11891        
       8.28       1.1344      4.62838         -20.8574        -10.0096        
       8.285       1.1574      4.56127         -20.2242        -10.858        
       8.29       1.18008      4.4935         -19.565        -11.6639        
       8.295       1.20241      4.4251         -18.8829        -12.4268        
       8.3       1.22439      4.35612         -18.1809        -13.1469        
       8.305       1.24604      4.2866         -17.4619        -13.8241        
       8.31       1.26733      4.21658         -16.7286        -14.459        
       8.315       1.28827      4.14609         -15.9838        -15.0518        
       8.32       1.30886      4.07519         -15.23        -15.6034        
       8.325       1.32909      4.0039         -14.4696        -16.1143        
       8.33       1.34897      3.93226         -13.705        -16.5856        
       8.335       1.36849      3.8603         -12.9384        -17.0181        
       8.34       1.38764      3.78806         -12.1719        -17.4131        
       8.345       1.40644      3.71557         -11.4074        -17.7716        
       8.35       1.42487      3.64286         -10.6468        -18.0949        
       8.355       1.44294      3.56996         -9.89169        -18.3842        
       8.36       1.46064      3.49689         -9.1437        -18.6411        
       8.365       1.47798      3.42368         -8.40427        -18.8667        
       8.37       1.49495      3.35035         -7.67472        -19.0627        
       8.375       1.51156      3.27694         -6.95627        -19.2303        
       8.38       1.5278      3.20346         -6.25        -19.3711        
       8.385       1.54367      3.12992         -5.55689        -19.4866        
       8.39       1.55917      3.05636         -4.87784        -19.5782        
       8.395       1.5743      2.98279         -4.2136        -19.6474        
       8.4       1.58907      2.90922         -3.56487        -19.6955        
       8.405       1.60347      2.83567         -2.93224        -19.7242        
       8.41       1.6175      2.76216         -2.3162        -19.7347        
       8.415       1.63117      2.68869         -1.71718        -19.7284        
       8.42       1.64446      2.61529         -1.13552        -19.7068        
       8.425       1.65739      2.54196         -0.571511        -19.6711        
       8.43       1.66996      2.46871         -0.0253532        -19.6226        
       8.435       1.68215      2.39555         0.502799        -19.5626        
       8.44       1.69398      2.32249         1.01285        -19.4922        
       8.445       1.70545      2.24954         1.50475        -19.4127        
       8.45       1.71655      2.1767         1.97851        -19.3252        
       8.455       1.72729      2.10398         2.43417        -19.2307        
       8.46       1.73767      2.03137         2.87179        -19.1303        
       8.465       1.74768      1.9589         3.29151        -19.025        
       8.47       1.75733      1.88655         3.69345        -18.9157        
       8.475       1.76661      1.81433         4.07778        -18.8034        
       8.48       1.77554      1.74224         4.44468        -18.689        
       8.485       1.78411      1.67028         4.79437        -18.5731        
       8.49       1.79232      1.59845         5.12705        -18.4567        
       8.495       1.80017      1.52675         5.44297        -18.3404        
       8.5       1.80766      1.45518         5.74234        -18.225        
       8.505       1.81479      1.38373         6.02543        -18.1111        
       8.51       1.82157      1.31241         6.29247        -17.9993        
       8.515       1.82798      1.24121         6.54371        -17.8902        
       8.52       1.83405      1.17012         6.7794        -17.7844        
       8.525       1.83976      1.09915         6.99979        -17.6823        
       8.53       1.84511      1.02828         7.2051        -17.5844        
       8.535       1.85011      0.957517         7.39558        -17.4912        
       8.54       1.85476      0.886851         7.57144        -17.403        
       8.545       1.85905      0.816276         7.73288        -17.3202        
       8.55       1.86299      0.745787         7.88013        -17.2432        
       8.555       1.86658      0.675377         8.01335        -17.1722        
       8.56       1.86982      0.605039         8.13273        -17.1076        
       8.565       1.8727      0.534767         8.23842        -17.0495        
       8.57       1.87523      0.464554         8.33056        -16.9982        
       8.575       1.87742      0.394392         8.40929        -16.9539        
       8.58       1.87925      0.324274         8.47472        -16.9168        
       8.585       1.88073      0.254191         8.52693        -16.8868        
       8.59       1.88186      0.184138         8.566        -16.8643        
       8.595       1.88264      0.114105         8.59199        -16.8492        
       8.6       1.88307      0.044085         8.60493        -16.8416        
       8.605       1.88315      -0.02593         8.60485        -16.8415        
       8.61       1.88288      -0.0959479         8.59175        -16.849        
       8.615       1.88226      -0.165977         8.5656        -16.8639        
       8.62       1.88129      -0.236024         8.52637        -16.8863        
       8.625       1.87997      -0.306098         8.474        -16.9161        
       8.63       1.8783      -0.376206         8.40842        -16.9532        
       8.635       1.87628      -0.446356         8.32953        -16.9973        
       8.64       1.87391      -0.516556         8.23724        -17.0485        
       8.645       1.87118      -0.586812         8.1314        -17.1064        
       8.65       1.86811      -0.657132         8.01187        -17.171        
       8.655       1.86468      -0.727522         7.87851        -17.2418        
       8.66       1.8609      -0.79799         7.73113        -17.3187        
       8.665       1.85677      -0.868542         7.56954        -17.4014        
       8.67       1.85229      -0.939184         7.39356        -17.4895        
       8.675       1.84745      -1.00992         7.20295        -17.5827        
       8.68       1.84226      -1.08076         6.99752        -17.6805        
       8.685       1.83671      -1.15171         6.77701        -17.7825        
       8.69       1.83081      -1.22276         6.54121        -17.8883        
       8.695       1.82456      -1.29393         6.28985        -17.9974        
       8.7       1.81795      -1.36522         6.02271        -18.1092        
       8.705       1.81098      -1.43664         5.73952        -18.2231        
       8.71       1.80365      -1.50818         5.44005        -18.3385        
       8.715       1.79597      -1.57984         5.12405        -18.4548        
       8.72       1.78792      -1.65164         4.79128        -18.5713        
       8.725       1.77952      -1.72356         4.44151        -18.6872        
       8.73       1.77076      -1.79562         4.07452        -18.8018        
       8.735       1.76164      -1.86781         3.69011        -18.9142        
       8.74       1.75215      -1.94012         3.28809        -19.0236        
       8.745       1.74231      -2.01257         2.86831        -19.1291        
       8.75       1.7321      -2.08514         2.4306        -19.2297        
       8.755       1.72153      -2.15783         1.97487        -19.3244        
       8.76       1.71059      -2.23064         1.50104        -19.4122        
       8.765       1.6993      -2.30357         1.00906        -19.492        
       8.77       1.68763      -2.3766         0.498928        -19.5626        
       8.775       1.6756      -2.44973         -0.0293089        -19.623        
       8.78       1.66321      -2.52296         -0.575557        -19.6719        
       8.785       1.65045      -2.59627         -1.13967        -19.708        
       8.79       1.63732      -2.66965         -1.72143        -19.7301        
       8.795       1.62382      -2.7431         -2.32057        -19.7368        
       8.8       1.60996      -2.8166         -2.93674        -19.7268        
       8.805       1.59573      -2.89014         -3.56952        -19.6987        
       8.81       1.58113      -2.96371         -4.21841        -19.6511        
       8.815       1.56617      -3.03728         -4.88283        -19.5826        
       8.82       1.55083      -3.11085         -5.56209        -19.4916        
       8.825       1.53513      -3.18439         -6.25541        -19.3769        
       8.83       1.51906      -3.25789         -6.96194        -19.2368        
       8.835       1.50263      -3.33133         -7.68067        -19.0699        
       8.84       1.48582      -3.40467         -8.41053        -18.8748        
       8.845       1.46865      -3.47792         -9.15031        -18.6499        
       8.85       1.45112      -3.55102         -9.89869        -18.394        
       8.855       1.43322      -3.62397         -10.6542        -18.1055        
       8.86       1.41495      -3.69674         -11.4153        -17.7832        
       8.865       1.39632      -3.76929         -12.1803        -17.4256        
       8.87       1.37733      -3.84159         -12.9474        -17.0317        
       8.875       1.35798      -3.91363         -13.7146        -16.6002        
       8.88       1.33827      -3.98535         -14.4799        -16.13        
       8.885       1.3182      -4.05674         -15.241        -15.6201        
       8.89       1.29777      -4.12775         -15.9956        -15.0697        
       8.895       1.27699      -4.19834         -16.7413        -14.4779        
       8.9       1.25586      -4.26849         -17.4755        -13.8442        
       8.905       1.23438      -4.33814         -18.1955        -13.1681        
       8.91       1.21255      -4.40727         -18.8986        -12.4492        
       8.915       1.19037      -4.47582         -19.5818        -11.6874        
       8.92       1.16786      -4.54376         -20.2422        -10.8827        
       8.925       1.14501      -4.61104         -20.8768        -10.0353        
       8.93       1.12182      -4.67762         -21.4824        -9.14574        
       8.935       1.0983      -4.74344         -22.0559        -8.21462        
       8.94       1.07445      -4.80847         -22.5941        -7.24284        
       8.945       1.05028      -4.87265         -23.0938        -6.23152        
       8.95       1.02579      -4.93594         -23.5518        -5.18206        
       8.955       1.00098      -4.99828         -23.9649        -4.09607        
       8.96       0.975869      -5.05962         -24.3299        -2.97547        
       8.965       0.95045      -5.11992         -24.6438        -1.82242        
       8.97       0.924731      -5.17912         -24.9035        -0.639339        
       8.975       0.898719      -5.23717         -25.1061        0.571069        
       8.98       0.872419      -5.29401         -25.2489        1.80584        
       8.985       0.845837      -5.3496         -25.3293        3.06176        
       8.99       0.81898      -5.40388         -25.3449        4.33535        
       8.995       0.791854      -5.4568         -25.2934        5.62288        
       9       0.764467      -5.5083         -25.1728        6.9204        
       9.005       0.736825      -5.55834         -24.9814        8.22375        
       9.01       0.708935      -5.60686         -24.7178        9.52855        
       9.015       0.680806      -5.6538         -24.3808        10.8302        
       9.02       0.652446      -5.69913         -23.9695        12.1241        
       9.025       0.623862      -5.74279         -23.4835        13.4053        
       9.03       0.595064      -5.78474         -22.9226        14.6689        
       9.035       0.566059      -5.82491         -22.287        15.9099        
       9.04       0.536857      -5.86328         -21.5775        17.1231        
       9.045       0.507467      -5.89979         -20.7949        18.3034        
       9.05       0.477898      -5.93439         -19.9407        19.4459        
       9.055       0.44816      -5.96706         -19.0168        20.5454        
       9.06       0.418262      -5.99775         -18.0253        21.597        
       9.065       0.388216      -6.02641         -16.9688        22.5959        
       9.07       0.358029      -6.05303         -15.8504        23.5374        
       9.075       0.327714      -6.07755         -14.6735        24.4171        
       9.08       0.297281      -6.09996         -13.4417        25.2307        
       9.085       0.26674      -6.12022         -12.1593        25.9744        
       9.09       0.236102      -6.1383         -10.8307        26.6444        
       9.095       0.205377      -6.15419         -9.46057        27.2373        
       9.1       0.174578      -6.16786         -8.05394        27.7503        
       9.105       0.143715      -6.1793         -6.61609        28.1807        
       9.11       0.112799      -6.18848         -5.15246        28.5263        
       9.115       0.0818423      -6.1954         -3.66872        28.7854        
       9.12       0.0508551      -6.20005         -2.17063        28.9566        
       9.125       0.0198491      -6.20243         -0.664077        29.039        
       9.13       -0.0111641      -6.20252         0.845009        29.0323        
       9.135       -0.0421732      -6.20033         2.35068        28.9363        
       9.14       -0.0731668      -6.19586         3.84699        28.7517        
       9.145       -0.104134      -6.18912         5.32809        28.4795        
       9.15       -0.135062      -6.18012         6.78822        28.1209        
       9.155       -0.165941      -6.16886         8.22176        27.6778        
       9.16       -0.196759      -6.15537         9.62326        27.1525        
       9.165       -0.227505      -6.13965         10.9875        26.5477        
       9.17       -0.258169      -6.12174         12.3095        25.8663        
       9.175       -0.288738      -6.10166         13.5847        25.1118        
       9.18       -0.319203      -6.07942         14.8085        24.2879        
       9.185       -0.349552      -6.05507         15.9769        23.3986        
       9.19       -0.379775      -6.02862         17.0863        22.4481        
       9.195       -0.409862      -6.00012         18.1333        21.4409        
       9.2       -0.439803      -5.96959         19.1149        20.3818        
       9.205       -0.469586      -5.93708         20.0286        19.2755        
       9.21       -0.499204      -5.90263         20.8723        18.127        
       9.215       -0.528645      -5.86627         21.6441        16.9414        
       9.22       -0.5579      -5.82805         22.3427        15.7237        
       9.225       -0.586961      -5.78802         22.9672        14.479        
       9.23       -0.615819      -5.74622         23.5171        13.2125        
       9.235       -0.644463      -5.70269         23.992        11.9291        
       9.24       -0.672887      -5.65749         24.3923        10.6338        
       9.245       -0.701081      -5.61067         24.7185        9.33138        
       9.25       -0.729039      -5.56228         24.9714        8.02658        
       9.255       -0.756751      -5.51236         25.1523        6.7239        
       9.26       -0.78421      -5.46097         25.2627        5.42769        
       9.265       -0.81141      -5.40817         25.3043        4.1421        
       9.27       -0.838343      -5.35399         25.2791        2.87103        
       9.275       -0.865003      -5.29851         25.1895        1.61817        
       9.28       -0.891382      -5.24176         25.0379        0.386962        
       9.285       -0.917476      -5.18381         24.8268        -0.819415        
       9.29       -0.943277      -5.1247         24.5592        -1.99804        
       9.295       -0.96878      -5.06449         24.2378        -3.14625        
       9.3       -0.993981      -5.00323         23.8658        -4.26166        
       9.305       -1.01887      -4.94096         23.4462        -5.34216        
       9.31       -1.04345      -4.87775         22.9822        -6.38587        
       9.315       -1.06771      -4.81364         22.477        -7.39121        
       9.32       -1.09165      -4.74868         21.9337        -8.35683        
       9.325       -1.11526      -4.68292         21.3557        -9.28164        
       9.33       -1.13855      -4.6164         20.746        -10.1648        
       9.335       -1.16149      -4.54917         20.1078        -11.0056        
       9.34       -1.1841      -4.48129         19.4443        -11.8038        
       9.345       -1.20637      -4.41278         18.7584        -12.559        
       9.35       -1.2283      -4.3437         18.0532        -13.2714        
       9.355       -1.24988      -4.27408         17.3314        -13.941        
       9.36       -1.27111      -4.20398         16.5959        -14.5683        
       9.365       -1.29199      -4.13341         15.8493        -15.1537        
       9.37       -1.31251      -4.06244         15.0941        -15.6979        
       9.375       -1.33268      -3.99108         14.3328        -16.2017        
       9.38       -1.35249      -3.91938         13.5677        -16.6659        
       9.385       -1.37195      -3.84737         12.801        -17.0917        
       9.39       -1.39104      -3.77509         12.0347        -17.48        
       9.395       -1.40977      -3.70255         11.2708        -17.8321        
       9.4       -1.42814      -3.6298         10.511        -18.1492        
       9.405       -1.44614      -3.55687         9.75705        -18.4326        
       9.41       -1.46378      -3.48377         9.01049        -18.6838        
       9.415       -1.48105      -3.41054         8.27274        -18.904        
       9.42       -1.49796      -3.3372         7.54509        -19.0948        
       9.425       -1.5145      -3.26377         6.82874        -19.2575        
       9.43       -1.53067      -3.19028         6.12476        -19.3937        
       9.435       -1.54647      -3.11674         5.43412        -19.5047        
       9.44       -1.56191      -3.04317         4.75766        -19.5922        
       9.445       -1.57698      -2.9696         4.09616        -19.6575        
       9.45       -1.59168      -2.89603         3.45028        -19.7021        
       9.455       -1.60601      -2.82249         2.82058        -19.7273        
       9.46       -1.61998      -2.74898         2.20756        -19.7347        
       9.465       -1.63358      -2.67553         1.61163        -19.7256        
       9.47       -1.64681      -2.60214         1.03312        -19.7014        
       9.475       -1.65967      -2.52882         0.472295        -19.6633        
       9.48       -1.67217      -2.45559         -0.0706445        -19.6126        
       9.485       -1.6843      -2.38245         -0.595557        -19.5507        
       9.49       -1.69607      -2.30941         -1.10236        -19.4786        
       9.495       -1.70747      -2.23648         -1.59101        -19.3976        
       9.5       -1.7185      -2.16366         -2.06152        -19.3087        
       9.505       -1.72918      -2.09095         -2.51393        -19.2131        
       9.51       -1.73949      -2.01837         -2.94834        -19.1117        
       9.515       -1.74943      -1.94592         -3.36486        -19.0057        
       9.52       -1.75902      -1.87359         -3.76363        -18.8958        
       9.525       -1.76824      -1.80139         -4.14482        -18.7831        
       9.53       -1.7771      -1.72933         -4.50862        -18.6683        
       9.535       -1.78561      -1.65739         -4.85525        -18.5523        
       9.54       -1.79375      -1.58559         -5.18491        -18.4358        
       9.545       -1.80153      -1.51391         -5.49784        -18.3196        
       9.55       -1.80896      -1.44236         -5.79427        -18.2045        
       9.555       -1.81603      -1.37094         -6.07447        -18.0909        
       9.56       -1.82274      -1.29964         -6.33866        -17.9795        
       9.565       -1.8291      -1.22846         -6.5871        -17.871        
       9.57       -1.8351      -1.15739         -6.82003        -17.7658        
       9.575       -1.84074      -1.08644         -7.03769        -17.6644        
       9.58       -1.84603      -1.01559         -7.24033        -17.5674        
       9.585       -1.85097      -0.944843         -7.42817        -17.475        
       9.59       -1.85555      -0.874194         -7.60143        -17.3878        
       9.595       -1.85978      -0.803635         -7.76032        -17.306        
       9.6       -1.86366      -0.73316         -7.90503        -17.23        
       9.605       -1.86718      -0.662764         -8.03576        -17.1602        
       9.61       -1.87036      -0.592439         -8.15267        -17.0967        
       9.615       -1.87318      -0.522178         -8.25593        -17.0398        
       9.62       -1.87565      -0.451974         -8.34566        -16.9898        
       9.625       -1.87777      -0.38182         -8.422        -16.9467        
       9.63       -1.87954      -0.311709         -8.48505        -16.9109        
       9.635       -1.88096      -0.241633         -8.5349        -16.8823        
       9.64       -1.88202      -0.171583         -8.57162        -16.861        
       9.645       -1.88274      -0.101553         -8.59527        -16.8473        
       9.65       -1.88311      -0.0315349         -8.60588        -16.841        
       9.655       -1.88313      0.0384801         -8.60346        -16.8423        
       9.66       -1.8828      0.108499         -8.58802        -16.8511        
       9.665       -1.88211      0.178531         -8.55953        -16.8674        
       9.67       -1.88108      0.248583         -8.51795        -16.8911        
       9.675       -1.8797      0.318662         -8.46322        -16.9222        
       9.68       -1.87796      0.388777         -8.39526        -16.9606        
       9.685       -1.87588      0.458936         -8.31398        -17.006        
       9.69       -1.87344      0.529145         -8.21926        -17.0584        
       9.695       -1.87066      0.599412         -8.11098        -17.1175        
       9.7       -1.86752      0.669744         -7.98899        -17.1832        
       9.705       -1.86403      0.740148         -7.85313        -17.2552        
       9.71       -1.86019      0.81063         -7.70321        -17.3331        
       9.715       -1.856      0.881198         -7.53906        -17.4168        
       9.72       -1.85145      0.951856         -7.36047        -17.5059        
       9.725       -1.84655      1.02261         -7.16723        -17.5999        
       9.73       -1.84129      1.09347         -6.95911        -17.6985        
       9.735       -1.83568      1.16443         -6.73588        -17.8012        
       9.74       -1.82972      1.23551         -6.4973        -17.9077        
       9.745       -1.8234      1.3067         -6.24314        -18.0172        
       9.75       -1.81672      1.37802         -5.97314        -18.1294        
       9.755       -1.80969      1.44945         -5.68705        -18.2437        
       9.76       -1.8023      1.52101         -5.38463        -18.3593        
       9.765       -1.79455      1.5927         -5.06564        -18.4757        
       9.77       -1.78644      1.66452         -4.72984        -18.5922        
       9.775       -1.77798      1.73647         -4.377        -18.7079        
       9.78       -1.76915      1.80855         -4.0069        -18.8222        
       9.785       -1.75996      1.88076         -3.61935        -18.9341        
       9.79       -1.75042      1.9531         -3.21416        -19.0429        
       9.795       -1.74051      2.02557         -2.79117        -19.1475        
       9.8       -1.73023      2.09816         -2.35024        -19.2471        
       9.805       -1.7196      2.17088         -1.89128        -19.3407        
       9.81       -1.7086      2.24371         -1.41419        -19.4271        
       9.815       -1.69723      2.31665         -0.918954        -19.5054        
       9.82       -1.6855      2.3897         -0.405573        -19.5743        
       9.825       -1.67341      2.46285         0.125901        -19.6327        
       9.83       -1.66095      2.53609         0.675364        -19.6793        
       9.835       -1.64812      2.60942         1.24266        -19.713        
       9.84       -1.63493      2.68281         1.82755        -19.7324        
       9.845       -1.62137      2.75627         2.42977        -19.7363        
       9.85       -1.60744      2.82978         3.04896        -19.7231        
       9.855       -1.59314      2.90333         3.68466        -19.6916        
       9.86       -1.57848      2.9769         4.33638        -19.6404        
       9.865       -1.56345      3.05047         5.00351        -19.568        
       9.87       -1.54805      3.12403         5.68535        -19.4729        
       9.875       -1.53228      3.19757         6.38111        -19.3537        
       9.88       -1.51614      3.27106         7.0899        -19.2089        
       9.885       -1.49964      3.34448         7.81071        -19.037        
       9.89       -1.48277      3.41781         8.54245        -18.8367        
       9.895       -1.46554      3.49103         9.28387        -18.6064        
       9.9       -1.44794      3.56411         10.0336        -18.3447        
       9.905       -1.42997      3.63703         10.7903        -18.0503        
       9.91       -1.41164      3.70976         11.5522        -17.7217        
       9.915       -1.39294      3.78227         12.3177        -17.3577        
       9.92       -1.37389      3.85453         13.085        -16.9572        
       9.925       -1.35447      3.92651         13.852        -16.5188        
       9.93       -1.3347      3.99817         14.6167        -16.0415        
       9.935       -1.31456      4.06949         15.3768        -15.5244        
       9.94       -1.29407      4.14043         16.13        -14.9667        
       9.945       -1.27323      4.21095         16.8738        -14.3674        
       9.95       -1.25203      4.28101         17.6057        -13.7261        
       9.955       -1.23049      4.35058         18.3229        -13.0424        
       9.96       -1.2086      4.4196         19.0226        -12.3158        
       9.965       -1.18636      4.48805         19.7019        -11.5463        
       9.97       -1.16379      4.55587         20.358        -10.7339        
       9.975       -1.14087      4.62303         20.9876        -9.87894        
       9.98       -1.11763      4.68947         21.5877        -8.98188        
       9.985       -1.09405      4.75516         22.1551        -8.04339        
       9.99       -1.07014      4.82004         22.6866        -7.06443        
       9.995       -1.04591      4.88406         23.1791        -6.04617        
       10       -1.02136      4.94718         23.6293        -4.99003        
       10.005       -0.996504      5.00935         24.0339        -3.8977        
       10.01       -0.971335      5.07051         24.39        -2.77111        
       10.015       -0.945861      5.13061         24.6944        -1.61249        
       10.02       -0.92009      5.18961         24.9441        -0.424305        
       10.025       -0.894026      5.24745         25.1362        0.790697        
       10.03       -0.867675      5.30407         25.268        2.02951        
       10.035       -0.841043      5.35943         25.337        3.28885        
       10.04       -0.814137      5.41347         25.3407        4.56522        
       10.045       -0.786964      5.46613         25.2769        5.85484        
       10.05       -0.75953      5.51738         25.1437        7.15372        
       10.055       -0.731843      5.56715         24.9395        8.45766        
       10.06       -0.703911      5.61539         24.6628        9.76224        
       10.065       -0.67574      5.66205         24.3125        11.0629        
       10.07       -0.647339      5.70708         23.8879        12.3549        
       10.075       -0.618716      5.75044         23.3884        13.6333        
       10.08       -0.58988      5.79207         22.8141        14.8932        
       10.085       -0.560839      5.83192         22.1653        16.1295        
       10.09       -0.531602      5.86996         21.4425        17.3372        
       10.095       -0.50218      5.90613         20.647        18.5112        
       10.1       -0.47258      5.94039         19.7802        19.6463        
       10.105       -0.442812      5.97271         18.844        20.7375        
       10.11       -0.412887      6.00303         17.8406        21.78        
       10.115       -0.382815      6.03134         16.7728        22.769        
       10.12       -0.352605      6.05758         15.6436        23.6997        
       10.125       -0.322268      6.08172         14.4566        24.5679        
       10.13       -0.291814      6.10375         13.2155        25.3693        
       10.135       -0.261255      6.12362         11.9245        26.1        
       10.14       -0.2306      6.14131         10.588        26.7564        
       10.145       -0.199862      6.1568         9.21097        27.3353        
       10.15       -0.169051      6.17008         7.79835        27.8336        
       10.155       -0.138177      6.18111         6.35547        28.249        
       10.16       -0.107253      6.18989         4.88782        28.5792        
       10.165       -0.0762898      6.1964         3.40108        28.8226        
       10.17       -0.0452984      6.20065         1.90104        28.9779        
       10.175       -0.0142903      6.20261         0.393592        29.0444        
       10.18       0.016723      6.20229         -1.11532        29.0216        
       10.185       0.0477302      6.19969         -2.61974        28.9097        
       10.19       0.0787198      6.19482         -4.11376        28.7094        
       10.195       0.109681      6.18767         -5.59153        28.4215        
       10.2       0.140601      6.17826         -7.04729        28.0476        
       10.205       0.17147      6.1666         -8.47548        27.5896        
       10.21       0.202276      6.15271         -9.87069        27.0499        
       10.215       0.233008      6.13661         -11.2277        26.4311        
       10.22       0.263656      6.1183         -12.5417        25.7363        
       10.225       0.294207      6.09783         -13.8079        24.9691        
       10.23       0.324652      6.07521         -15.0221        24.1332        
       10.235       0.354979      6.05048         -16.1802        23.2326        
       10.24       0.385179      6.02366         -17.2786        22.2716        
       10.245       0.41524      5.99479         -18.3141        21.2547        
       10.25       0.445153      5.96391         -19.2837        20.1868        
       10.255       0.474908      5.93105         -20.185        19.0726        
       10.26       0.504494      5.89625         -21.0159        17.9171        
       10.265       0.533903      5.85955         -21.7747        16.7253        
       10.27       0.563124      5.82101         -22.4601        15.5024        
