#      t_n         x1_n         x2_n        y1_n       y2_n        vx1_n       vx2_n        vy1_n       vy2_n       
       0.38       1.8995       -3.0392      29.3504        29.3504        5         -8        -3.42          -3.42        
       0.385       1.9245       -3.0792      29.3332        29.3332        5         -8        -3.465          -3.465        
       0.39       1.9495       -3.1192      29.3157        29.3157        5         -8        -3.51          -3.51        
       0.395       1.9745       -3.1592      29.2981        29.2981        5         -8        -3.555          -3.555        
       0.4       1.9995       -3.1992      29.2802        29.2802        5         -8        -3.6          -3.6        
       0.405       2.0245       -3.2392      29.2621        29.2621        5         -8        -3.645          -3.645        
       0.41       2.0495       -3.2792      29.2437        29.2437        5         -8        -3.69          -3.69        
       0.415       2.0745       -3.3192      29.2252        29.2252        5         -8        -3.735          -3.735        
       0.42       2.0995       -3.3592      29.2064        29.2064        5         -8        -3.78          -3.78        
       0.425       2.1245       -3.3992      29.1874        29.1874        5         -8        -3.825          -3.825        
       0.43       2.1495       -3.4392      29.1681        29.1681        5         -8        -3.87          -3.87        
       0.435       2.1745       -3.4792      29.1487        29.1487        5         -8        -3.915          -3.915        
       0.44       2.1995       -3.5192      29.129        29.129        5         -8        -3.96          -3.96        
       0.445       2.2245       -3.5592      29.1091        29.1091        5         -8        -4.005          -4.005        
       0.45       2.2495       -3.5992      29.089        29.089        5         -8        -4.05          -4.05        
       0.455       2.2745       -3.6392      29.0686        29.0686        5         -8        -4.095          -4.095        
       0.46       2.2995       -3.6792      29.048        29.048        5         -8        -4.14          -4.14        
       0.465       2.3245       -3.7192      29.0272        29.0272        5         -8        -4.185          -4.185        
       0.47       2.3495       -3.7592      29.0062        29.0062        5         -8        -4.23          -4.23        
       0.475       2.3745       -3.7992      28.9849        28.9849        5         -8        -4.275          -4.275        
       0.48       2.3995       -3.8392      28.9634        28.9634        5         -8        -4.32          -4.32        
       0.485       2.4245       -3.8792      28.9417        28.9417        5         -8        -4.365          -4.365        
       0.49       2.4495       -3.9192      28.9198        28.9198        5         -8        -4.41          -4.41        
       0.495       2.4745       -3.9592      28.8976        28.8976        5         -8        -4.455          -4.455        
       0.5       2.4995       -3.9992      28.8752        28.8752        5         -8        -4.5          -4.5        
       0.505       2.5245       -4.0392      28.8526        28.8526        5         -8        -4.545          -4.545        
       0.51       2.5495       -4.0792      28.8298        28.8298        5         -8        -4.59          -4.59        
       0.515       2.5745       -4.1192      28.8067        28.8067        5         -8        -4.635          -4.635        
       0.52       2.5995       -4.1592      28.7834        28.7834        5         -8        -4.68          -4.68        
       0.525       2.6245       -4.1992      28.7599        28.7599        5         -8        -4.725          -4.725        
       0.53       2.6495       -4.2392      28.7362        28.7362        5         -8        -4.77          -4.77        
       0.535       2.6745       -4.2792      28.7122        28.7122        5         -8        -4.815          -4.815        
       0.54       2.6995       -4.3192      28.688        28.688        5         -8        -4.86          -4.86        
       0.545       2.7245       -4.3592      28.6636        28.6636        5         -8        -4.905          -4.905        
       0.55       2.7495       -4.3992      28.639        28.639        5         -8        -4.95          -4.95        
       0.555       2.7745       -4.4392      28.6141        28.6141        5         -8        -4.995          -4.995        
       0.56       2.7995       -4.4792      28.5891        28.5891        5         -8        -5.04          -5.04        
       0.565       2.8245       -4.5192      28.5637        28.5637        5         -8        -5.085          -5.085        
       0.57       2.8495       -4.5592      28.5382        28.5382        5         -8        -5.13          -5.13        
       0.575       2.8745       -4.5992      28.5124        28.5124        5         -8        -5.175          -5.175        
       0.58       2.8995       -4.6392      28.4865        28.4865        5         -8        -5.22          -5.22        
       0.585       2.9245       -4.6792      28.4603        28.4603        5         -8        -5.265          -5.265        
       0.59       2.9495       -4.7192      28.4338        28.4338        5         -8        -5.31          -5.31        
       0.595       2.9745       -4.7592      28.4072        28.4072        5         -8        -5.355          -5.355        
       0.6       2.9995       -4.7992      28.3803        28.3803        5         -8        -5.4          -5.4        
       0.605       3.0245       -4.8392      28.3532        28.3532        5         -8        -5.445          -5.445        
       0.61       3.0495       -4.8792      28.3258        28.3258        5         -8        -5.49          -5.49        
       0.615       3.0745       -4.9192      28.2983        28.2983        5         -8        -5.535          -5.535        
       0.62       3.0995       -4.9592      28.2705        28.2705        5         -8        -5.58          -5.58        
       0.625       3.1245       -4.9992      28.2425        28.2425        5         -8        -5.625          -5.625        
       0.63       3.1495       -5.0392      28.2142        28.2142        5         -8        -5.67          -5.67        
       0.635       3.1745       -5.0792      28.1858        28.1858        5         -8        -5.715          -5.715        
       0.64       3.1995       -5.1192      28.1571        28.1571        5         -8        -5.76          -5.76        
       0.645       3.2245       -5.1592      28.1282        28.1282        5         -8        -5.805          -5.805        
       0.65       3.2495       -5.1992      28.099        28.099        5         -8        -5.85          -5.85        
       0.655       3.2745       -5.2392      28.0697        28.0697        5         -8        -5.895          -5.895        
       0.66       3.2995       -5.2792      28.0401        28.0401        5         -8        -5.94          -5.94        
       0.665       3.3245       -5.3192      28.0103        28.0103        5         -8        -5.985          -5.985        
       0.67       3.3495       -5.3592      27.9803        27.9803        5         -8        -6.03          -6.03        
       0.675       3.3745       -5.3992      27.95        27.95        5         -8        -6.075          -6.075        
       0.68       3.3995       -5.4392      27.9195        27.9195        5         -8        -6.12          -6.12        
       0.685       3.4245       -5.4792      27.8888        27.8888        5         -8        -6.165          -6.165        
       0.69       3.4495       -5.5192      27.8579        27.8579        5         -8        -6.21          -6.21        
       0.695       3.4745       -5.5592      27.8267        27.8267        5         -8        -6.255          -6.255        
       0.7       3.4995       -5.5992      27.7953        27.7953        5         -8        -6.3          -6.3        
       0.705       3.5245       -5.6392      27.7637        27.7637        5         -8        -6.345          -6.345        
       0.71       3.5495       -5.6792      27.7319        27.7319        5         -8        -6.39          -6.39        
       0.715       3.5745       -5.7192      27.6998        27.6998        5         -8        -6.435          -6.435        
       0.72       3.5995       -5.7592      27.6675        27.6675        5         -8        -6.48          -6.48        
       0.725       3.6245       -5.7992      27.635        27.635        5         -8        -6.525          -6.525        
       0.73       3.6495       -5.8392      27.6023        27.6023        5         -8        -6.57          -6.57        
       0.735       3.6745       -5.8792      27.5693        27.5693        5         -8        -6.615          -6.615        
       0.74       3.6995       -5.9192      27.5361        27.5361        5         -8        -6.66          -6.66        
       0.745       3.7245       -5.9592      27.5027        27.5027        5         -8        -6.705          -6.705        
       0.75       3.7495       -5.9992      27.4691        27.4691        5         -8        -6.75          -6.75        
       0.755       3.7745       -6.0392      27.4352        27.4352        5         -8        -6.795          -6.795        
       0.76       3.7995       -6.0792      27.4011        27.4011        5         -8        -6.84          -6.84        
       0.765       3.8245       -6.1192      27.3668        27.3668        5         -8        -6.885          -6.885        
       0.77       3.8495       -6.1592      27.3323        27.3323        5         -8        -6.93          -6.93        
       0.775       3.8745       -6.1992      27.2975        27.2975        5         -8        -6.975          -6.975        
       0.78       3.8995       -6.2392      27.2626        27.2626        5         -8        -7.02          -7.02        
       0.785       3.9245       -6.2792      27.2273        27.2273        5         -8        -7.065          -7.065        
       0.79       3.9495       -6.3192      27.1919        27.1919        5         -8        -7.11          -7.11        
       0.795       3.9745       -6.3592      27.1562        27.1562        5         -8        -7.155          -7.155        
       0.8       3.9995       -6.3992      27.1204        27.1204        5         -8        -7.2          -7.2        
       0.805       4.0245       -6.4392      27.0842        27.0842        5         -8        -7.245          -7.245        
       0.81       4.0495       -6.4792      27.0479        27.0479        5         -8        -7.29          -7.29        
       0.815       4.0745       -6.5192      27.0114        27.0114        5         -8        -7.335          -7.335        
       0.82       4.0995       -6.5592      26.9746        26.9746        5         -8        -7.38          -7.38        
       0.825       4.1245       -6.5992      26.9376        26.9376        5         -8        -7.425          -7.425        
       0.83       4.1495       -6.6392      26.9003        26.9003        5         -8        -7.47          -7.47        
       0.835       4.1745       -6.6792      26.8629        26.8629        5         -8        -7.515          -7.515        
       0.84       4.1995       -6.7192      26.8252        26.8252        5         -8        -7.56          -7.56        
       0.845       4.2245       -6.7592      26.7873        26.7873        5         -8        -7.605          -7.605        
       0.85       4.2495       -6.7992      26.7491        26.7491        5         -8        -7.65          -7.65        
       0.855       4.2745       -6.8392      26.7108        26.7108        5         -8        -7.695          -7.695        
       0.86       4.2995       -6.8792      26.6722        26.6722        5         -8        -7.74          -7.74        
       0.865       4.3245       -6.9192      26.6334        26.6334        5         -8        -7.785          -7.785        
       0.87       4.3495       -6.9592      26.5943        26.5943        5         -8        -7.83          -7.83        
       0.875       4.3745       -6.9992      26.5551        26.5551        5         -8        -7.875          -7.875        
       0.88       4.3995       -7.0392      26.5156        26.5156        5         -8        -7.92          -7.92        
       0.885       4.4245       -7.0792      26.4759        26.4759        5         -8        -7.965          -7.965        
       0.89       4.4495       -7.1192      26.436        26.436        5         -8        -8.01          -8.01        
       0.895       4.4745       -7.1592      26.3958        26.3958        5         -8        -8.055          -8.055        
       0.9       4.4995       -7.1992      26.3554        26.3554        5         -8        -8.1          -8.1        
       0.905       4.5245       -7.2392      26.3148        26.3148        5         -8        -8.145          -8.145        
       0.91       4.5495       -7.2792      26.274        26.274        5         -8        -8.19          -8.19        
       0.915       4.5745       -7.3192      26.2329        26.2329        5         -8        -8.235          -8.235        
       0.92       4.5995       -7.3592      26.1916        26.1916        5         -8        -8.28          -8.28        
       0.925       4.6245       -7.3992      26.1501        26.1501        5         -8        -8.325          -8.325        
       0.93       4.6495       -7.4392      26.1084        26.1084        5         -8        -8.37          -8.37        
       0.935       4.6745       -7.4792      26.0664        26.0664        5         -8        -8.415          -8.415        
       0.94       4.6995       -7.5192      26.0242        26.0242        5         -8        -8.46          -8.46        
       0.945       4.7245       -7.5592      25.9818        25.9818        5         -8        -8.505          -8.505        
       0.95       4.7495       -7.5992      25.9392        25.9392        5         -8        -8.55          -8.55        
       0.955       4.7745       -7.6392      25.8963        25.8963        5         -8        -8.595          -8.595        
       0.96       4.7995       -7.6792      25.8532        25.8532        5         -8        -8.64          -8.64        
       0.965       4.8245       -7.7192      25.8099        25.8099        5         -8        -8.685          -8.685        
       0.97       4.8495       -7.7592      25.7664        25.7664        5         -8        -8.73          -8.73        
       0.975       4.8745       -7.7992      25.7226        25.7226        5         -8        -8.775          -8.775        
       0.98       4.8995       -7.8392      25.6786        25.6786        5         -8        -8.82          -8.82        
       0.985       4.9245       -7.8792      25.6344        25.6344        5         -8        -8.865          -8.865        
       0.99       4.9495       -7.9192      25.59        25.59        5         -8        -8.91          -8.91        
       0.995       4.9745       -7.9592      25.5453        25.5453        5         -8        -8.955          -8.955        
       1       4.9995       -7.9992      25.5005        25.5005        5         -8        -9          -9        
       1.005       5.0245       -8.0392      25.4553        25.4553        5         -8        -9.045          -9.045        
       1.01       5.0495       -8.0792      25.41        25.41        5         -8        -9.09          -9.09        
       1.015       5.0745       -8.1192      25.3644        25.3644        5         -8        -9.135          -9.135        
       1.02       5.0995       -8.1592      25.3187        25.3187        5         -8        -9.18          -9.18        
       1.025       5.1245       -8.1992      25.2726        25.2726        5         -8        -9.225          -9.225        
       1.03       5.1495       -8.2392      25.2264        25.2264        5         -8        -9.27          -9.27        
       1.035       5.1745       -8.2792      25.18        25.18        5         -8        -9.315          -9.315        
       1.04       5.1995       -8.3192      25.1333        25.1333        5         -8        -9.36          -9.36        
       1.045       5.2245       -8.3592      25.0864        25.0864        5         -8        -9.405          -9.405        
       1.05       5.2495       -8.3992      25.0392        25.0392        5         -8        -9.45          -9.45        
       1.055       5.2745       -8.4392      24.9919        24.9919        5         -8        -9.495          -9.495        
       1.06       5.2995       -8.4792      24.9443        24.9443        5         -8        -9.54          -9.54        
       1.065       5.3245       -8.5192      24.8965        24.8965        5         -8        -9.585          -9.585        
       1.07       5.3495       -8.5592      24.8484        24.8484        5         -8        -9.63          -9.63        
       1.075       5.3745       -8.5992      24.8002        24.8002        5         -8        -9.675          -9.675        
       1.08       5.3995       -8.6392      24.7517        24.7517        5         -8        -9.72          -9.72        
       1.085       5.4245       -8.6792      24.703        24.703        5         -8        -9.765          -9.765        
       1.09       5.4495       -8.7192      24.654        24.654        5         -8        -9.81          -9.81        
       1.095       5.4745       -8.7592      24.6049        24.6049        5         -8        -9.855          -9.855        
       1.1       5.4995       -8.7992      24.5555        24.5555        5         -8        -9.9          -9.9        
       1.105       5.5245       -8.8392      24.5059        24.5059        5         -8        -9.945          -9.945        
       1.11       5.5495       -8.8792      24.456        24.456        5         -8        -9.99          -9.99        
       1.115       5.5745       -8.9192      24.406        24.406        5         -8        -10.035          -10.035        
       1.12       5.5995       -8.9592      24.3557        24.3557        5         -8        -10.08          -10.08        
       1.125       5.6245       -8.9992      24.3052        24.3052        5         -8        -10.125          -10.125        
       1.13       5.6495       -9.0392      24.2545        24.2545        5         -8        -10.17          -10.17        
       1.135       5.6745       -9.0792      24.2035        24.2035        5         -8        -10.215          -10.215        
       1.14       5.6995       -9.1192      24.1523        24.1523        5         -8        -10.26          -10.26        
       1.145       5.7245       -9.1592      24.1009        24.1009        5         -8        -10.305          -10.305        
       1.15       5.7495       -9.1992      24.0493        24.0493        5         -8        -10.35          -10.35        
       1.155       5.7745       -9.2392      23.9974        23.9974        5         -8        -10.395          -10.395        
       1.16       5.7995       -9.2792      23.9453        23.9453        5         -8        -10.44          -10.44        
       1.165       5.8245       -9.3192      23.893        23.893        5         -8        -10.485          -10.485        
       1.17       5.8495       -9.3592      23.8405        23.8405        5         -8        -10.53          -10.53        
       1.175       5.8745       -9.3992      23.7877        23.7877        5         -8        -10.575          -10.575        
       1.18       5.8995       -9.4392      23.7347        23.7347        5         -8        -10.62          -10.62        
       1.185       5.9245       -9.4792      23.6815        23.6815        5         -8        -10.665          -10.665        
       1.19       5.9495       -9.5192      23.6281        23.6281        5         -8        -10.71          -10.71        
       1.195       5.9745       -9.5592      23.5744        23.5744        5         -8        -10.755          -10.755        
       1.2       5.9995       -9.5992      23.5205        23.5205        5         -8        -10.8          -10.8        
       1.205       6.0245       -9.6392      23.4664        23.4664        5         -8        -10.845          -10.845        
       1.21       6.0495       -9.6792      23.4121        23.4121        5         -8        -10.89          -10.89        
       1.215       6.0745       -9.7192      23.3575        23.3575        5         -8        -10.935          -10.935        
       1.22       6.0995       -9.7592      23.3027        23.3027        5         -8        -10.98          -10.98        
       1.225       6.1245       -9.7992      23.2477        23.2477        5         -8        -11.025          -11.025        
       1.23       6.1495       -9.8392      23.1925        23.1925        5         -8        -11.07          -11.07        
       1.235       6.1745       -9.8792      23.137        23.137        5         -8        -11.115          -11.115        
       1.24       6.1995       -9.9192      23.0814        23.0814        5         -8        -11.16          -11.16        
       1.245       6.2245       -9.9592      23.0254        23.0254        5         -8        -11.205          -11.205        
       1.25       6.2495       -9.9992      22.9693        22.9693        5         -8        -11.25          -11.25        
       1.255       6.2745       -10.0392      22.913        22.913        5         -8        -11.295          -11.295        
       1.26       6.2995       -10.0792      22.8564        22.8564        5         -8        -11.34          -11.34        
       1.265       6.3245       -10.1192      22.7996        22.7996        5         -8        -11.385          -11.385        
       1.27       6.3495       -10.1592      22.7425        22.7425        5         -8        -11.43          -11.43        
       1.275       6.3745       -10.1992      22.6853        22.6853        5         -8        -11.475          -11.475        
       1.28       6.3995       -10.2392      22.6278        22.6278        5         -8        -11.52          -11.52        
       1.285       6.4245       -10.2792      22.5701        22.5701        5         -8        -11.565          -11.565        
       1.29       6.4495       -10.3192      22.5121        22.5121        5         -8        -11.61          -11.61        
       1.295       6.4745       -10.3592      22.454        22.454        5         -8        -11.655          -11.655        
       1.3       6.4995       -10.3992      22.3956        22.3956        5         -8        -11.7          -11.7        
       1.305       6.5245       -10.4392      22.337        22.337        5         -8        -11.745          -11.745        
       1.31       6.5495       -10.4792      22.2781        22.2781        5         -8        -11.79          -11.79        
       1.315       6.5745       -10.5192      22.2191        22.2191        5         -8        -11.835          -11.835        
       1.32       6.5995       -10.5592      22.1598        22.1598        5         -8        -11.88          -11.88        
       1.325       6.6245       -10.5992      22.1003        22.1003        5         -8        -11.925          -11.925        
       1.33       6.6495       -10.6392      22.0405        22.0405        5         -8        -11.97          -11.97        
       1.335       6.6745       -10.6792      21.9806        21.9806        5         -8        -12.015          -12.015        
       1.34       6.6995       -10.7192      21.9204        21.9204        5         -8        -12.06          -12.06        
       1.345       6.7245       -10.7592      21.86        21.86        5         -8        -12.105          -12.105        
       1.35       6.7495       -10.7992      21.7994        21.7994        5         -8        -12.15          -12.15        
       1.355       6.7745       -10.8392      21.7385        21.7385        5         -8        -12.195          -12.195        
       1.36       6.7995       -10.8792      21.6774        21.6774        5         -8        -12.24          -12.24        
       1.365       6.8245       -10.9192      21.6161        21.6161        5         -8        -12.285          -12.285        
       1.37       6.8495       -10.9592      21.5546        21.5546        5         -8        -12.33          -12.33        
       1.375       6.8745       -10.9992      21.4928        21.4928        5         -8        -12.375          -12.375        
       1.38       6.8995       -11.0392      21.4308        21.4308        5         -8        -12.42          -12.42        
       1.385       6.9245       -11.0792      21.3686        21.3686        5         -8        -12.465          -12.465        
       1.39       6.9495       -11.1192      21.3062        21.3062        5         -8        -12.51          -12.51        
       1.395       6.9745       -11.1592      21.2435        21.2435        5         -8        -12.555          -12.555        
       1.4       6.9995       -11.1992      21.1806        21.1806        5         -8        -12.6          -12.6        
       1.405       7.0245       -11.2392      21.1175        21.1175        5         -8        -12.645          -12.645        
       1.41       7.0495       -11.2792      21.0542        21.0542        5         -8        -12.69          -12.69        
       1.415       7.0745       -11.3192      20.9906        20.9906        5         -8        -12.735          -12.735        
       1.42       7.0995       -11.3592      20.9268        20.9268        5         -8        -12.78          -12.78        
       1.425       7.1245       -11.3992      20.8628        20.8628        5         -8        -12.825          -12.825        
       1.43       7.1495       -11.4392      20.7986        20.7986        5         -8        -12.87          -12.87        
       1.435       7.1745       -11.4792      20.7341        20.7341        5         -8        -12.915          -12.915        
