#   t      x       y     
0   10    20   
0.005   25.9216337803009    3.99618789984295   
0.01   29.6147262560114    0.16434712658164   
0.015   29.5338383897717    0.102274890648876   
0.02   29.3918324783816    0.101965787254271   
0.025   29.249745257037    0.102449344574132   
0.03   29.108353924915    0.102945722367519   
0.035   28.9676653191221    0.103444572410586   
0.04   28.8276760675315    0.10394576143541   
0.045   28.6883826739897    0.104449297569092   
0.05   28.5497816577125    0.104955191014853   
0.055   28.4118695552079    0.105463452044271   
0.06   28.2746429202201    0.105974090967216   
0.065   28.1380983236434    0.106487118131457   
0.07   28.0022323534375    0.107002543922729   
0.075   27.8670416145412    0.10752037876481   
0.08   27.7325227287887    0.1080406331196   
0.085   27.5986723348245    0.108563317487192   
0.09   27.4654870880198    0.10908844240595   
0.095   27.332963660389    0.109616018452584   
0.1   27.2010987405066    0.11014605624222   
0.105   27.0698890334244    0.110678566428479   
0.11   26.9393312605894    0.111213559703548   
0.115   26.809422159762    0.111751046798253   
0.12   26.6801584849344    0.112291038482131   
0.125   26.5515370062495    0.112833545563502   
0.13   26.4235545099207    0.113378578889541   
0.135   26.2962077981512    0.113926149346348   
0.14   26.1694936890545    0.114476267859019   
0.145   26.0434090165747    0.115028945391716   
0.15   25.9179506304078    0.115584192947734   
0.155   25.7931153959229    0.116142021569576   
0.16   25.6689001940837    0.116702442339014   
0.165   25.5453019213713    0.11726546637716   
0.17   25.4223174897061    0.117831104844534   
0.175   25.299943826371    0.118399368941132   
0.18   25.1781778739349    0.118970269906486   
0.185   25.0570165901758    0.119543819019737   
0.19   24.9364569480058    0.120120027599694   
0.195   24.8164959353945    0.120698907004904   
0.2   24.6971305552948    0.121280468633712   
0.205   24.5783578255674    0.121864723924323   
0.21   24.4601747789068    0.12245168435487   
0.215   24.3425784627669    0.123041361443471   
0.22   24.2255659392879    0.123633766748295   
0.225   24.1091342852222    0.124228911867618   
0.23   23.9932805918623    0.124826808439885   
0.235   23.8780019649675    0.125427468143774   
0.24   23.7632955246921    0.126030902698247   
0.245   23.6491584055135    0.126637123862616   
0.25   23.5355877561606    0.127246143436595   
0.255   23.4225807395427    0.12785797326036   
0.26   23.3101345326789    0.128472625214605   
0.265   23.1982463266271    0.129090111220598   
0.27   23.0869133264148    0.129710443240233   
0.275   22.9761327509685    0.130333633276089   
0.28   22.8659018330451    0.130959693371482   
0.285   22.7562178191622    0.131588635610516   
0.29   22.6470779695299    0.132220472118136   
0.295   22.5384795579821    0.132855215060182   
0.3   22.4304198719088    0.133492876643438   
0.305   22.3228962121883    0.134133469115681   
0.31   22.2159058931198    0.134777004765732   
0.315   22.1094462423566    0.135423495923506   
0.32   22.0035146008392    0.136072954960055   
0.325   21.8981083227294    0.13672539428762   
0.33   21.7932247753436    0.137380826359676   
0.335   21.6888613390881    0.138039263670978   
0.34   21.5850154073929    0.138700718757602   
0.345   21.4816843866472    0.139365204196996   
0.35   21.3788656961345    0.140032732608017   
0.355   21.2765567679684    0.140703316650977   
0.36   21.1747550470286    0.141376969027683   
0.365   21.0734579908967    0.14205370248148   
0.37   20.9726630697937    0.142733529797288   
0.375   20.872367766516    0.143416463801643   
0.38   20.7725695763732    0.144102517362737   
0.385   20.6732660071257    0.144791703390451   
0.39   20.574454578922    0.145484034836398   
0.395   20.4761328242375    0.146179524693952   
0.4   20.3782982878127    0.146878185998289   
0.405   20.280948526592    0.147580031826418   
0.41   20.1840811096629    0.148285075297213   
0.415   20.0876936181952    0.148993329571451   
0.42   19.9917836453809    0.149704807851836   
0.425   19.8963487963741    0.150419523383036   
0.43   19.8013866882316    0.151137489451709   
0.435   19.7068949498529    0.151858719386533   
0.44   19.6128712219217    0.152583226558235   
0.445   19.5193131568469    0.153311024379615   
0.45   19.4262184187039    0.154042126305576   
0.455   19.3335846831766    0.154776545833145   
0.46   19.2414096374995    0.1555142965015   
0.465   19.1496909803999    0.156255391891994   
0.47   19.0584264220409    0.156999845628173   
0.475   18.9676136839637    0.157747671375801   
0.48   18.8772504990316    0.15849888284288   
0.485   18.7873346113728    0.159253493779668   
0.49   18.697863776325    0.160011517978698   
0.495   18.6088357603784    0.160772969274796   
0.5   18.5202483411213    0.161537861545096   
0.505   18.4320993071836    0.162306208709056   
0.51   18.3443864581825    0.163078024728474   
0.515   18.2571076046674    0.163853323607499   
0.52   18.1702605680652    0.164632119392643   
0.525   18.0838431806265    0.165414426172796   
0.53   17.997853285371    0.16620025807923   
0.535   17.9122887360342    0.166989629285616   
0.54   17.827147397014    0.167782554008026   
0.545   17.7424271433171    0.168579046504941   
0.55   17.6581258605066    0.169379121077261   
0.555   17.5742414446489    0.170182792068305   
0.56   17.4907718022615    0.170990073863818   
0.565   17.4077148502609    0.171800980891972   
0.57   17.3250685159109    0.172615527623368   
0.575   17.2428307367703    0.173433728571039   
0.58   17.1609994606426    0.174255598290446   
0.585   17.0795726455239    0.175081151379477   
0.59   16.9985482595529    0.175910402478448   
0.595   16.9179242809596    0.176743366270094   
0.6   16.8376986980156    0.177580057479566   
0.605   16.7578695089834    0.178420490874426   
0.61   16.6784347220673    0.17926468126464   
0.615   16.599392355363    0.180112643502565   
0.62   16.5207404368092    0.180964392482947   
0.625   16.4424770041376    0.181819943142902   
0.63   16.3646001048248    0.18267931046191   
0.635   16.2871077960432    0.183542509461801   
0.64   16.2099981446129    0.184409555206737   
0.645   16.1332692269537    0.185280462803201   
0.65   16.0569191290369    0.186155247399978   
0.655   15.9809459463381    0.187033924188137   
0.66   15.9053477837894    0.187916508401014   
0.665   15.8301227557326    0.188803015314188   
