#      t_n         x_n         xteo        err    
       0         0         0           0
       0.005       0.0650044       0.0650045        9.13836e-08
       0.01       0.130017       0.130017        1.82766e-07
       0.015       0.195038       0.195038        2.74147e-07
       0.02       0.260066       0.260066        3.65525e-07
       0.025       0.3251       0.325101        4.569e-07
       0.03       0.390141       0.390141        5.4827e-07
       0.035       0.455186       0.455187        6.39634e-07
       0.04       0.520236       0.520237        7.30992e-07
       0.045       0.58529       0.585291        8.22343e-07
       0.05       0.650348       0.650349        9.13685e-07
       0.055       0.715408       0.715409        1.00502e-06
       0.06       0.78047       0.780471        1.09634e-06
       0.065       0.845533       0.845534        1.18765e-06
       0.07       0.910597       0.910599        1.27895e-06
       0.075       0.975661       0.975663        1.37024e-06
       0.08       1.04072       1.04073        1.46152e-06
       0.085       1.10579       1.10579        1.55278e-06
       0.09       1.17085       1.17085        1.64402e-06
       0.095       1.23591       1.23591        1.73525e-06
       0.1       1.30096       1.30096        1.82646e-06
       0.105       1.36601       1.36601        1.91765e-06
       0.11       1.43106       1.43106        2.00882e-06
       0.115       1.4961       1.4961        2.09997e-06
       0.12       1.56113       1.56113        2.1911e-06
       0.125       1.62616       1.62616        2.28221e-06
       0.13       1.69118       1.69119        2.3733e-06
       0.135       1.7562       1.7562        2.46436e-06
       0.14       1.8212       1.8212        2.5554e-06
       0.145       1.8862       1.8862        2.64642e-06
       0.15       1.95118       1.95119        2.7374e-06
       0.155       2.01616       2.01616        2.82836e-06
       0.16       2.08113       2.08113        2.91929e-06
       0.165       2.14608       2.14608        3.01019e-06
       0.17       2.21102       2.21102        3.10106e-06
       0.175       2.27595       2.27595        3.1919e-06
       0.18       2.34086       2.34087        3.28271e-06
       0.185       2.40576       2.40577        3.37349e-06
       0.19       2.47065       2.47065        3.46423e-06
       0.195       2.53552       2.53552        3.55494e-06
       0.2       2.60037       2.60038        3.64561e-06
       0.205       2.66521       2.66521        3.73625e-06
       0.21       2.73003       2.73003        3.82684e-06
       0.215       2.79483       2.79483        3.9174e-06
       0.22       2.85961       2.85962        4.00792e-06
       0.225       2.92438       2.92438        4.0984e-06
       0.23       2.98912       2.98912        4.18884e-06
       0.235       3.05384       3.05384        4.27924e-06
       0.24       3.11854       3.11855        4.3696e-06
       0.245       3.18322       3.18322        4.45991e-06
       0.25       3.24788       3.24788        4.55017e-06
       0.255       3.31251       3.31251        4.64039e-06
       0.26       3.37712       3.37712        4.73057e-06
       0.265       3.4417       3.44171        4.8207e-06
       0.27       3.50626       3.50626        4.91078e-06
       0.275       3.57079       3.5708        5.00081e-06
       0.28       3.6353       3.6353        5.09079e-06
       0.285       3.69978       3.69978        5.18072e-06
       0.29       3.76423       3.76423        5.27059e-06
       0.295       3.82865       3.82866        5.36042e-06
       0.3       3.89304       3.89305        5.45019e-06
       0.305       3.95741       3.95741        5.5399e-06
       0.31       4.02174       4.02175        5.62957e-06
       0.315       4.08604       4.08605        5.71917e-06
       0.32       4.15031       4.15032        5.80872e-06
       0.325       4.21455       4.21456        5.89821e-06
       0.33       4.27876       4.27876        5.98764e-06
       0.335       4.34293       4.34293        6.07701e-06
       0.34       4.40707       4.40707        6.16632e-06
       0.345       4.47117       4.47117        6.25557e-06
       0.35       4.53523       4.53524        6.34475e-06
       0.355       4.59927       4.59927        6.43388e-06
       0.36       4.66326       4.66327        6.52293e-06
       0.365       4.72721       4.72722        6.61193e-06
       0.37       4.79113       4.79114        6.70085e-06
       0.375       4.85501       4.85502        6.78971e-06
       0.38       4.91885       4.91886        6.87851e-06
       0.385       4.98265       4.98266        6.96723e-06
       0.39       5.04641       5.04642        7.05588e-06
       0.395       5.11013       5.11014        7.14447e-06
       0.4       5.1738       5.17381        7.23298e-06
       0.405       5.23744       5.23744        7.32142e-06
       0.41       5.30103       5.30103        7.40978e-06
       0.415       5.36457       5.36458        7.49807e-06
       0.42       5.42808       5.42808        7.58629e-06
       0.425       5.49153       5.49154        7.67443e-06
       0.43       5.55494       5.55495        7.7625e-06
       0.435       5.61831       5.61831        7.85048e-06
       0.44       5.68162       5.68163        7.93839e-06
       0.445       5.74489       5.7449        8.02622e-06
       0.45       5.80811       5.80812        8.11397e-06
       0.455       5.87129       5.8713        8.20164e-06
       0.46       5.93441       5.93442        8.28922e-06
       0.465       5.99748       5.99749        8.37672e-06
       0.47       6.0605       6.06051        8.46414e-06
       0.475       6.12347       6.12348        8.55148e-06
       0.48       6.18639       6.1864        8.63873e-06
       0.485       6.24926       6.24927        8.72589e-06
       0.49       6.31207       6.31208        8.81296e-06
       0.495       6.37483       6.37484        8.89995e-06
       0.5       6.43753       6.43754        8.98685e-06
       0.505       6.50018       6.50019        9.07366e-06
       0.51       6.56277       6.56278        9.16037e-06
       0.515       6.62531       6.62532        9.247e-06
       0.52       6.68779       6.6878        9.33353e-06
       0.525       6.75021       6.75022        9.41997e-06
       0.53       6.81257       6.81258        9.50632e-06
       0.535       6.87488       6.87488        9.59257e-06
       0.54       6.93712       6.93713        9.67873e-06
       0.545       6.9993       6.99931        9.76478e-06
       0.55       7.06143       7.06144        9.85074e-06
       0.555       7.12349       7.1235        9.93661e-06
       0.56       7.18549       7.1855        1.00224e-05
       0.565       7.24742       7.24743        1.0108e-05
       0.57       7.3093       7.30931        1.01936e-05
       0.575       7.37111       7.37112        1.02791e-05
       0.58       7.43285       7.43286        1.03644e-05
       0.585       7.49453       7.49454        1.04497e-05
       0.59       7.55615       7.55616        1.05348e-05
       0.595       7.61769       7.6177        1.06199e-05
       0.6       7.67917       7.67918        1.07048e-05
       0.605       7.74059       7.7406        1.07896e-05
       0.61       7.80193       7.80194        1.08743e-05
       0.615       7.86321       7.86322        1.0959e-05
       0.62       7.92441       7.92442        1.10435e-05
       0.625       7.98555       7.98556        1.11279e-05
       0.63       8.04661       8.04663        1.12121e-05
       0.635       8.10761       8.10762        1.12963e-05
       0.64       8.16853       8.16854        1.13804e-05
       0.645       8.22938       8.22939        1.14643e-05
       0.65       8.29016       8.29017        1.15481e-05
       0.655       8.35086       8.35087        1.16319e-05
       0.66       8.41149       8.4115        1.17155e-05
