#      t_n         x_n         xteo        err    
       0.665       8.47204       8.47205        1.17989e-05
       0.67       8.53252       8.53253        1.18823e-05
       0.675       8.59292       8.59293        1.19655e-05
       0.68       8.65325       8.65326        1.20487e-05
       0.685       8.71349       8.71351        1.21317e-05
       0.69       8.77366       8.77367        1.22145e-05
       0.695       8.83375       8.83377        1.22973e-05
       0.7       8.89377       8.89378        1.23799e-05
       0.705       8.9537       8.95371        1.24625e-05
       0.71       9.01355       9.01356        1.25448e-05
       0.715       9.07332       9.07333        1.26271e-05
       0.72       9.13301       9.13302        1.27092e-05
       0.725       9.19261       9.19263        1.27913e-05
       0.73       9.25214       9.25215        1.28731e-05
       0.735       9.31158       9.31159        1.29549e-05
       0.74       9.37094       9.37095        1.30365e-05
       0.745       9.43021       9.43022        1.3118e-05
       0.75       9.48939       9.48941        1.31994e-05
       0.755       9.5485       9.54851        1.32806e-05
       0.76       9.60751       9.60752        1.33617e-05
       0.765       9.66644       9.66645        1.34427e-05
       0.77       9.72528       9.72529        1.35235e-05
       0.775       9.78403       9.78404        1.36042e-05
       0.78       9.84269       9.84271        1.36847e-05
       0.785       9.90127       9.90128        1.37652e-05
       0.79       9.95975       9.95977        1.38454e-05
       0.795       10.0181       10.0182        1.39256e-05
       0.8       10.0764       10.0765        1.40056e-05
       0.805       10.1347       10.1347        1.40855e-05
       0.81       10.1928       10.1928        1.41652e-05
       0.815       10.2508       10.2508        1.42448e-05
       0.82       10.3087       10.3088        1.43242e-05
       0.825       10.3666       10.3666        1.44035e-05
       0.83       10.4243       10.4243        1.44827e-05
       0.835       10.482       10.482        1.45617e-05
       0.84       10.5395       10.5395        1.46405e-05
       0.845       10.597       10.597        1.47193e-05
       0.85       10.6543       10.6544        1.47978e-05
       0.855       10.7116       10.7116        1.48762e-05
       0.86       10.7688       10.7688        1.49545e-05
       0.865       10.8258       10.8259        1.50326e-05
       0.87       10.8828       10.8828        1.51106e-05
       0.875       10.9397       10.9397        1.51884e-05
       0.88       10.9964       10.9965        1.52661e-05
       0.885       11.0531       11.0531        1.53436e-05
       0.89       11.1097       11.1097        1.5421e-05
       0.895       11.1661       11.1662        1.54982e-05
       0.9       11.2225       11.2225        1.55753e-05
       0.905       11.2788       11.2788        1.56522e-05
       0.91       11.3349       11.3349        1.57289e-05
       0.915       11.391       11.391        1.58055e-05
       0.92       11.4469       11.4469        1.58819e-05
       0.925       11.5027       11.5028        1.59582e-05
       0.93       11.5585       11.5585        1.60343e-05
       0.935       11.6141       11.6141        1.61102e-05
       0.94       11.6696       11.6696        1.6186e-05
       0.945       11.725       11.7251        1.62617e-05
       0.95       11.7803       11.7804        1.63371e-05
       0.955       11.8355       11.8356        1.64124e-05
       0.96       11.8906       11.8906        1.64876e-05
       0.965       11.9456       11.9456        1.65625e-05
       0.97       12.0005       12.0005        1.66373e-05
       0.975       12.0552       12.0552        1.6712e-05
       0.98       12.1099       12.1099        1.67865e-05
       0.985       12.1644       12.1644        1.68608e-05
       0.99       12.2188       12.2188        1.69349e-05
       0.995       12.2731       12.2731        1.70089e-05
       1       12.3273       12.3273        1.70827e-05
       1.005       12.3814       12.3814        1.71563e-05
       1.01       12.4354       12.4354        1.72297e-05
       1.015       12.4892       12.4892        1.7303e-05
       1.02       12.543       12.543        1.73761e-05
       1.025       12.5966       12.5966        1.74491e-05
       1.03       12.6501       12.6501        1.75218e-05
       1.035       12.7035       12.7035        1.75944e-05
       1.04       12.7567       12.7567        1.76668e-05
       1.045       12.8099       12.8099        1.77391e-05
       1.05       12.8629       12.8629        1.78111e-05
       1.055       12.9158       12.9158        1.7883e-05
       1.06       12.9686       12.9686        1.79547e-05
       1.065       13.0213       13.0213        1.80262e-05
       1.07       13.0738       13.0738        1.80975e-05
       1.075       13.1262       13.1263        1.81687e-05
       1.08       13.1785       13.1786        1.82397e-05
       1.085       13.2307       13.2307        1.83105e-05
       1.09       13.2828       13.2828        1.83811e-05
       1.095       13.3347       13.3347        1.84515e-05
       1.1       13.3865       13.3865        1.85218e-05
       1.105       13.4382       13.4382        1.85918e-05
       1.11       13.4898       13.4898        1.86617e-05
       1.115       13.5412       13.5412        1.87314e-05
       1.12       13.5925       13.5925        1.88009e-05
       1.125       13.6437       13.6437        1.88702e-05
       1.13       13.6947       13.6948        1.89393e-05
       1.135       13.7457       13.7457        1.90082e-05
       1.14       13.7965       13.7965        1.9077e-05
       1.145       13.8471       13.8471        1.91455e-05
       1.15       13.8977       13.8977        1.92139e-05
       1.155       13.9481       13.9481        1.92821e-05
       1.16       13.9984       13.9984        1.935e-05
       1.165       14.0485       14.0485        1.94178e-05
       1.17       14.0985       14.0985        1.94854e-05
       1.175       14.1484       14.1484        1.95528e-05
       1.18       14.1982       14.1982        1.962e-05
       1.185       14.2478       14.2478        1.9687e-05
       1.19       14.2973       14.2973        1.97538e-05
       1.195       14.3466       14.3466        1.98204e-05
       1.2       14.3958       14.3959        1.98868e-05
       1.205       14.4449       14.4449        1.9953e-05
       1.21       14.4939       14.4939        2.0019e-05
       1.215       14.5427       14.5427        2.00849e-05
       1.22       14.5914       14.5914        2.01505e-05
       1.225       14.6399       14.6399        2.02159e-05
       1.23       14.6883       14.6883        2.02811e-05
       1.235       14.7366       14.7366        2.03461e-05
       1.24       14.7847       14.7847        2.04109e-05
       1.245       14.8327       14.8327        2.04755e-05
       1.25       14.8805       14.8805        2.05399e-05
       1.255       14.9282       14.9283        2.06041e-05
       1.26       14.9758       14.9758        2.0668e-05
       1.265       15.0232       15.0232        2.07318e-05
       1.27       15.0705       15.0705        2.07954e-05
       1.275       15.1177       15.1177        2.08587e-05
       1.28       15.1647       15.1647        2.09219e-05
       1.285       15.2115       15.2115        2.09848e-05
       1.29       15.2582       15.2583        2.10475e-05
       1.295       15.3048       15.3048        2.11101e-05
       1.3       15.3512       15.3513        2.11724e-05
       1.305       15.3975       15.3976        2.12345e-05
       1.31       15.4437       15.4437        2.12964e-05
       1.315       15.4897       15.4897        2.1358e-05
       1.32       15.5355       15.5355        2.14195e-05
       1.325       15.5812       15.5812        2.14807e-05
       1.33       15.6268       15.6268        2.15418e-05
       1.335       15.6722       15.6722        2.16026e-05
       1.34       15.7175       15.7175        2.16632e-05
       1.345       15.7626       15.7626        2.17236e-05
       1.35       15.8075       15.8076        2.17837e-05
       1.355       15.8524       15.8524        2.18437e-05
       1.36       15.897       15.897        2.19034e-05
       1.365       15.9415       15.9416        2.19629e-05
       1.37       15.9859       15.9859        2.20222e-05
       1.375       16.0301       16.0301        2.20813e-05
       1.38       16.0742       16.0742        2.21401e-05
       1.385       16.1181       16.1181        2.21987e-05
       1.39       16.1619       16.1619        2.22571e-05
       1.395       16.2055       16.2055        2.23153e-05
       1.4       16.2489       16.249        2.23733e-05
       1.405       16.2922       16.2923        2.2431e-05
       1.41       16.3354       16.3354        2.24885e-05
       1.415       16.3784       16.3784        2.25458e-05
       1.42       16.4212       16.4212        2.26029e-05
       1.425       16.4639       16.4639        2.26597e-05
       1.43       16.5064       16.5065        2.27163e-05
       1.435       16.5488       16.5488        2.27727e-05
       1.44       16.591       16.591        2.28289e-05
       1.445       16.6331       16.6331        2.28848e-05
       1.45       16.675       16.675        2.29405e-05
       1.455       16.7167       16.7168        2.2996e-05
       1.46       16.7583       16.7583        2.30512e-05
       1.465       16.7998       16.7998        2.31062e-05
       1.47       16.841       16.841        2.3161e-05
       1.475       16.8821       16.8822        2.32155e-05
       1.48       16.9231       16.9231        2.32698e-05
       1.485       16.9639       16.9639        2.33239e-05
       1.49       17.0045       17.0045        2.33778e-05
       1.495       17.045       17.045        2.34314e-05
       1.5       17.0853       17.0853        2.34848e-05
       1.505       17.1254       17.1255        2.35379e-05
       1.51       17.1654       17.1654        2.35908e-05
       1.515       17.2052       17.2053        2.36435e-05
       1.52       17.2449       17.2449        2.36959e-05
       1.525       17.2844       17.2844        2.37481e-05
       1.53       17.3237       17.3238        2.38001e-05
       1.535       17.3629       17.3629        2.38518e-05
       1.54       17.4019       17.4019        2.39033e-05
       1.545       17.4408       17.4408        2.39545e-05
       1.55       17.4794       17.4794        2.40056e-05
       1.555       17.5179       17.518        2.40563e-05
       1.56       17.5563       17.5563        2.41068e-05
       1.565       17.5945       17.5945        2.41571e-05
       1.57       17.6325       17.6325        2.42072e-05
       1.575       17.6703       17.6703        2.4257e-05
       1.58       17.708       17.708        2.43065e-05
       1.585       17.7455       17.7455        2.43559e-05
       1.59       17.7828       17.7828        2.44049e-05
       1.595       17.82       17.82        2.44538e-05
       1.6       17.857       17.857        2.45023e-05
       1.605       17.8938       17.8938        2.45507e-05
       1.61       17.9305       17.9305        2.45988e-05
       1.615       17.967       17.967        2.46466e-05
       1.62       18.0033       18.0033        2.46942e-05
       1.625       18.0394       18.0395        2.47416e-05
       1.63       18.0754       18.0755        2.47887e-05
       1.635       18.1112       18.1113        2.48356e-05
       1.64       18.1469       18.1469        2.48822e-05
       1.645       18.1823       18.1824        2.49285e-05
       1.65       18.2176       18.2176        2.49746e-05
       1.655       18.2527       18.2528        2.50205e-05
       1.66       18.2877       18.2877        2.50661e-05
       1.665       18.3225       18.3225        2.51115e-05
       1.67       18.357       18.3571        2.51566e-05
       1.675       18.3915       18.3915        2.52015e-05
       1.68       18.4257       18.4257        2.52461e-05
       1.685       18.4598       18.4598        2.52904e-05
       1.69       18.4937       18.4937        2.53345e-05
       1.695       18.5274       18.5274        2.53784e-05
       1.7       18.5609       18.561        2.5422e-05
       1.705       18.5943       18.5943        2.54653e-05
       1.71       18.6275       18.6275        2.55084e-05
       1.715       18.6605       18.6605        2.55512e-05
       1.72       18.6934       18.6934        2.55938e-05
       1.725       18.726       18.726        2.56361e-05
       1.73       18.7585       18.7585        2.56782e-05
       1.735       18.7908       18.7908        2.572e-05
       1.74       18.8229       18.8229        2.57616e-05
       1.745       18.8549       18.8549        2.58029e-05
       1.75       18.8866       18.8867        2.58439e-05
       1.755       18.9182       18.9182        2.58847e-05
       1.76       18.9496       18.9496        2.59252e-05
       1.765       18.9808       18.9809        2.59655e-05
       1.77       19.0119       19.0119        2.60055e-05
       1.775       19.0427       19.0428        2.60452e-05
       1.78       19.0734       19.0735        2.60847e-05
       1.785       19.1039       19.104        2.61239e-05
       1.79       19.1342       19.1343        2.61628e-05
       1.795       19.1644       19.1644        2.62015e-05
       1.8       19.1943       19.1944        2.624e-05
       1.805       19.2241       19.2241        2.62782e-05
       1.81       19.2537       19.2537        2.63161e-05
       1.815       19.2831       19.2831        2.63537e-05
       1.82       19.3123       19.3123        2.63911e-05
       1.825       19.3414       19.3414        2.64282e-05
       1.83       19.3702       19.3702        2.64651e-05
       1.835       19.3989       19.3989        2.65017e-05
       1.84       19.4274       19.4274        2.6538e-05
       1.845       19.4557       19.4557        2.6574e-05
       1.85       19.4838       19.4838        2.66098e-05
       1.855       19.5117       19.5117        2.66454e-05
       1.86       19.5394       19.5395        2.66806e-05
       1.865       19.567       19.567        2.67156e-05
       1.87       19.5944       19.5944        2.67503e-05
       1.875       19.6215       19.6216        2.67848e-05
       1.88       19.6485       19.6486        2.6819e-05
       1.885       19.6753       19.6754        2.68529e-05
       1.89       19.702       19.702        2.68866e-05
       1.895       19.7284       19.7284        2.692e-05
       1.9       19.7546       19.7547        2.69531e-05
       1.905       19.7807       19.7807        2.69859e-05
       1.91       19.8066       19.8066        2.70185e-05
       1.915       19.8322       19.8323        2.70508e-05
       1.92       19.8577       19.8577        2.70829e-05
       1.925       19.883       19.883        2.71146e-05
       1.93       19.9081       19.9081        2.71461e-05
       1.935       19.933       19.9331        2.71773e-05
       1.94       19.9578       19.9578        2.72083e-05
       1.945       19.9823       19.9823        2.7239e-05
       1.95       20.0067       20.0067        2.72694e-05
       1.955       20.0308       20.0308        2.72995e-05
       1.96       20.0548       20.0548        2.73294e-05
       1.965       20.0786       20.0786        2.7359e-05
       1.97       20.1021       20.1022        2.73883e-05
       1.975       20.1255       20.1256        2.74173e-05
       1.98       20.1487       20.1487        2.74461e-05
       1.985       20.1717       20.1718        2.74746e-05
       1.99       20.1945       20.1946        2.75028e-05
       1.995       20.2172       20.2172        2.75308e-05
       2       20.2396       20.2396        2.75584e-05
       2.005       20.2618       20.2618        2.75858e-05
       2.01       20.2839       20.2839        2.76129e-05
       2.015       20.3057       20.3057        2.76398e-05
       2.02       20.3274       20.3274        2.76663e-05
       2.025       20.3488       20.3488        2.76926e-05
       2.03       20.3701       20.3701        2.77186e-05
       2.035       20.3912       20.3912        2.77444e-05
       2.04       20.412       20.4121        2.77698e-05
       2.045       20.4327       20.4327        2.7795e-05
       2.05       20.4532       20.4532        2.78199e-05
       2.055       20.4735       20.4735        2.78445e-05
       2.06       20.4936       20.4936        2.78689e-05
       2.065       20.5135       20.5135        2.7893e-05
       2.07       20.5332       20.5332        2.79167e-05
       2.075       20.5527       20.5527        2.79403e-05
       2.08       20.572       20.572        2.79635e-05
       2.085       20.5911       20.5911        2.79864e-05
       2.09       20.61       20.6101        2.80091e-05
       2.095       20.6287       20.6288        2.80315e-05
       2.1       20.6473       20.6473        2.80536e-05
       2.105       20.6656       20.6656        2.80754e-05
       2.11       20.6837       20.6838        2.8097e-05
       2.115       20.7017       20.7017        2.81183e-05
       2.12       20.7194       20.7194        2.81392e-05
       2.125       20.7369       20.7369        2.81599e-05
       2.13       20.7543       20.7543        2.81804e-05
       2.135       20.7714       20.7714        2.82005e-05
       2.14       20.7883       20.7884        2.82204e-05
       2.145       20.8051       20.8051        2.82399e-05
       2.15       20.8216       20.8216        2.82592e-05
       2.155       20.838       20.838        2.82783e-05
       2.16       20.8541       20.8541        2.8297e-05
       2.165       20.87       20.8701        2.83154e-05
       2.17       20.8858       20.8858        2.83336e-05
       2.175       20.9013       20.9014        2.83515e-05
       2.18       20.9167       20.9167        2.83691e-05
       2.185       20.9318       20.9318        2.83864e-05
       2.19       20.9468       20.9468        2.84034e-05
       2.195       20.9615       20.9615        2.84202e-05
       2.2       20.976       20.9761        2.84366e-05
       2.205       20.9904       20.9904        2.84528e-05
       2.21       21.0045       21.0046        2.84687e-05
       2.215       21.0185       21.0185        2.84843e-05
       2.22       21.0322       21.0322        2.84996e-05
       2.225       21.0458       21.0458        2.85147e-05
       2.23       21.0591       21.0591        2.85294e-05
       2.235       21.0722       21.0723        2.85439e-05
       2.24       21.0852       21.0852        2.85581e-05
       2.245       21.0979       21.0979        2.8572e-05
       2.25       21.1104       21.1105        2.85856e-05
       2.255       21.1228       21.1228        2.85989e-05
       2.26       21.1349       21.1349        2.8612e-05
       2.265       21.1468       21.1468        2.86247e-05
       2.27       21.1585       21.1586        2.86372e-05
       2.275       21.17       21.1701        2.86494e-05
       2.28       21.1814       21.1814        2.86613e-05
       2.285       21.1925       21.1925        2.86729e-05
       2.29       21.2034       21.2034        2.86842e-05
       2.295       21.2141       21.2141        2.86952e-05
       2.3       21.2246       21.2246        2.8706e-05
       2.305       21.2349       21.2349        2.87164e-05
       2.31       21.245       21.245        2.87266e-05
       2.315       21.2549       21.2549        2.87365e-05
       2.32       21.2646       21.2646        2.87461e-05
       2.325       21.2741       21.2741        2.87554e-05
       2.33       21.2834       21.2834        2.87644e-05
       2.335       21.2925       21.2925        2.87732e-05
       2.34       21.3013       21.3014        2.87816e-05
       2.345       21.31       21.31        2.87898e-05
       2.35       21.3185       21.3185        2.87977e-05
       2.355       21.3267       21.3268        2.88053e-05
       2.36       21.3348       21.3348        2.88125e-05
       2.365       21.3427       21.3427        2.88196e-05
       2.37       21.3503       21.3503        2.88263e-05
       2.375       21.3578       21.3578        2.88327e-05
       2.38       21.365       21.365        2.88389e-05
       2.385       21.3721       21.3721        2.88447e-05
       2.39       21.3789       21.3789        2.88503e-05
       2.395       21.3855       21.3855        2.88556e-05
       2.4       21.3919       21.392        2.88606e-05
       2.405       21.3982       21.3982        2.88653e-05
       2.41       21.4042       21.4042        2.88697e-05
       2.415       21.41       21.41        2.88738e-05
       2.42       21.4156       21.4156        2.88776e-05
       2.425       21.421       21.421        2.88812e-05
       2.43       21.4262       21.4262        2.88845e-05
       2.435       21.4312       21.4312        2.88874e-05
       2.44       21.436       21.436        2.88901e-05
       2.445       21.4406       21.4406        2.88925e-05
       2.45       21.4449       21.445        2.88946e-05
       2.455       21.4491       21.4491        2.88964e-05
       2.46       21.4531       21.4531        2.8898e-05
       2.465       21.4568       21.4569        2.88992e-05
       2.47       21.4604       21.4604        2.89001e-05
       2.475       21.4637       21.4638        2.89008e-05
       2.48       21.4669       21.4669        2.89012e-05
       2.485       21.4698       21.4699        2.89013e-05
       2.49       21.4726       21.4726        2.89011e-05
       2.495       21.4751       21.4751        2.89006e-05
       2.5       21.4774       21.4774        2.88998e-05
       2.505       21.4795       21.4795        2.88987e-05
       2.51       21.4814       21.4815        2.88973e-05
       2.515       21.4831       21.4832        2.88957e-05
       2.52       21.4846       21.4847        2.88937e-05
       2.525       21.4859       21.486        2.88915e-05
       2.53       21.487       21.487        2.8889e-05
       2.535       21.4879       21.4879        2.88862e-05
       2.54       21.4886       21.4886        2.88831e-05
       2.545       21.489       21.4891        2.88797e-05
       2.55       21.4893       21.4893        2.8876e-05
       2.555       21.4894       21.4894        2.88721e-05
       2.56       21.4892       21.4892        2.88678e-05
       2.565       21.4889       21.4889        2.88633e-05
       2.57       21.4883       21.4883        2.88585e-05
       2.575       21.4875       21.4876        2.88534e-05
       2.58       21.4866       21.4866        2.88479e-05
       2.585       21.4854       21.4854        2.88423e-05
       2.59       21.484       21.484        2.88363e-05
       2.595       21.4824       21.4825        2.883e-05
       2.6       21.4806       21.4807        2.88234e-05
       2.605       21.4786       21.4787        2.88166e-05
       2.61       21.4764       21.4765        2.88095e-05
       2.615       21.474       21.4741        2.8802e-05
       2.62       21.4714       21.4714        2.87943e-05
       2.625       21.4686       21.4686        2.87863e-05
       2.63       21.4656       21.4656        2.87781e-05
       2.635       21.4623       21.4624        2.87695e-05
       2.64       21.4589       21.4589        2.87606e-05
       2.645       21.4552       21.4553        2.87515e-05
       2.65       21.4514       21.4514        2.8742e-05
       2.655       21.4473       21.4474        2.87323e-05
       2.66       21.4431       21.4431        2.87223e-05
       2.665       21.4386       21.4387        2.8712e-05
       2.67       21.434       21.434        2.87014e-05
       2.675       21.4291       21.4291        2.86906e-05
       2.68       21.424       21.424        2.86794e-05
       2.685       21.4187       21.4187        2.8668e-05
       2.69       21.4132       21.4133        2.86562e-05
       2.695       21.4075       21.4076        2.86442e-05
       2.7       21.4016       21.4017        2.86319e-05
       2.705       21.3955       21.3956        2.86193e-05
       2.71       21.3892       21.3892        2.86064e-05
       2.715       21.3827       21.3827        2.85933e-05
       2.72       21.376       21.376        2.85798e-05
       2.725       21.3691       21.3691        2.85661e-05
       2.73       21.3619       21.362        2.85521e-05
       2.735       21.3546       21.3546        2.85378e-05
       2.74       21.3471       21.3471        2.85232e-05
       2.745       21.3393       21.3394        2.85083e-05
       2.75       21.3314       21.3314        2.84931e-05
       2.755       21.3232       21.3233        2.84777e-05
       2.76       21.3149       21.3149        2.8462e-05
       2.765       21.3063       21.3063        2.84459e-05
       2.77       21.2976       21.2976        2.84296e-05
       2.775       21.2886       21.2886        2.84131e-05
       2.78       21.2794       21.2794        2.83962e-05
       2.785       21.27       21.2701        2.8379e-05
       2.79       21.2605       21.2605        2.83616e-05
       2.795       21.2507       21.2507        2.83439e-05
       2.8       21.2407       21.2407        2.83259e-05
       2.805       21.2305       21.2305        2.83076e-05
       2.81       21.2201       21.2202        2.8289e-05
       2.815       21.2095       21.2096        2.82702e-05
       2.82       21.1987       21.1988        2.8251e-05
       2.825       21.1877       21.1878        2.82316e-05
       2.83       21.1765       21.1766        2.82119e-05
       2.835       21.1651       21.1652        2.8192e-05
       2.84       21.1535       21.1536        2.81717e-05
       2.845       21.1417       21.1417        2.81511e-05
       2.85       21.1297       21.1297        2.81303e-05
       2.855       21.1175       21.1175        2.81092e-05
       2.86       21.1051       21.1051        2.80878e-05
       2.865       21.0925       21.0925        2.80662e-05
       2.87       21.0796       21.0797        2.80442e-05
       2.875       21.0666       21.0667        2.8022e-05
       2.88       21.0534       21.0534        2.79995e-05
       2.885       21.04       21.04        2.79767e-05
       2.89       21.0264       21.0264        2.79536e-05
       2.895       21.0125       21.0126        2.79303e-05
       2.9       20.9985       20.9985        2.79066e-05
       2.905       20.9843       20.9843        2.78827e-05
       2.91       20.9698       20.9699        2.78585e-05
       2.915       20.9552       20.9552        2.78341e-05
       2.92       20.9404       20.9404        2.78093e-05
       2.925       20.9254       20.9254        2.77843e-05
       2.93       20.9101       20.9102        2.7759e-05
       2.935       20.8947       20.8947        2.77334e-05
       2.94       20.8791       20.8791        2.77076e-05
       2.945       20.8632       20.8633        2.76815e-05
       2.95       20.8472       20.8472        2.7655e-05
       2.955       20.831       20.831        2.76284e-05
       2.96       20.8146       20.8146        2.76014e-05
       2.965       20.7979       20.798        2.75742e-05
       2.97       20.7811       20.7811        2.75467e-05
       2.975       20.7641       20.7641        2.75189e-05
       2.98       20.7469       20.7469        2.74908e-05
       2.985       20.7294       20.7295        2.74625e-05
       2.99       20.7118       20.7118        2.74339e-05
       2.995       20.694       20.694        2.7405e-05
       3       20.676       20.676        2.73758e-05
       3.005       20.6578       20.6578        2.73464e-05
       3.01       20.6394       20.6394        2.73167e-05
       3.015       20.6208       20.6208        2.72867e-05
       3.02       20.602       20.602        2.72564e-05
       3.025       20.583       20.583        2.72259e-05
       3.03       20.5638       20.5638        2.71951e-05
       3.035       20.5444       20.5444        2.71641e-05
       3.04       20.5248       20.5248        2.71327e-05
       3.045       20.505       20.505        2.71011e-05
       3.05       20.485       20.485        2.70692e-05
       3.055       20.4648       20.4648        2.70371e-05
