#      t_n         x_n         xteo        err    
       0.695       7.8245       7.82451        1.2298e-05
       0.7       7.87773       7.87774        1.23806e-05
       0.705       7.93089       7.9309        1.24631e-05
       0.71       7.98398       7.98399        1.25455e-05
       0.715       8.037       8.03701        1.26278e-05
       0.72       8.08995       8.08996        1.27099e-05
       0.725       8.14282       8.14284        1.27919e-05
       0.73       8.19563       8.19564        1.28738e-05
       0.735       8.24836       8.24837        1.29556e-05
       0.74       8.30102       8.30103        1.30372e-05
       0.745       8.3536       8.35361        1.31187e-05
       0.75       8.40611       8.40612        1.32001e-05
       0.755       8.45854       8.45856        1.32813e-05
       0.76       8.5109       8.51092        1.33624e-05
       0.765       8.56319       8.5632        1.34434e-05
       0.77       8.61539       8.61541        1.35242e-05
       0.775       8.66752       8.66754        1.36049e-05
       0.78       8.71958       8.71959        1.36855e-05
       0.785       8.77155       8.77156        1.37659e-05
       0.79       8.82344       8.82346        1.38462e-05
       0.795       8.87526       8.87528        1.39263e-05
       0.8       8.927       8.92701        1.40063e-05
       0.805       8.97865       8.97867        1.40862e-05
       0.81       9.03023       9.03024        1.41659e-05
       0.815       9.08173       9.08174        1.42455e-05
       0.82       9.13314       9.13315        1.4325e-05
       0.825       9.18447       9.18448        1.44043e-05
       0.83       9.23572       9.23573        1.44834e-05
       0.835       9.28688       9.2869        1.45625e-05
       0.84       9.33796       9.33798        1.46413e-05
       0.845       9.38896       9.38898        1.472e-05
       0.85       9.43987       9.43989        1.47986e-05
       0.855       9.4907       9.49072        1.4877e-05
       0.86       9.54144       9.54146        1.49553e-05
       0.865       9.5921       9.59211        1.50334e-05
       0.87       9.64267       9.64268        1.51114e-05
       0.875       9.69315       9.69316        1.51893e-05
       0.88       9.74354       9.74356        1.52669e-05
       0.885       9.79384       9.79386        1.53444e-05
       0.89       9.84406       9.84408        1.54218e-05
       0.895       9.89419       9.8942        1.5499e-05
       0.9       9.94422       9.94424        1.55761e-05
       0.905       9.99417       9.99419        1.5653e-05
       0.91       10.044       10.044        1.57297e-05
       0.915       10.0938       10.0938        1.58063e-05
       0.92       10.1435       10.1435        1.58828e-05
       0.925       10.193       10.1931        1.5959e-05
       0.93       10.2425       10.2425        1.60351e-05
       0.935       10.2919       10.2919        1.61111e-05
       0.94       10.3412       10.3412        1.61869e-05
       0.945       10.3904       10.3905        1.62625e-05
       0.95       10.4395       10.4396        1.6338e-05
       0.955       10.4886       10.4886        1.64133e-05
       0.96       10.5375       10.5375        1.64884e-05
       0.965       10.5863       10.5863        1.65634e-05
       0.97       10.635       10.6351        1.66382e-05
       0.975       10.6837       10.6837        1.67129e-05
       0.98       10.7322       10.7322        1.67873e-05
       0.985       10.7806       10.7807        1.68616e-05
       0.99       10.829       10.829        1.69358e-05
       0.995       10.8772       10.8772        1.70098e-05
       1       10.9253       10.9254        1.70836e-05
       1.005       10.9734       10.9734        1.71572e-05
       1.01       11.0213       11.0213        1.72306e-05
       1.015       11.0692       11.0692        1.73039e-05
       1.02       11.1169       11.1169        1.7377e-05
       1.025       11.1645       11.1645        1.745e-05
       1.03       11.212       11.2121        1.75228e-05
       1.035       11.2595       11.2595        1.75953e-05
       1.04       11.3068       11.3068        1.76678e-05
       1.045       11.354       11.354        1.774e-05
       1.05       11.4011       11.4011        1.78121e-05
       1.055       11.4481       11.4482        1.78839e-05
       1.06       11.495       11.4951        1.79556e-05
       1.065       11.5418       11.5419        1.80272e-05
       1.07       11.5885       11.5886        1.80985e-05
       1.075       11.6351       11.6351        1.81697e-05
       1.08       11.6816       11.6816        1.82406e-05
       1.085       11.728       11.728        1.83114e-05
       1.09       11.7742       11.7743        1.83821e-05
       1.095       11.8204       11.8204        1.84525e-05
       1.1       11.8664       11.8665        1.85227e-05
       1.105       11.9124       11.9124        1.85928e-05
       1.11       11.9582       11.9582        1.86627e-05
       1.115       12.0039       12.0039        1.87324e-05
       1.12       12.0495       12.0495        1.88019e-05
       1.125       12.095       12.095        1.88712e-05
       1.13       12.1404       12.1404        1.89403e-05
       1.135       12.1857       12.1857        1.90092e-05
       1.14       12.2308       12.2308        1.9078e-05
       1.145       12.2759       12.2759        1.91465e-05
       1.15       12.3208       12.3208        1.92149e-05
       1.155       12.3656       12.3656        1.92831e-05
       1.16       12.4103       12.4103        1.9351e-05
       1.165       12.4549       12.4549        1.94188e-05
       1.17       12.4994       12.4994        1.94864e-05
       1.175       12.5437       12.5437        1.95538e-05
       1.18       12.5879       12.588        1.9621e-05
       1.185       12.6321       12.6321        1.9688e-05
       1.19       12.6761       12.6761        1.97548e-05
       1.195       12.72       12.72        1.98214e-05
       1.2       12.7637       12.7637        1.98879e-05
       1.205       12.8074       12.8074        1.99541e-05
       1.21       12.8509       12.8509        2.00201e-05
       1.215       12.8943       12.8943        2.00859e-05
       1.22       12.9376       12.9376        2.01515e-05
       1.225       12.9808       12.9808        2.02169e-05
       1.23       13.0238       13.0239        2.02821e-05
       1.235       13.0668       13.0668        2.03471e-05
       1.24       13.1096       13.1096        2.04119e-05
       1.245       13.1523       13.1523        2.04765e-05
       1.25       13.1948       13.1948        2.05409e-05
       1.255       13.2373       13.2373        2.06051e-05
       1.26       13.2796       13.2796        2.06691e-05
       1.265       13.3218       13.3218        2.07329e-05
       1.27       13.3638       13.3639        2.07964e-05
       1.275       13.4058       13.4058        2.08598e-05
       1.28       13.4476       13.4476        2.0923e-05
       1.285       13.4893       13.4893        2.09859e-05
       1.29       13.5309       13.5309        2.10486e-05
       1.295       13.5723       13.5723        2.11112e-05
       1.3       13.6136       13.6137        2.11735e-05
       1.305       13.6548       13.6549        2.12356e-05
       1.31       13.6959       13.6959        2.12975e-05
       1.315       13.7368       13.7368        2.13591e-05
       1.32       13.7776       13.7777        2.14206e-05
       1.325       13.8183       13.8183        2.14818e-05
       1.33       13.8589       13.8589        2.15429e-05
       1.335       13.8993       13.8993        2.16037e-05
       1.34       13.9396       13.9396        2.16643e-05
       1.345       13.9797       13.9797        2.17247e-05
       1.35       14.0198       14.0198        2.17848e-05
       1.355       14.0597       14.0597        2.18448e-05
       1.36       14.0994       14.0994        2.19045e-05
       1.365       14.1391       14.1391        2.1964e-05
       1.37       14.1786       14.1786        2.20233e-05
       1.375       14.2179       14.2179        2.20824e-05
       1.38       14.2572       14.2572        2.21412e-05
       1.385       14.2963       14.2963        2.21999e-05
       1.39       14.3352       14.3353        2.22583e-05
       1.395       14.3741       14.3741        2.23165e-05
       1.4       14.4128       14.4128        2.23744e-05
       1.405       14.4513       14.4514        2.24322e-05
       1.41       14.4898       14.4898        2.24897e-05
       1.415       14.5281       14.5281        2.2547e-05
       1.42       14.5662       14.5662        2.2604e-05
       1.425       14.6042       14.6043        2.26609e-05
       1.43       14.6421       14.6421        2.27175e-05
       1.435       14.6799       14.6799        2.27739e-05
       1.44       14.7175       14.7175        2.283e-05
       1.445       14.755       14.755        2.2886e-05
       1.45       14.7923       14.7923        2.29417e-05
       1.455       14.8295       14.8295        2.29971e-05
       1.46       14.8665       14.8666        2.30524e-05
       1.465       14.9035       14.9035        2.31074e-05
       1.47       14.9402       14.9403        2.31622e-05
       1.475       14.9769       14.9769        2.32167e-05
       1.48       15.0134       15.0134        2.3271e-05
       1.485       15.0497       15.0497        2.33251e-05
       1.49       15.0859       15.0859        2.33789e-05
       1.495       15.122       15.122        2.34326e-05
       1.5       15.1579       15.1579        2.34859e-05
       1.505       15.1937       15.1937        2.35391e-05
       1.51       15.2294       15.2294        2.3592e-05
       1.515       15.2649       15.2649        2.36447e-05
       1.52       15.3002       15.3002        2.36971e-05
       1.525       15.3354       15.3355        2.37493e-05
       1.53       15.3705       15.3705        2.38013e-05
       1.535       15.4054       15.4054        2.3853e-05
       1.54       15.4402       15.4402        2.39045e-05
       1.545       15.4748       15.4749        2.39557e-05
       1.55       15.5093       15.5093        2.40068e-05
       1.555       15.5437       15.5437        2.40575e-05
       1.56       15.5779       15.5779        2.41081e-05
       1.565       15.6119       15.6119        2.41583e-05
       1.57       15.6458       15.6458        2.42084e-05
       1.575       15.6796       15.6796        2.42582e-05
       1.58       15.7132       15.7132        2.43078e-05
       1.585       15.7466       15.7467        2.43571e-05
       1.59       15.7799       15.78        2.44061e-05
       1.595       15.8131       15.8131        2.4455e-05
       1.6       15.8461       15.8462        2.45036e-05
       1.605       15.879       15.879        2.45519e-05
       1.61       15.9117       15.9117        2.46e-05
       1.615       15.9443       15.9443        2.46479e-05
       1.62       15.9767       15.9767        2.46955e-05
       1.625       16.0089       16.009        2.47428e-05
       1.63       16.0411       16.0411        2.47899e-05
       1.635       16.073       16.073        2.48368e-05
       1.64       16.1048       16.1049        2.48834e-05
       1.645       16.1365       16.1365        2.49298e-05
       1.65       16.168       16.168        2.49759e-05
       1.655       16.1994       16.1994        2.50217e-05
       1.66       16.2306       16.2306        2.50674e-05
       1.665       16.2616       16.2616        2.51127e-05
       1.67       16.2925       16.2925        2.51578e-05
       1.675       16.3232       16.3233        2.52027e-05
       1.68       16.3538       16.3538        2.52473e-05
       1.685       16.3843       16.3843        2.52917e-05
       1.69       16.4145       16.4146        2.53358e-05
       1.695       16.4447       16.4447        2.53796e-05
       1.7       16.4746       16.4746        2.54232e-05
       1.705       16.5044       16.5045        2.54666e-05
       1.71       16.5341       16.5341        2.55097e-05
       1.715       16.5636       16.5636        2.55525e-05
       1.72       16.5929       16.593        2.55951e-05
       1.725       16.6221       16.6221        2.56374e-05
       1.73       16.6511       16.6512        2.56795e-05
       1.735       16.68       16.68        2.57213e-05
       1.74       16.7087       16.7088        2.57628e-05
       1.745       16.7373       16.7373        2.58041e-05
       1.75       16.7657       16.7657        2.58452e-05
       1.755       16.7939       16.7939        2.58859e-05
       1.76       16.822       16.822        2.59265e-05
       1.765       16.8499       16.8499        2.59667e-05
       1.77       16.8777       16.8777        2.60067e-05
       1.775       16.9053       16.9053        2.60465e-05
       1.78       16.9327       16.9328        2.60859e-05
       1.785       16.96       16.96        2.61252e-05
       1.79       16.9871       16.9872        2.61641e-05
       1.795       17.0141       17.0141        2.62028e-05
       1.8       17.0409       17.0409        2.62412e-05
       1.805       17.0675       17.0676        2.62794e-05
       1.81       17.094       17.094        2.63173e-05
       1.815       17.1203       17.1203        2.6355e-05
       1.82       17.1465       17.1465        2.63924e-05
       1.825       17.1725       17.1725        2.64295e-05
       1.83       17.1983       17.1983        2.64663e-05
       1.835       17.224       17.224        2.65029e-05
       1.84       17.2495       17.2495        2.65392e-05
       1.845       17.2748       17.2748        2.65753e-05
       1.85       17.3       17.3        2.66111e-05
       1.855       17.325       17.325        2.66466e-05
       1.86       17.3498       17.3499        2.66819e-05
       1.865       17.3745       17.3745        2.67169e-05
       1.87       17.399       17.3991        2.67516e-05
       1.875       17.4234       17.4234        2.67861e-05
       1.88       17.4476       17.4476        2.68203e-05
       1.885       17.4716       17.4716        2.68542e-05
       1.89       17.4955       17.4955        2.68879e-05
       1.895       17.5192       17.5192        2.69212e-05
       1.9       17.5427       17.5427        2.69544e-05
       1.905       17.566       17.5661        2.69872e-05
       1.91       17.5892       17.5893        2.70198e-05
       1.915       17.6123       17.6123        2.70521e-05
       1.92       17.6351       17.6351        2.70841e-05
       1.925       17.6578       17.6578        2.71159e-05
       1.93       17.6803       17.6804        2.71474e-05
       1.935       17.7027       17.7027        2.71786e-05
       1.94       17.7249       17.7249        2.72096e-05
       1.945       17.7469       17.7469        2.72403e-05
       1.95       17.7688       17.7688        2.72707e-05
       1.955       17.7904       17.7905        2.73008e-05
       1.96       17.812       17.812        2.73307e-05
       1.965       17.8333       17.8333        2.73603e-05
       1.97       17.8545       17.8545        2.73896e-05
       1.975       17.8755       17.8755        2.74186e-05
       1.98       17.8963       17.8963        2.74474e-05
       1.985       17.917       17.917        2.74759e-05
       1.99       17.9375       17.9375        2.75041e-05
       1.995       17.9578       17.9578        2.7532e-05
       2       17.978       17.978        2.75597e-05
       2.005       17.998       17.998        2.75871e-05
       2.01       18.0178       18.0178        2.76142e-05
       2.015       18.0374       18.0374        2.76411e-05
       2.02       18.0569       18.0569        2.76676e-05
       2.025       18.0762       18.0762        2.76939e-05
       2.03       18.0953       18.0954        2.77199e-05
       2.035       18.1143       18.1143        2.77457e-05
       2.04       18.1331       18.1331        2.77711e-05
       2.045       18.1517       18.1517        2.77963e-05
       2.05       18.1701       18.1702        2.78212e-05
       2.055       18.1884       18.1884        2.78458e-05
       2.06       18.2065       18.2065        2.78702e-05
       2.065       18.2244       18.2245        2.78942e-05
       2.07       18.2422       18.2422        2.7918e-05
       2.075       18.2598       18.2598        2.79415e-05
       2.08       18.2772       18.2772        2.79648e-05
       2.085       18.2944       18.2944        2.79877e-05
       2.09       18.3114       18.3115        2.80104e-05
       2.095       18.3283       18.3284        2.80328e-05
       2.1       18.345       18.3451        2.80549e-05
       2.105       18.3616       18.3616        2.80767e-05
       2.11       18.3779       18.378        2.80983e-05
       2.115       18.3941       18.3941        2.81195e-05
       2.12       18.4101       18.4102        2.81405e-05
       2.125       18.426       18.426        2.81612e-05
       2.13       18.4416       18.4417        2.81816e-05
       2.135       18.4571       18.4571        2.82018e-05
       2.14       18.4724       18.4724        2.82216e-05
       2.145       18.4876       18.4876        2.82412e-05
       2.15       18.5025       18.5025        2.82605e-05
       2.155       18.5173       18.5173        2.82795e-05
       2.16       18.5319       18.5319        2.82983e-05
       2.165       18.5463       18.5464        2.83167e-05
       2.17       18.5606       18.5606        2.83349e-05
       2.175       18.5747       18.5747        2.83528e-05
       2.18       18.5886       18.5886        2.83703e-05
       2.185       18.6023       18.6023        2.83877e-05
       2.19       18.6158       18.6159        2.84047e-05
       2.195       18.6292       18.6292        2.84214e-05
       2.2       18.6424       18.6424        2.84379e-05
       2.205       18.6554       18.6554        2.84541e-05
       2.21       18.6683       18.6683        2.847e-05
       2.215       18.6809       18.6809        2.84856e-05
       2.22       18.6934       18.6934        2.85009e-05
       2.225       18.7057       18.7057        2.85159e-05
       2.23       18.7178       18.7179        2.85307e-05
       2.235       18.7298       18.7298        2.85452e-05
       2.24       18.7416       18.7416        2.85593e-05
       2.245       18.7531       18.7532        2.85732e-05
       2.25       18.7646       18.7646        2.85868e-05
       2.255       18.7758       18.7758        2.86002e-05
       2.26       18.7869       18.7869        2.86132e-05
       2.265       18.7977       18.7978        2.8626e-05
       2.27       18.8084       18.8085        2.86384e-05
       2.275       18.819       18.819        2.86506e-05
       2.28       18.8293       18.8293        2.86625e-05
       2.285       18.8395       18.8395        2.86741e-05
       2.29       18.8494       18.8495        2.86854e-05
       2.295       18.8592       18.8593        2.86965e-05
       2.3       18.8689       18.8689        2.87072e-05
       2.305       18.8783       18.8783        2.87177e-05
       2.31       18.8876       18.8876        2.87279e-05
       2.315       18.8967       18.8967        2.87377e-05
       2.32       18.9056       18.9056        2.87473e-05
       2.325       18.9143       18.9143        2.87567e-05
       2.33       18.9229       18.9229        2.87657e-05
       2.335       18.9312       18.9312        2.87744e-05
       2.34       18.9394       18.9394        2.87829e-05
       2.345       18.9474       18.9474        2.8791e-05
       2.35       18.9552       18.9553        2.87989e-05
       2.355       18.9629       18.9629        2.88065e-05
       2.36       18.9703       18.9704        2.88138e-05
       2.365       18.9776       18.9777        2.88208e-05
       2.37       18.9847       18.9848        2.88275e-05
       2.375       18.9917       18.9917        2.88339e-05
       2.38       18.9984       18.9984        2.88401e-05
       2.385       19.005       19.005        2.88459e-05
       2.39       19.0113       19.0114        2.88515e-05
       2.395       19.0175       19.0176        2.88568e-05
       2.4       19.0236       19.0236        2.88618e-05
       2.405       19.0294       19.0294        2.88665e-05
       2.41       19.035       19.0351        2.88709e-05
       2.415       19.0405       19.0406        2.8875e-05
       2.42       19.0458       19.0458        2.88789e-05
       2.425       19.0509       19.051        2.88824e-05
       2.43       19.0559       19.0559        2.88857e-05
       2.435       19.0606       19.0606        2.88886e-05
       2.44       19.0652       19.0652        2.88913e-05
       2.445       19.0696       19.0696        2.88937e-05
       2.45       19.0738       19.0738        2.88958e-05
       2.455       19.0778       19.0778        2.88976e-05
       2.46       19.0816       19.0817        2.88991e-05
       2.465       19.0853       19.0853        2.89004e-05
       2.47       19.0888       19.0888        2.89013e-05
       2.475       19.0921       19.0921        2.8902e-05
       2.48       19.0952       19.0952        2.89024e-05
       2.485       19.0981       19.0981        2.89024e-05
       2.49       19.1009       19.1009        2.89022e-05
       2.495       19.1034       19.1035        2.89017e-05
       2.5       19.1058       19.1059        2.8901e-05
       2.505       19.108       19.1081        2.88999e-05
       2.51       19.1101       19.1101        2.88985e-05
       2.515       19.1119       19.1119        2.88969e-05
       2.52       19.1136       19.1136        2.88949e-05
       2.525       19.115       19.1151        2.88927e-05
       2.53       19.1163       19.1164        2.88902e-05
       2.535       19.1174       19.1175        2.88874e-05
       2.54       19.1184       19.1184        2.88843e-05
       2.545       19.1191       19.1191        2.88809e-05
       2.55       19.1197       19.1197        2.88772e-05
       2.555       19.1201       19.1201        2.88732e-05
       2.56       19.1203       19.1203        2.8869e-05
       2.565       19.1203       19.1203        2.88644e-05
       2.57       19.1201       19.1202        2.88596e-05
       2.575       19.1198       19.1198        2.88545e-05
       2.58       19.1193       19.1193        2.88491e-05
       2.585       19.1186       19.1186        2.88434e-05
       2.59       19.1177       19.1177        2.88374e-05
       2.595       19.1166       19.1166        2.88311e-05
       2.6       19.1153       19.1154        2.88246e-05
       2.605       19.1139       19.1139        2.88177e-05
       2.61       19.1123       19.1123        2.88106e-05
       2.615       19.1105       19.1105        2.88032e-05
       2.62       19.1085       19.1085        2.87955e-05
       2.625       19.1064       19.1064        2.87875e-05
       2.63       19.104       19.104        2.87792e-05
       2.635       19.1015       19.1015        2.87706e-05
       2.64       19.0988       19.0988        2.87617e-05
       2.645       19.0959       19.0959        2.87526e-05
       2.65       19.0928       19.0928        2.87432e-05
       2.655       19.0896       19.0896        2.87334e-05
       2.66       19.0861       19.0861        2.87234e-05
       2.665       19.0825       19.0825        2.87131e-05
       2.67       19.0787       19.0787        2.87025e-05
       2.675       19.0747       19.0747        2.86917e-05
       2.68       19.0706       19.0706        2.86805e-05
       2.685       19.0662       19.0662        2.8669e-05
       2.69       19.0617       19.0617        2.86573e-05
       2.695       19.057       19.057        2.86453e-05
       2.7       19.0521       19.0521        2.8633e-05
       2.705       19.047       19.0471        2.86204e-05
       2.71       19.0418       19.0418        2.86075e-05
       2.715       19.0363       19.0364        2.85943e-05
       2.72       19.0307       19.0308        2.85809e-05
       2.725       19.0249       19.025        2.85672e-05
       2.73       19.019       19.019        2.85531e-05
       2.735       19.0128       19.0128        2.85388e-05
       2.74       19.0065       19.0065        2.85242e-05
       2.745       18.9999       19        2.85094e-05
       2.75       18.9932       18.9933        2.84942e-05
       2.755       18.9864       18.9864        2.84787e-05
       2.76       18.9793       18.9793        2.8463e-05
       2.765       18.9721       18.9721        2.8447e-05
       2.77       18.9646       18.9647        2.84307e-05
       2.775       18.957       18.9571        2.84141e-05
       2.78       18.9492       18.9493        2.83972e-05
       2.785       18.9413       18.9413        2.83801e-05
       2.79       18.9331       18.9332        2.83626e-05
       2.795       18.9248       18.9248        2.83449e-05
       2.8       18.9163       18.9163        2.83269e-05
       2.805       18.9076       18.9077        2.83086e-05
       2.81       18.8988       18.8988        2.829e-05
       2.815       18.8897       18.8897        2.82712e-05
       2.82       18.8805       18.8805        2.82521e-05
       2.825       18.8711       18.8711        2.82326e-05
       2.83       18.8615       18.8615        2.82129e-05
       2.835       18.8517       18.8518        2.8193e-05
       2.84       18.8418       18.8418        2.81727e-05
       2.845       18.8317       18.8317        2.81521e-05
       2.85       18.8214       18.8214        2.81313e-05
       2.855       18.8109       18.8109        2.81102e-05
       2.86       18.8002       18.8003        2.80888e-05
       2.865       18.7894       18.7894        2.80671e-05
       2.87       18.7784       18.7784        2.80452e-05
       2.875       18.7672       18.7672        2.8023e-05
       2.88       18.7558       18.7558        2.80004e-05
       2.885       18.7443       18.7443        2.79776e-05
       2.89       18.7325       18.7326        2.79546e-05
       2.895       18.7206       18.7207        2.79312e-05
       2.9       18.7085       18.7086        2.79076e-05
       2.905       18.6963       18.6963        2.78837e-05
       2.91       18.6838       18.6839        2.78595e-05
       2.915       18.6712       18.6712        2.7835e-05
       2.92       18.6584       18.6584        2.78103e-05
       2.925       18.6454       18.6455        2.77853e-05
       2.93       18.6323       18.6323        2.77599e-05
       2.935       18.619       18.619        2.77344e-05
       2.94       18.6055       18.6055        2.77085e-05
       2.945       18.5918       18.5918        2.76824e-05
       2.95       18.5779       18.5779        2.7656e-05
       2.955       18.5639       18.5639        2.76293e-05
       2.96       18.5497       18.5497        2.76023e-05
       2.965       18.5353       18.5353        2.75751e-05
       2.97       18.5207       18.5207        2.75476e-05
       2.975       18.506       18.506        2.75198e-05
       2.98       18.4911       18.4911        2.74917e-05
       2.985       18.476       18.476        2.74634e-05
       2.99       18.4607       18.4607        2.74348e-05
       2.995       18.4452       18.4453        2.74059e-05
       3       18.4296       18.4297        2.73767e-05
       3.005       18.4138       18.4139        2.73473e-05
       3.01       18.3979       18.3979        2.73176e-05
       3.015       18.3817       18.3817        2.72876e-05
       3.02       18.3654       18.3654        2.72573e-05
       3.025       18.3489       18.3489        2.72268e-05
       3.03       18.3322       18.3323        2.7196e-05
       3.035       18.3154       18.3154        2.71649e-05
       3.04       18.2984       18.2984        2.71336e-05
       3.045       18.2812       18.2812        2.71019e-05
       3.05       18.2638       18.2638        2.70701e-05
       3.055       18.2463       18.2463        2.70379e-05
