#   x     ph    phteo     err 
0   0     0      0
0.005   0.066668572828287     0.0666185814688364      4.99913594506629e-05
0.01   0.133189124709519     0.1330892530271      9.98716824193724e-05
0.015   0.199413963339598     0.199264433161207      0.000149530178391172
0.02   0.265196052971987     0.264997196422431      0.000198856549555648
0.025   0.330389340873935     0.330141599638143      0.000247741235792021
0.03   0.394849081600164     0.394553005942148      0.000296075658015815
0.035   0.458432158364048     0.458088405904701      0.000343752459347202
0.04   0.520997400792764     0.520606735049201      0.000390665743563723
0.045   0.58240589836092     0.58196918705061      0.000436711310310089
0.05   0.642521308806745     0.642039521920206      0.000481786886538993
0.055   0.701210160846099     0.700684368492425      0.000525792353673338
0.06   0.758342150512188     0.757773520542205      0.000568629969983303
0.065   0.813790430463044     0.813180225875364      0.000610204587679797
0.07   0.867431891614428     0.866781467750174      0.000650423864254512
0.075   0.919147436472862     0.918458238005283      0.0006891984675792
0.08   0.968822243561931     0.968095801287603      0.000726442274327277
0.085   1.01634602235475     1.01558394979348      0.000762072561264038
0.09   1.06161325814657     1.06081724795759      0.000796010188983898
0.095   1.10452344632392     1.10369526654622      0.000828179777693672
0.1   1.14498131551     1.14412280563537      0.00085850987463143
0.105   1.18289703909106     1.18201010597828      0.000886933112782762
0.11   1.21818643465399     1.21727304829349      0.000913386360502866
0.115   1.25077115089238     1.24983334003063      0.000937810861745714
0.12   1.28057884156608     1.27961868919952      0.000960152366567879
0.125   1.307543326128     1.30656296487638      0.000980361251622375
0.13   1.33160473666147     1.33060634403109      0.000998392630378708
0.135   1.35270965080209     1.35169544434927      0.00101420645282291
0.14   1.37081121034873     1.36978344275431      0.00102776759441281
0.145   1.3858692253005     1.3848301793664      0.00103904593409698
0.15   1.39785026308863     1.39680224666742      0.00104801642121255
0.155   1.40672772280517     1.40567306367404      0.00105465913113001
0.16   1.41248189426362     1.41142293495411      0.00105895930950672
0.165   1.41510000176056     1.4140390943555      0.00106090740505804
0.17   1.41457623244087     1.4135157333501      0.00106049909077344
0.175   1.41091174920374     1.40985401393021      0.00105773527352526
0.18   1.40411468812072     1.40306206602867      0.00105262209205703
0.185   1.39420014037165     1.3931549694683      0.00104517090334766
0.19   1.3811901187384     1.38015472048101      0.0010353982573843
0.195   1.365113508731     1.3640901828706      0.0010233258604051
0.2   1.3460060044546     1.34499702392791      0.00100898052668774
0.205   1.32391002935954     1.32291763524055      0.000992394118989104
0.21   1.29887464205071     1.29790103857293      0.000973603477775642
0.215   1.27095542736509     1.27000277702569      0.000952650339398176
0.22   1.24021437295956     1.23928479171617      0.00092958124338538
0.225   1.20671973168266     1.20581528425358      0.000904447429075805
0.23   1.17054587003623     1.16966856531441      0.000877304721812022
0.235   1.13177310306308     1.13092488965414      0.000848213408940923
