#   x     ph    phteo     err 
0   0     0      0
0.005   0.0222634994809234     0.0222135011708745      4.99983100488779e-05
0.01   0.0445215057763077     0.0444215214927228      9.99842835848752e-05
0.015   0.0667685270559727     0.0666185814688364      0.000149945587136296
0.02   0.0889990742001262     0.0887992043068077      0.000199869893318549
0.025   0.111207662153723     0.110957917269847      0.000249744883875663
0.03   0.133388811279819     0.1330892530271      0.000299558252719823
0.035   0.155537048711592     0.155187751002625      0.0003492977089673
0.04   0.177646909702686     0.177247958722714      0.00039895097997189
0.045   0.199712938975559     0.199264433161207      0.000448505814352712
0.05   0.221729692067491     0.221231742082474      0.00049794998501651
0.055   0.24369173667392     0.243144465381745      0.000547271292175383
0.06   0.265593653988788     0.264997196422431      0.000596457566356345
0.065   0.287430040041543     0.286784543370139      0.000645496671404733
0.07   0.309195507030496     0.308501130523018      0.000694376507477945
0.075   0.330884684652174     0.330141599638143      0.000743085014031031
0.08   0.352492221426365     0.351700611253572      0.00079161017279239
0.085   0.374012786016514     0.373172846005784      0.000839940010730122
0.09   0.395441068545154     0.394553005942148      0.000888062603005391
0.095   0.416771781904035     0.41583581582812      0.000935966075914674
0.1   0.43799966305864     0.437016024448821      0.000983638609819315
0.105   0.459119474346763     0.458088405904701      0.00103106844206269
0.11   0.480126004770819     0.479047760900947      0.00107824386987232
0.115   0.501014071283583     0.499888918030337      0.00112515325324636
0.12   0.521778520067028     0.520606735049201      0.00117178501782689
0.125   0.542414227803952     0.541196100146197      0.0012181276577552
0.13   0.562916102942084     0.561651933203574      0.00126416973851085
0.135   0.583279086950343     0.58196918705061      0.00130989989973285
0.14   0.603498155566958     0.602142848708934      0.00135530685802332
0.145   0.623568320039126     0.622167940629396      0.00140037940973026
0.15   0.643484628353919     0.642039521920206      0.00144510643371309
0.155   0.663242166460112     0.661752689566026      0.00148947689408574
0.16   0.682836059480655     0.681302579637714      0.00153347984294128
0.165   0.702261472915477     0.700684368492425      0.00157710442305126
0.17   0.721513613834322     0.719893273963776      0.00162033987054566
0.175   0.740587732059339     0.738924556541771      0.00166317551756834
0.18   0.759479121337115     0.757773520542205      0.00170560079490978
0.185   0.778183120499867     0.776435515265253      0.0017476052346137
0.19   0.796695114615526     0.794905936142964      0.0017891784725621
0.195   0.815010536126394     0.813180225875364      0.00183031025102975
0.2   0.833124865976124     0.831253875554907      0.00187099042121697
